Date,Brisbane_Avoca
1/10/1975,32.8
2/10/1975,32.8
3/10/1975,30.8
4/10/1975,31.8
5/10/1975,27.9
6/10/1975,26.9
7/10/1975,33.8
8/10/1975,25.9
9/10/1975,26.9
10/10/1975,22.9
11/10/1975,24.9
12/10/1975,30.8
13/10/1975,21.9
14/10/1975,33.8
15/10/1975,25.9
16/10/1975,21.9
17/10/1975,21.9
18/10/1975,21.9
19/10/1975,23.9
20/10/1975,15
21/10/1975,40.7
22/10/1975,29.9
23/10/1975,46.8
24/10/1975,59.7
25/10/1975,103.5
26/10/1975,227.9
27/10/1975,187.2
28/10/1975,135.4
29/10/1975,77.7
30/10/1975,53.7
31/10/1975,47.8
1/11/1975,32.7
2/11/1975,30.8
3/11/1975,28.7
4/11/1975,32.8
5/11/1975,24.8
6/11/1975,25.8
7/11/1975,30.6
8/11/1975,19.7
9/11/1975,20.9
10/11/1975,68.6
11/11/1975,140.3
12/11/1975,141.1
13/11/1975,94.4
14/11/1975,64.7
15/11/1975,60.7
16/11/1975,40.8
17/11/1975,32.8
18/11/1975,26.7
19/11/1975,22.7
20/11/1975,9.7
21/11/1975,33.6
22/11/1975,24.9
23/11/1975,25.5
24/11/1975,38.8
25/11/1975,38.6
26/11/1975,28.8
27/11/1975,32.7
28/11/1975,37.6
29/11/1975,29.7
30/11/1975,27.7
1/12/1975,22.8
2/12/1975,20.8
3/12/1975,20.8
4/12/1975,18.8
5/12/1975,18.8
6/12/1975,19.8
7/12/1975,16.9
8/12/1975,17.2
9/12/1975,17.2
10/12/1975,14.9
11/12/1975,11
12/12/1975,13
13/12/1975,11
14/12/1975,11
15/12/1975,6
16/12/1975,14
17/12/1975,13
18/12/1975,13
19/12/1975,14
20/12/1975,15
21/12/1975,20
22/12/1975,27.8
23/12/1975,380.3
24/12/1975,1518.1
25/12/1975,2890.4
26/12/1975,969.5
27/12/1975,477.7
28/12/1975,294.6
29/12/1975,192.4
30/12/1975,147.2
31/12/1975,107.7
1/01/1976,81.9
2/01/1976,57
3/01/1976,43.1
4/01/1976,33.1
5/01/1976,27.1
6/01/1976,26.3
7/01/1976,37.1
8/01/1976,27.1
9/01/1976,28.1
10/01/1976,28.1
11/01/1976,35.1
12/01/1976,60
13/01/1976,155.8
14/01/1976,116.8
15/01/1976,130.7
16/01/1976,271.5
17/01/1976,152.7
18/01/1976,144.6
19/01/1976,145.8
20/01/1976,6890.7
21/01/1976,12315.4
22/01/1976,3729
23/01/1976,1878.6
24/01/1976,1274.7
25/01/1976,892.9
26/01/1976,720.7
27/01/1976,517.3
28/01/1976,390.8
29/01/1976,311.1
30/01/1976,259.3
31/01/1976,206.5
1/02/1976,165.2
2/02/1976,136.5
3/02/1976,120.4
4/02/1976,114.6
5/02/1976,100.5
6/02/1976,92.5
7/02/1976,85.7
8/02/1976,90.5
9/02/1976,82.5
10/02/1976,75.7
11/02/1976,139.4
12/02/1976,1248.3
13/02/1976,4188.7
14/02/1976,1567.8
15/02/1976,879.7
16/02/1976,598.6
17/02/1976,453.1
18/02/1976,365.7
19/02/1976,316.7
20/02/1976,274
21/02/1976,229
22/02/1976,118.4
23/02/1976,209.3
24/02/1976,250.9
25/02/1976,339.6
26/02/1976,355.8
27/02/1976,7630.7
28/02/1976,6856.7
29/02/1976,9382
1/03/1976,9515.9
2/03/1976,2988.2
3/03/1976,2424.2
4/03/1976,1712.9
5/03/1976,1064.8
6/03/1976,856.2
7/03/1976,1106.8
8/03/1976,1682.4
9/03/1976,1717.9
10/03/1976,1859.9
11/03/1976,1085
12/03/1976,830.8
13/03/1976,498
14/03/1976,729.3
15/03/1976,2347.2
16/03/1976,1101
17/03/1976,717.3
18/03/1976,580.9
19/03/1976,534.1
20/03/1976,484.1
21/03/1976,1277.3
22/03/1976,2596.2
23/03/1976,1137.4
24/03/1976,764.5
25/03/1976,643.7
26/03/1976,1549.8
27/03/1976,2338.6
28/03/1976,1226.7
29/03/1976,757.5
30/03/1976,570.9
31/03/1976,487.4
1/04/1976,439.7
2/04/1976,402.7
3/04/1976,364.9
4/04/1976,363.8
5/04/1976,384.9
6/04/1976,333.8
7/04/1976,301.1
8/04/1976,285.1
9/04/1976,264
10/04/1976,253.3
11/04/1976,252.1
12/04/1976,236.3
13/04/1976,233.1
14/04/1976,223.3
15/04/1976,215.2
16/04/1976,266.5
17/04/1976,521
18/04/1976,403.8
19/04/1976,304.2
20/04/1976,315
21/04/1976,318.2
22/04/1976,294
23/04/1976,260.3
24/04/1976,241.3
25/04/1976,231.2
26/04/1976,210.4
27/04/1976,217.2
28/04/1976,226.4
29/04/1976,347.7
30/04/1976,732.7
1/05/1976,590.1
2/05/1976,404.8
3/05/1976,337.9
4/05/1976,289.2
5/05/1976,267.1
6/05/1976,248.3
7/05/1976,243.2
8/05/1976,224.2
9/05/1976,206.4
10/05/1976,198.3
11/05/1976,190.5
12/05/1976,201.3
13/05/1976,197.3
14/05/1976,188.5
15/05/1976,186.3
16/05/1976,166.5
17/05/1976,148.4
18/05/1976,144.6
19/05/1976,145.4
20/05/1976,137.4
21/05/1976,138.6
22/05/1976,154.4
23/05/1976,291.1
24/05/1976,391.6
25/05/1976,418.6
26/05/1976,369
27/05/1976,285.1
28/05/1976,238.3
29/05/1976,203.3
30/05/1976,189.5
31/05/1976,178.3
1/06/1976,169.9
2/06/1976,150.9
3/06/1976,146.9
4/06/1976,143.9
5/06/1976,127
6/06/1976,119
7/06/1976,111
8/06/1976,111
9/06/1976,106.1
10/06/1976,96.1
11/06/1976,99.1
12/06/1976,100.1
13/06/1976,92.1
14/06/1976,91.1
15/06/1976,114
16/06/1976,118.2
17/06/1976,109
18/06/1976,100.1
19/06/1976,91.1
20/06/1976,86.1
21/06/1976,84.1
