Date,Brisbane_Gregor
1/10/1975,171
2/10/1975,172.4
3/10/1975,182.7
4/10/1975,166.2
5/10/1975,151.8
6/10/1975,148.9
7/10/1975,143.7
8/10/1975,141.8
9/10/1975,144.4
10/10/1975,142.7
11/10/1975,159.2
12/10/1975,163.1
13/10/1975,145.6
14/10/1975,132.6
15/10/1975,124
16/10/1975,116.1
17/10/1975,112.8
18/10/1975,110.3
19/10/1975,115.1
20/10/1975,752
21/10/1975,658.1
22/10/1975,294.4
23/10/1975,232.5
24/10/1975,253.2
25/10/1975,650.2
26/10/1975,404.4
27/10/1975,401.2
28/10/1975,351.9
29/10/1975,307.6
30/10/1975,271.3
31/10/1975,235.9
1/11/1975,211
2/11/1975,196.1
3/11/1975,193.6
4/11/1975,199
5/11/1975,206.6
6/11/1975,190.5
7/11/1975,190
8/11/1975,178.4
9/11/1975,178.9
10/11/1975,711.2
11/11/1975,1378.7
12/11/1975,872.7
13/11/1975,640.8
14/11/1975,451.5
15/11/1975,685.2
16/11/1975,1371.7
17/11/1975,781.5
18/11/1975,481.5
19/11/1975,382.4
20/11/1975,304.5
21/11/1975,257.4
22/11/1975,230.7
23/11/1975,208.4
24/11/1975,211.4
25/11/1975,207.5
26/11/1975,185.7
27/11/1975,229
28/11/1975,228.4
29/11/1975,225.5
30/11/1975,200
1/12/1975,183.1
2/12/1975,167.9
3/12/1975,157.6
4/12/1975,151.9
5/12/1975,133.4
6/12/1975,132.2
7/12/1975,127.4
8/12/1975,126.3
9/12/1975,115.9
10/12/1975,125.7
11/12/1975,136.9
12/12/1975,144.2
13/12/1975,129.5
14/12/1975,119.2
15/12/1975,116.4
16/12/1975,111
17/12/1975,88.9
18/12/1975,79.3
19/12/1975,83.2
20/12/1975,2800.8
21/12/1975,1067.7
22/12/1975,610.4
23/12/1975,1174.6
24/12/1975,5782.2
25/12/1975,5382.6
26/12/1975,3570.8
27/12/1975,1978.2
28/12/1975,1332
29/12/1975,1004.6
30/12/1975,812.1
31/12/1975,668.9
1/01/1976,548.2
2/01/1976,483.3
3/01/1976,425.5
4/01/1976,368.1
5/01/1976,325.1
6/01/1976,299.6
7/01/1976,294.2
8/01/1976,276.3
9/01/1976,257.3
10/01/1976,329.2
11/01/1976,1861.4
12/01/1976,1651.5
13/01/1976,1125.4
14/01/1976,739.8
15/01/1976,647.4
16/01/1976,673.1
17/01/1976,927.8
18/01/1976,746
19/01/1976,607.8
20/01/1976,9526.5
21/01/1976,33066.3
22/01/1976,14177.7
23/01/1976,6685.2
24/01/1976,3976.3
25/01/1976,3350
26/01/1976,2339.5
27/01/1976,1751.4
28/01/1976,1408.5
29/01/1976,1176.4
30/01/1976,981.7
31/01/1976,843.5
1/02/1976,736.7
2/02/1976,656.5
3/02/1976,575.2
