Date,Brisbane_Linville
1/10/1975,52.8
2/10/1975,50.8
3/10/1975,47.8
4/10/1975,48.8
5/10/1975,43.8
6/10/1975,43.8
7/10/1975,44.8
8/10/1975,42.8
9/10/1975,43.8
10/10/1975,38.8
11/10/1975,41.8
12/10/1975,38.8
13/10/1975,33.8
14/10/1975,35.8
15/10/1975,37.8
16/10/1975,33.8
17/10/1975,33.8
18/10/1975,33.8
19/10/1975,35.8
20/10/1975,30.9
21/10/1975,40.7
22/10/1975,29.9
23/10/1975,47.8
24/10/1975,72.7
25/10/1975,103.5
26/10/1975,227.9
27/10/1975,200.1
28/10/1975,164.3
29/10/1975,107.6
30/10/1975,81.7
31/10/1975,61.7
1/11/1975,54.6
2/11/1975,48.8
3/11/1975,45.6
4/11/1975,44.8
5/11/1975,36.8
6/11/1975,41.8
7/11/1975,40.6
8/11/1975,36.7
9/11/1975,37.8
10/11/1975,68.6
11/11/1975,149.2
12/11/1975,156
13/11/1975,138.3
14/11/1975,102.6
15/11/1975,80.6
16/11/1975,95.6
17/11/1975,106.6
18/11/1975,94.5
19/11/1975,76.5
20/11/1975,67.6
21/11/1975,57.6
22/11/1975,47.9
23/11/1975,47.5
24/11/1975,51.7
25/11/1975,51.6
26/11/1975,49.8
27/11/1975,54.6
28/11/1975,58.6
29/11/1975,49.6
30/11/1975,47.6
1/12/1975,39.8
2/12/1975,32.8
3/12/1975,32.8
4/12/1975,30.8
5/12/1975,30.8
6/12/1975,31.8
7/12/1975,27.8
8/12/1975,28.2
9/12/1975,28.2
10/12/1975,24.9
11/12/1975,21.9
12/12/1975,24.9
13/12/1975,21.9
14/12/1975,21.9
15/12/1975,14
16/12/1975,25.9
17/12/1975,24.9
18/12/1975,24.9
19/12/1975,25.9
20/12/1975,26.9
21/12/1975,33.9
22/12/1975,44.7
23/12/1975,380.2
24/12/1975,1539.6
25/12/1975,2889.5
26/12/1975,1118.8
27/12/1975,557.4
28/12/1975,347.4
29/12/1975,218.2
30/12/1975,163.1
31/12/1975,117.7
1/01/1976,91.8
2/01/1976,66
3/01/1976,52
4/01/1976,40.1
5/01/1976,34.1
6/01/1976,33.3
7/01/1976,37.1
8/01/1976,27.1
9/01/1976,28.1
10/01/1976,28.1
11/01/1976,35.1
12/01/1976,64.9
13/01/1976,213.5
14/01/1976,129.7
15/01/1976,161.6
16/01/1976,403.9
17/01/1976,239.4
18/01/1976,164.5
19/01/1976,170.7
20/01/1976,10439.3
21/01/1976,17263.4
22/01/1976,4924.6
23/01/1976,2599.5
24/01/1976,1713.8
25/01/1976,1184.6
26/01/1976,941.7
27/01/1976,686.6
28/01/1976,532.2
29/01/1976,431.6
30/01/1976,370.9
31/01/1976,300.2
1/02/1976,249.9
2/02/1976,203.3
3/02/1976,178.2
4/02/1976,170.4
5/02/1976,147.3
6/02/1976,138.3
7/02/1976,130.5
8/02/1976,127.3
9/02/1976,116.4
10/02/1976,108.6
11/02/1976,177.3
12/02/1976,1247.9
13/02/1976,4371
14/02/1976,1848.5
15/02/1976,1064.9
16/02/1976,744
17/02/1976,589.6
18/02/1976,494.2
19/02/1976,425.2
20/02/1976,375.6
21/02/1976,327.6
22/02/1976,317.5
23/02/1976,998.9
24/02/1976,1013.6
25/02/1976,942.2
26/02/1976,808.9
27/02/1976,8599.8
28/02/1976,7124
29/02/1976,9926.8
1/03/1976,10734.8
2/03/1976,4286.3
3/03/1976,4710
4/03/1976,3034.4
5/03/1976,1967.7
6/03/1976,1452.1
7/03/1976,1430.5
8/03/1976,1807.5
9/03/1976,1917.8
10/03/1976,2167.4
11/03/1976,1338
12/03/1976,1071.8
13/03/1976,1148.1
14/03/1976,3637.1
15/03/1976,5162.6
16/03/1976,2545.1
17/03/1976,1579
18/03/1976,1173.7
19/03/1976,992.4
20/03/1976,843.8
21/03/1976,1416.5
22/03/1976,3064
23/03/1976,1501
24/03/1976,1074.5
25/03/1976,938.7
26/03/1976,2379.8
27/03/1976,3734.6
28/03/1976,1932.3
29/03/1976,1277.9
30/03/1976,989.7
31/03/1976,831.3
1/04/1976,738.7
2/04/1976,659.8
3/04/1976,600.2
4/04/1976,604
5/04/1976,630.1
6/04/1976,549.1
7/04/1976,503.4
8/04/1976,459.5
9/04/1976,429.5
10/04/1976,415.7
11/04/1976,414.5
12/04/1976,389.8
13/04/1976,381.6
14/04/1976,360.9
15/04/1976,350.7
16/04/1976,948.8
17/04/1976,1754.9
18/04/1976,1007.3
19/04/1976,686.2
20/04/1976,558.3
21/04/1976,495.6
22/04/1976,454.5
23/04/1976,418.7
24/04/1976,399.8
25/04/1976,379.7
26/04/1976,351.9
27/04/1976,366.7
28/04/1976,369.9
29/04/1976,477.2
30/04/1976,1064.4
1/05/1976,862.1
2/05/1976,616.1
3/05/1976,527.2
4/05/1976,463.6
5/05/1976,433.5
6/05/1976,410.8
7/05/1976,402.7
8/05/1976,372.7
9/05/1976,347
10/05/1976,327.9
11/05/1976,320.1
12/05/1976,330.9
13/05/1976,307.9
14/05/1976,296.1
15/05/1976,297
16/05/1976,261.2
17/05/1976,233.1
18/05/1976,220.3
19/05/1976,224.1
20/05/1976,214.2
21/05/1976,214.3
22/05/1976,235.1
23/05/1976,614.9
24/05/1976,1090.8
25/05/1976,1006.2
26/05/1976,763
27/05/1976,575.3
28/05/1976,453.7
29/05/1976,376.8
30/05/1976,334
31/05/1976,300
1/06/1976,278.5
2/06/1976,253.6
3/06/1976,234.6
4/06/1976,232.6
5/06/1976,207.7
6/06/1976,197.8
7/06/1976,182.8
8/06/1976,178.8
9/06/1976,168.9
10/06/1976,150.9
11/06/1976,155.9
12/06/1976,162.9
13/06/1976,145.9
14/06/1976,141.9
15/06/1976,175.8
16/06/1976,186
17/06/1976,164.8
18/06/1976,156.9
19/06/1976,138.9
20/06/1976,130
21/06/1976,126
22/06/1976,125
23/06/1976,133
24/06/1976,133
25/06/1976,119
26/06/1976,130
27/06/1976,134
28/06/1976,124
29/06/1976,123
30/06/1976,120
1/07/1976,108.9
2/07/1976,96.9
