Date,Brisbane_Savages
1/10/1975,464.7
2/10/1975,632.6
3/10/1975,530.4
4/10/1975,459.6
5/10/1975,449.7
6/10/1975,395.4
7/10/1975,382
8/10/1975,370.2
9/10/1975,381.8
10/10/1975,377.1
11/10/1975,568.9
12/10/1975,554.7
13/10/1975,440.1
14/10/1975,397.1
15/10/1975,378.6
16/10/1975,355.5
17/10/1975,367.5
18/10/1975,403.4
19/10/1975,486.6
20/10/1975,2062.3
21/10/1975,3695.4
22/10/1975,3917.9
23/10/1975,2738.1
24/10/1975,3054.8
25/10/1975,4802.2
26/10/1975,5330.9
27/10/1975,3740.4
28/10/1975,2262.6
29/10/1975,1634.7
30/10/1975,1420.6
31/10/1975,1241.1
1/11/1975,1093.9
2/11/1975,979.8
3/11/1975,872.3
4/11/1975,845.2
5/11/1975,865
6/11/1975,752
7/11/1975,630.7
8/11/1975,662.3
9/11/1975,927
10/11/1975,1575
11/11/1975,2739.2
12/11/1975,3532
13/11/1975,2461
14/11/1975,1921.7
15/11/1975,4016.5
16/11/1975,5239.9
17/11/1975,5548.5
18/11/1975,3905.6
19/11/1975,2935.1
20/11/1975,2235.5
21/11/1975,1767.2
22/11/1975,1564.3
23/11/1975,1386
24/11/1975,1406.6
25/11/1975,1254.6
26/11/1975,2021.3
27/11/1975,1952
28/11/1975,1446.4
29/11/1975,1263.3
30/11/1975,1093.2
1/12/1975,850.7
2/12/1975,883.1
3/12/1975,747.5
4/12/1975,623
5/12/1975,611.3
6/12/1975,551.2
7/12/1975,572.7
8/12/1975,551.3
9/12/1975,714.4
10/12/1975,1069.5
11/12/1975,1378.5
12/12/1975,1523.4
13/12/1975,1394.3
14/12/1975,1159.8
15/12/1975,946
16/12/1975,746.8
17/12/1975,721.4
18/12/1975,758
19/12/1975,990.4
20/12/1975,4583.1
21/12/1975,11753.8
22/12/1975,13830.1
23/12/1975,22334.8
24/12/1975,35533.7
25/12/1975,49938.3
26/12/1975,33451
27/12/1975,17913.1
28/12/1975,11102.9
29/12/1975,7518.9
30/12/1975,5888
31/12/1975,4937.7
1/01/1976,4130.5
2/01/1976,3416.7
3/01/1976,2984.4
4/01/1976,2827.7
5/01/1976,2616.1
6/01/1976,2195.8
7/01/1976,1925
8/01/1976,1988.7
9/01/1976,1969.2
10/01/1976,1899.8
11/01/1976,1860.6
12/01/1976,2742.2
13/01/1976,3214.1
14/01/1976,2888
15/01/1976,3130.2
16/01/1976,3607.6
17/01/1976,3242.1
18/01/1976,2887.4
19/01/1976,2654.4
20/01/1976,40556.1
21/01/1976,112088.4
22/01/1976,131807.5
23/01/1976,92511.7
24/01/1976,43760.7
25/01/1976,27103.7
26/01/1976,19401.2
27/01/1976,13516.5
28/01/1976,9422.6
29/01/1976,7636.6
30/01/1976,6046.7
31/01/1976,4999
1/02/1976,4288.2
2/02/1976,4131.2
3/02/1976,3771.1
4/02/1976,3427.5
5/02/1976,3162.9
6/02/1976,3134
7/02/1976,2806.9
8/02/1976,2837.8
9/02/1976,2985.4
10/02/1976,2930
11/02/1976,5445.5
12/02/1976,66501.1
13/02/1976,74652.3
14/02/1976,52591.6
15/02/1976,23820
16/02/1976,15233.1
17/02/1976,14276.3
18/02/1976,9026.6
19/02/1976,6359.5
20/02/1976,5342
21/02/1976,4528.9
22/02/1976,5895.8
23/02/1976,19460
24/02/1976,41801.9
25/02/1976,43938.6
26/02/1976,28021.5
27/02/1976,16047.7
28/02/1976,23803.6
29/02/1976,48838
1/03/1976,76071.4
2/03/1976,60768
3/03/1976,61420.9
4/03/1976,50876.1
5/03/1976,37688.5
6/03/1976,26039.7
7/03/1976,19112.8
8/03/1976,21464.8
9/03/1976,29192.6
10/03/1976,28115.8
11/03/1976,19136.9
12/03/1976,14526.8
13/03/1976,12816.4
14/03/1976,23811.6
15/03/1976,35900.8
16/03/1976,37754.1
17/03/1976,26798.1
18/03/1976,15962.6
19/03/1976,10039.1
20/03/1976,8008.9
21/03/1976,6676.9
22/03/1976,7196.5
23/03/1976,9477.9
24/03/1976,8558.3
25/03/1976,7731.2
26/03/1976,9742.4
27/03/1976,12209.4
28/03/1976,12169.3
29/03/1976,9353.8
30/03/1976,8184.6
31/03/1976,6474.9
1/04/1976,5459.1
2/04/1976,4413.7
3/04/1976,3664.9
4/04/1976,3673.5
5/04/1976,4265.3
6/04/1976,3884.1
7/04/1976,3425.3
8/04/1976,2825.4
9/04/1976,2625.8
10/04/1976,2474.5
11/04/1976,2497.6
12/04/1976,2445.5
13/04/1976,2433.3
14/04/1976,2303.1
15/04/1976,2282.6
16/04/1976,2800.3
17/04/1976,4951
18/04/1976,6503.6
19/04/1976,5923.6
20/04/1976,4540.4
21/04/1976,3624.8
22/04/1976,3132.7
23/04/1976,2961.5
24/04/1976,2692.4
25/04/1976,2792.8
26/04/1976,2832.1
27/04/1976,2474.1
28/04/1976,2907.8
29/04/1976,3834.9
30/04/1976,3855.9
1/05/1976,3328.9
2/05/1976,2815.8
3/05/1976,2402
4/05/1976,2338.8
5/05/1976,2352.6
6/05/1976,2039.5
7/05/1976,1787.1
8/05/1976,1730.4
9/05/1976,1643.2
10/05/1976,1565.7
11/05/1976,1714.8
12/05/1976,1741.1
13/05/1976,1576.9
14/05/1976,1548
15/05/1976,1610.7
16/05/1976,1594.9
17/05/1976,1564.1
18/05/1976,1569.6
19/05/1976,1519
20/05/1976,1509.6
21/05/1976,1485.2
22/05/1976,1540.4
23/05/1976,10327.2
24/05/1976,21748.4
25/05/1976,20531.4
26/05/1976,13299.3
27/05/1976,8443.5
28/05/1976,5513.2
29/05/1976,3405
30/05/1976,2843.4
31/05/1976,2811.9
1/06/1976,2949.1
2/06/1976,2996.1
3/06/1976,2383.6
4/06/1976,2289.1
5/06/1976,1961.9
6/06/1976,1597.9
7/06/1976,1430
8/06/1976,1383.1
9/06/1976,1272
10/06/1976,1250.7
11/06/1976,1197.5
12/06/1976,1198.9
13/06/1976,1210.5
14/06/1976,1504.9
15/06/1976,1676.8
16/06/1976,1605.5
17/06/1976,1402.1
18/06/1976,1427.8
19/06/1976,1462.4
20/06/1976,1597.8
21/06/1976,1537.9
22/06/1976,1353.2
23/06/1976,1128.1
24/06/1976,1195.9
25/06/1976,1203
26/06/1976,1172.2
27/06/1976,1307.2
28/06/1976,1410.3
29/06/1976,1265.1
30/06/1976,1236.1
1/07/1976,1064.5
2/07/1976,906
3/07/1976,824.5
4/07/1976,786.4
5/07/1976,762.9
6/07/1976,754.3
7/07/1976,731.4
8/07/1976,713
9/07/1976,709.3
10/07/1976,678.9
11/07/1976,749.5
12/07/1976,746.7
13/07/1976,760.2
14/07/1976,793.4
15/07/1976,944.6
16/07/1976,877.1
17/07/1976,797.6
18/07/1976,763.9
19/07/1976,734.2
20/07/1976,695.4
21/07/1976,689.9
22/07/1976,648.6
23/07/1976,624.3
24/07/1976,651.3
25/07/1976,626
26/07/1976,1102.8
27/07/1976,1098.5
28/07/1976,967.2
29/07/1976,966.7
30/07/1976,1010.7
31/07/1976,945.1
1/08/1976,834.9
2/08/1976,778.3
3/08/1976,745.8
4/08/1976,704.4
5/08/1976,683.5
6/08/1976,654.7
7/08/1976,612.3
8/08/1976,590.2
9/08/1976,608.4
10/08/1976,580.8
11/08/1976,532.2
12/08/1976,498.1
13/08/1976,502.4
14/08/1976,476.8
15/08/1976,484.1
16/08/1976,474.2
17/08/1976,440.9
18/08/1976,432.1
19/08/1976,421.7
20/08/1976,407.4
21/08/1976,408.4
22/08/1976,402.3
23/08/1976,415.1
24/08/1976,402.2
25/08/1976,397.9
26/08/1976,392.7
27/08/1976,428.9
28/08/1976,415.8
29/08/1976,399.9
30/08/1976,446.1
31/08/1976,388.3
1/09/1976,394.8
2/09/1976,480.5
3/09/1976,509.3
4/09/1976,452.1
5/09/1976,435.3
6/09/1976,453.2
7/09/1976,435.4
8/09/1976,401.4
9/09/1976,386.5
10/09/1976,441.3
11/09/1976,425.3
12/09/1976,410.5
13/09/1976,390.1
14/09/1976,365.6
15/09/1976,351.4
16/09/1976,342.4
17/09/1976,332
18/09/1976,898.4
19/09/1976,1133.6
20/09/1976,876.3
21/09/1976,814.7
22/09/1976,725.9
23/09/1976,749.9
24/09/1976,661.7
25/09/1976,710.6
26/09/1976,688.3
27/09/1976,889.4
28/09/1976,1232.5
29/09/1976,956.9
30/09/1976,945.1
1/10/1976,1050.1
2/10/1976,1021
3/10/1976,924
4/10/1976,819
5/10/1976,721.5
6/10/1976,686.1
7/10/1976,692.8
8/10/1976,698.9
9/10/1976,627.3
10/10/1976,543.5
11/10/1976,512.9
12/10/1976,486.7
13/10/1976,478.7
14/10/1976,711.1
15/10/1976,669
16/10/1976,526.4
17/10/1976,508.8
18/10/1976,497.8
19/10/1976,488.6
20/10/1976,480.3
21/10/1976,493
22/10/1976,504.5
23/10/1976,638.9
24/10/1976,641.2
25/10/1976,570.9
26/10/1976,594.6
27/10/1976,1267.7
28/10/1976,1423.9
29/10/1976,1321.5
30/10/1976,1709.1
31/10/1976,2813.8
1/11/1976,6711.2
2/11/1976,27695.6
3/11/1976,23762.2
4/11/1976,13701.2
5/11/1976,7292.9
6/11/1976,4368.3
7/11/1976,3141.5
8/11/1976,2521.3
9/11/1976,2116.7
10/11/1976,2920.5
11/11/1976,4790.8
12/11/1976,5067
13/11/1976,3977.5
14/11/1976,3957.7
15/11/1976,8431.8
16/11/1976,7978.7
17/11/1976,4990.9
18/11/1976,3651.8
19/11/1976,2967.4
20/11/1976,2390.1
21/11/1976,2300.3
22/11/1976,2161.1
23/11/1976,2421.2
24/11/1976,2478.9
25/11/1976,2332.9
26/11/1976,1876.9
27/11/1976,1707
28/11/1976,1453.8
29/11/1976,1174.7
30/11/1976,2267.2
1/12/1976,2576.8
2/12/1976,3817.4
3/12/1976,2958.1
4/12/1976,1589.2
5/12/1976,1574.9
6/12/1976,1371.6
7/12/1976,1113.6
8/12/1976,899
9/12/1976,828.1
10/12/1976,783.9
11/12/1976,723.5
12/12/1976,635.6
13/12/1976,580.8
14/12/1976,577.1
15/12/1976,520.9
16/12/1976,505.6
17/12/1976,512.4
18/12/1976,505.2
19/12/1976,489.3
20/12/1976,473
21/12/1976,435.7
22/12/1976,427.1
23/12/1976,457.6
24/12/1976,716.5
25/12/1976,645.9
26/12/1976,557.6
27/12/1976,620.4
28/12/1976,679.9
29/12/1976,619.7
30/12/1976,637.6
31/12/1976,723.7
1/01/1977,1084.2
2/01/1977,1251.7
3/01/1977,1131.8
4/01/1977,1270.4
5/01/1977,974.7
6/01/1977,843
7/01/1977,962.1
8/01/1977,1135.5
9/01/1977,926.8
10/01/1977,828.2
11/01/1977,728.4
12/01/1977,631.7
13/01/1977,587.9
14/01/1977,499.2
15/01/1977,519.4
16/01/1977,604.2
17/01/1977,954.6
18/01/1977,1170.8
19/01/1977,1251.1
20/01/1977,709.1
21/01/1977,517.4
22/01/1977,463.8
23/01/1977,473.3
24/01/1977,571.7
25/01/1977,567.8
26/01/1977,453.3
27/01/1977,375.7
28/01/1977,313.9
29/01/1977,288.6
30/01/1977,274.3
