Date,Buaraba_15.8km
1/10/1975,3
2/10/1975,3
3/10/1975,2
4/10/1975,2
5/10/1975,2
6/10/1975,2
7/10/1975,2
8/10/1975,2
9/10/1975,2
10/10/1975,0
11/10/1975,2
12/10/1975,0
13/10/1975,0
14/10/1975,0
15/10/1975,0
16/10/1975,0
17/10/1975,0
18/10/1975,1
19/10/1975,2
20/10/1975,110.7
21/10/1975,97.9
22/10/1975,125.4
23/10/1975,179.3
24/10/1975,424.5
25/10/1975,522.5
26/10/1975,446.5
27/10/1975,370.5
28/10/1975,308.8
29/10/1975,259.4
30/10/1975,217.9
31/10/1975,186.4
1/11/1975,158.8
2/11/1975,137.1
3/11/1975,119.3
4/11/1975,104.5
5/11/1975,92.7
6/11/1975,62.1
7/11/1975,67.1
8/11/1975,64.1
9/11/1975,63.2
10/11/1975,89.8
11/11/1975,93.8
12/11/1975,81.9
13/11/1975,72.1
14/11/1975,64.2
15/11/1975,59.2
16/11/1975,54.3
17/11/1975,45.4
18/11/1975,41.4
19/11/1975,38.5
20/11/1975,34.5
21/11/1975,31.6
22/11/1975,29.6
23/11/1975,26.6
24/11/1975,27.6
25/11/1975,23.7
26/11/1975,26.7
27/11/1975,20.7
28/11/1975,19.7
29/11/1975,18.8
30/11/1975,16.8
1/12/1975,15.8
2/12/1975,15.8
3/12/1975,15.8
4/12/1975,11.8
5/12/1975,8.9
6/12/1975,14.8
7/12/1975,10.9
8/12/1975,10.9
9/12/1975,11.8
10/12/1975,8.9
11/12/1975,5.9
12/12/1975,7.9
13/12/1975,7.9
14/12/1975,6.9
15/12/1975,6.9
16/12/1975,64.2
17/12/1975,70.2
18/12/1975,58.3
19/12/1975,54.4
20/12/1975,113.8
21/12/1975,228.6
22/12/1975,1083.5
23/12/1975,1015.5
24/12/1975,3405.4
25/12/1975,2504.5
26/12/1975,894.5
27/12/1975,453.7
28/12/1975,334.2
29/12/1975,254.1
30/12/1975,216.5
31/12/1975,199.7
1/01/1976,136.4
2/01/1976,107.8
3/01/1976,102.8
4/01/1976,97.9
5/01/1976,75.1
6/01/1976,51.4
7/01/1976,51.4
8/01/1976,50.4
9/01/1976,51.4
10/01/1976,50.4
11/01/1976,58.3
12/01/1976,68.2
13/01/1976,67.2
14/01/1976,68.2
15/01/1976,76.1
16/01/1976,91.9
17/01/1976,81
18/01/1976,63.2
19/01/1976,51.4
20/01/1976,307.9
21/01/1976,4615.4
22/01/1976,2406.5
23/01/1976,1042.5
24/01/1976,715.5
25/01/1976,545.5
26/01/1976,365.5
27/01/1976,262.2
28/01/1976,188.3
29/01/1976,153.8
30/01/1976,137
31/01/1976,112.4
1/02/1976,113.4
2/02/1976,112.4
3/02/1976,93.7
4/02/1976,88.8
5/02/1976,88.8
6/02/1976,99.6
7/02/1976,75.9
8/02/1976,67.1
9/02/1976,87.8
10/02/1976,87.8
11/02/1976,796.8
12/02/1976,4241.4
13/02/1976,1412.5
14/02/1976,641.5
15/02/1976,436.6
16/02/1976,336.1
17/02/1976,275.8
18/02/1976,258
19/02/1976,227.3
20/02/1976,164.1
21/02/1976,141.3
22/02/1976,141.3
23/02/1976,958.5
24/02/1976,2179.5
25/02/1976,932.5
26/02/1976,516.5
27/02/1976,461.5
28/02/1976,562.5
29/02/1976,1630.5
1/03/1976,2868.4
2/03/1976,1816.5
3/03/1976,1480.5
4/03/1976,845.5
5/03/1976,554.5
6/03/1976,498.5
7/03/1976,620.5
8/03/1976,2516.4
9/03/1976,4405.4
10/03/1976,1713.5
11/03/1976,918.5
12/03/1976,653.5
13/03/1976,518.5
14/03/1976,481.5
15/03/1976,609.5
16/03/1976,431.5
17/03/1976,355.6
18/03/1976,303.1
19/03/1976,293.2
20/03/1976,255.7
21/03/1976,225.1
22/03/1976,256.7
23/03/1976,256.7
24/03/1976,230.1
25/03/1976,189.6
26/03/1976,213.3
27/03/1976,212.3
28/03/1976,169.8
29/03/1976,141.2
30/03/1976,121.5
31/03/1976,112.6
1/04/1976,112.6
2/04/1976,110.6
3/04/1976,112.6
4/04/1976,112.6
5/04/1976,111.6
6/04/1976,91.8
7/04/1976,87.9
8/04/1976,90.9
9/04/1976,87.9
10/04/1976,73.1
11/04/1976,67.1
12/04/1976,70.1
13/04/1976,59.2
14/04/1976,56.3
15/04/1976,68.1
16/04/1976,74.1
17/04/1976,88.9
18/04/1976,75.1
19/04/1976,56.3
20/04/1976,50.4
21/04/1976,54.3
22/04/1976,53.3
23/04/1976,56.3
24/04/1976,54.3
25/04/1976,44.4
26/04/1976,42.5
27/04/1976,40.5
28/04/1976,49.4
29/04/1976,57.3
30/04/1976,53.3
1/05/1976,40.5
2/05/1976,36.5
3/05/1976,37.5
4/05/1976,39.5
5/05/1976,42.5
6/05/1976,53.3
7/05/1976,54.3
8/05/1976,45.4
9/05/1976,27.6
10/05/1976,38.5
11/05/1976,36.5
12/05/1976,40.5
13/05/1976,40.5
14/05/1976,40.5
15/05/1976,47.4
16/05/1976,55.3
17/05/1976,55.3
18/05/1976,55.3
19/05/1976,52.3
20/05/1976,40.5
21/05/1976,40.5
22/05/1976,46.5
23/05/1976,91.8
24/05/1976,160.5
25/05/1976,110.3
26/05/1976,70.9
27/05/1976,52.2
28/05/1976,29.6
29/05/1976,29.6
30/05/1976,27.6
31/05/1976,27.6
1/06/1976,26.6
2/06/1976,26.6
3/06/1976,41.4
4/06/1976,17.7
5/06/1976,28.6
6/06/1976,18.7
7/06/1976,14.8
8/06/1976,9.9
9/06/1976,8.9
10/06/1976,12.8
11/06/1976,22.7
12/06/1976,18.8
13/06/1976,25.7
14/06/1976,44.5
15/06/1976,22.7
16/06/1976,18.8
17/06/1976,21.7
18/06/1976,21.7
19/06/1976,20.8
20/06/1976,20.8
21/06/1976,21.7
22/06/1976,22.7
23/06/1976,23.7
24/06/1976,19.8
25/06/1976,15.8
26/06/1976,13.8
27/06/1976,14.8
28/06/1976,17.8
29/06/1976,19.8
30/06/1976,21.7
1/07/1976,16.8
2/07/1976,12.9
3/07/1976,11.9
4/07/1976,12.9
5/07/1976,12.9
6/07/1976,11.9
7/07/1976,12.9
8/07/1976,11.9
9/07/1976,12.9
10/07/1976,12.9
11/07/1976,11.9
12/07/1976,9.9
13/07/1976,8.9
14/07/1976,9.9
15/07/1976,16.8
16/07/1976,9.9
17/07/1976,8.9
18/07/1976,7.9
19/07/1976,5.9
20/07/1976,5.9
21/07/1976,5.9
22/07/1976,7.9
23/07/1976,9.9
24/07/1976,8.9
25/07/1976,15.8
26/07/1976,20.7
27/07/1976,42.5
28/07/1976,40.5
29/07/1976,36.6
30/07/1976,42.5
31/07/1976,40.5
1/08/1976,38.6
2/08/1976,22.7
3/08/1976,19.8
4/08/1976,18.8
5/08/1976,18.8
6/08/1976,10.9
7/08/1976,9.9
8/08/1976,8.9
9/08/1976,8.9
10/08/1976,3
11/08/1976,3
12/08/1976,3
13/08/1976,3
14/08/1976,0
15/08/1976,0
16/08/1976,0
17/08/1976,0
18/08/1976,0
19/08/1976,0
20/08/1976,0
21/08/1976,0
22/08/1976,0
23/08/1976,0
24/08/1976,0
25/08/1976,0
26/08/1976,0
27/08/1976,0
28/08/1976,0
29/08/1976,0
30/08/1976,0
31/08/1976,0
1/09/1976,0
2/09/1976,0
3/09/1976,0
4/09/1976,0
5/09/1976,0
6/09/1976,0
7/09/1976,0
8/09/1976,0
9/09/1976,3
10/09/1976,6.9
11/09/1976,3
12/09/1976,5.9
13/09/1976,5.9
14/09/1976,3
15/09/1976,0
16/09/1976,0
17/09/1976,0
18/09/1976,4.9
19/09/1976,14.8
20/09/1976,17.8
21/09/1976,21.7
22/09/1976,1
23/09/1976,1
24/09/1976,0
25/09/1976,0
26/09/1976,0
27/09/1976,3
28/09/1976,24.7
29/09/1976,48.4
30/09/1976,15.8
1/10/1976,11.8
2/10/1976,18.7
3/10/1976,9.9
4/10/1976,3.9
5/10/1976,3
6/10/1976,2
7/10/1976,2
8/10/1976,4.9
9/10/1976,1
10/10/1976,0
11/10/1976,0
12/10/1976,0
13/10/1976,0
14/10/1976,2
15/10/1976,0
16/10/1976,0
17/10/1976,0
18/10/1976,0
19/10/1976,0
20/10/1976,0
21/10/1976,0
22/10/1976,0
23/10/1976,0
24/10/1976,0
25/10/1976,0
26/10/1976,0
27/10/1976,5.9
28/10/1976,4
29/10/1976,9.9
30/10/1976,12.9
31/10/1976,12.9
1/11/1976,627.6
2/11/1976,165.1
3/11/1976,204.7
4/11/1976,170.1
5/11/1976,141.4
6/11/1976,117.7
7/11/1976,98.9
8/11/1976,83.1
9/11/1976,70.2
10/11/1976,256.4
11/11/1976,80.2
12/11/1976,70.3
13/11/1976,28.7
14/11/1976,125.7
15/11/1976,248.3
16/11/1976,113.9
17/11/1976,54.4
18/11/1976,47.5
19/11/1976,43.5
20/11/1976,40.6
21/11/1976,37.6
22/11/1976,32.7
23/11/1976,28.7
24/11/1976,20.8
25/11/1976,14.8
26/11/1976,19.8
27/11/1976,28.7
28/11/1976,18.8
29/11/1976,15.8
30/11/1976,20.8
1/12/1976,15.8
2/12/1976,13.9
3/12/1976,9.9
4/12/1976,7.9
5/12/1976,35.6
