Date,Buaraba_Vineyards
1/10/1975,3
2/10/1975,48.9
3/10/1975,3
4/10/1975,2
5/10/1975,27.9
6/10/1975,2
7/10/1975,2
8/10/1975,2
9/10/1975,2
10/10/1975,2
11/10/1975,0
12/10/1975,2
13/10/1975,0
14/10/1975,0
15/10/1975,0
16/10/1975,0
17/10/1975,0
18/10/1975,0
19/10/1975,1
20/10/1975,3
21/10/1975,222.6
22/10/1975,98.9
23/10/1975,125.4
24/10/1975,514.9
25/10/1975,950.8
26/10/1975,649.3
27/10/1975,497.4
28/10/1975,390.5
29/10/1975,316.8
30/10/1975,263.4
31/10/1975,219.9
1/11/1975,187.4
2/11/1975,159.8
3/11/1975,137.1
4/11/1975,119.3
5/11/1975,104.5
6/11/1975,92.7
7/11/1975,62.1
8/11/1975,67.1
9/11/1975,65.1
10/11/1975,64.2
11/11/1975,89.8
12/11/1975,96.8
13/11/1975,93.9
14/11/1975,101
15/11/1975,66.2
16/11/1975,78.2
17/11/1975,92.2
18/11/1975,88.3
19/11/1975,142.3
20/11/1975,38.5
21/11/1975,88.5
22/11/1975,140.4
23/11/1975,87.5
24/11/1975,36.6
25/11/1975,91.6
26/11/1975,34.7
27/11/1975,38.6
28/11/1975,34.7
29/11/1975,33.7
30/11/1975,34.7
1/12/1975,35.7
2/12/1975,38.8
3/12/1975,42.8
4/12/1975,15.8
5/12/1975,61.8
6/12/1975,8.9
7/12/1975,68.7
8/12/1975,10.9
9/12/1975,10.9
10/12/1975,11.8
11/12/1975,8.9
12/12/1975,5.9
13/12/1975,7.9
14/12/1975,7.9
15/12/1975,6.9
16/12/1975,6.9
17/12/1975,64.2
18/12/1975,131.1
19/12/1975,58.3
20/12/1975,56.4
21/12/1975,429.4
22/12/1975,1157.4
23/12/1975,1642.7
24/12/1975,3079.8
25/12/1975,3964.7
26/12/1975,2709.2
27/12/1975,976.4
28/12/1975,486.6
29/12/1975,348.2
30/12/1975,260.1
31/12/1975,219.5
1/01/1976,200.7
2/01/1976,137.4
3/01/1976,108.8
4/01/1976,102.8
5/01/1976,97.9
6/01/1976,75.1
7/01/1976,51.4
8/01/1976,51.4
9/01/1976,51.4
10/01/1976,52.4
11/01/1976,50.4
12/01/1976,58.3
13/01/1976,68.2
14/01/1976,68.2
15/01/1976,69.2
16/01/1976,76.1
17/01/1976,91.9
18/01/1976,81
19/01/1976,64.2
20/01/1976,52.4
21/01/1976,777.3
22/01/1976,5031.8
23/01/1976,2573.2
24/01/1976,1109.4
25/01/1976,742.5
26/01/1976,556.5
27/01/1976,370.5
28/01/1976,264.2
29/01/1976,189.3
30/01/1976,154.8
31/01/1976,145
1/02/1976,118.4
2/02/1976,113.4
3/02/1976,129.4
4/02/1976,109.7
5/02/1976,88.8
6/02/1976,88.8
7/02/1976,99.6
8/02/1976,75.9
9/02/1976,67.1
10/02/1976,88.8
11/02/1976,611.1
12/02/1976,2020.1
13/02/1976,4925.5
14/02/1976,1686.1
15/02/1976,751.3
16/02/1976,480.6
17/02/1976,354.1
18/02/1976,283.7
19/02/1976,261
20/02/1976,229.3
21/02/1976,165.1
22/02/1976,142.3
23/02/1976,142.3
24/02/1976,959.5
25/02/1976,2179.5
26/02/1976,933.5
27/02/1976,517.5
28/02/1976,462.5
29/02/1976,673.3
1/03/1976,2081.9
2/03/1976,3268.9
3/03/1976,1977.3
4/03/1976,1681.2
5/03/1976,926.4
6/03/1976,587.5
7/03/1976,512.5
8/03/1976,999
9/03/1976,3025.8
10/03/1976,4754.9
11/03/1976,1853.3
12/03/1976,974.4
13/03/1976,676.5
14/03/1976,528.5
15/03/1976,485.5
16/03/1976,611.5
17/03/1976,432.5
18/03/1976,356.6
19/03/1976,304.1
20/03/1976,294.2
21/03/1976,256.7
22/03/1976,226.1
23/03/1976,256.7
24/03/1976,256.7
25/03/1976,230.1
26/03/1976,190.6
27/03/1976,236.3
28/03/1976,236.3
29/03/1976,192.8
30/03/1976,164.2
31/03/1976,144.4
1/04/1976,135.6
2/04/1976,136.5
3/04/1976,133.6
4/04/1976,132.6
5/04/1976,135.5
6/04/1976,134.6
7/04/1976,114.8
8/04/1976,110.9
9/04/1976,114.8
10/04/1976,110.9
11/04/1976,97
12/04/1976,90.1
13/04/1976,93.1
14/04/1976,82.2
15/04/1976,62.3
16/04/1976,72.1
17/04/1976,97
18/04/1976,111.9
19/04/1976,99
20/04/1976,76.3
21/04/1976,78.3
22/04/1976,71.3
23/04/1976,54.3
24/04/1976,56.3
25/04/1976,60.3
26/04/1976,49.4
27/04/1976,47.5
28/04/1976,41.5
29/04/1976,50.4
30/04/1976,57.3
1/05/1976,53.3
2/05/1976,40.5
3/05/1976,36.5
4/05/1976,37.5
5/05/1976,39.5
6/05/1976,42.5
7/05/1976,53.3
8/05/1976,54.3
9/05/1976,46.4
10/05/1976,27.6
11/05/1976,39.5
12/05/1976,37.5
13/05/1976,45.5
14/05/1976,40.5
15/05/1976,43.5
16/05/1976,51.4
17/05/1976,59.3
18/05/1976,55.3
19/05/1976,55.3
20/05/1976,52.3
21/05/1976,40.5
22/05/1976,76.5
23/05/1976,47.5
24/05/1976,92.8
25/05/1976,160.5
26/05/1976,112.3
27/05/1976,70.9
28/05/1976,52.2
29/05/1976,34.6
30/05/1976,86.5
31/05/1976,87.5
1/06/1976,34.6
2/06/1976,289.3
3/06/1976,26.6
4/06/1976,41.4
5/06/1976,17.7
6/06/1976,28.6
7/06/1976,18.7
8/06/1976,14.8
9/06/1976,9.9
10/06/1976,8.9
11/06/1976,12.8
12/06/1976,22.7
13/06/1976,18.8
14/06/1976,26.7
15/06/1976,45.5
16/06/1976,22.7
17/06/1976,18.8
18/06/1976,21.7
19/06/1976,21.7
20/06/1976,20.8
21/06/1976,20.8
22/06/1976,21.7
23/06/1976,22.7
24/06/1976,23.7
25/06/1976,19.8
26/06/1976,15.8
27/06/1976,13.8
28/06/1976,15.8
29/06/1976,17.8
30/06/1976,19.8
1/07/1976,21.7
2/07/1976,16.8
3/07/1976,19.8
4/07/1976,17.9
5/07/1976,12.9
6/07/1976,12.9
7/07/1976,11.9
8/07/1976,12.9
9/07/1976,11.9
10/07/1976,12.9
11/07/1976,13.9
12/07/1976,11.9
13/07/1976,9.9
14/07/1976,32.9
15/07/1976,51.8
16/07/1976,25.8
17/07/1976,17.9
18/07/1976,19.9
19/07/1976,22.9
20/07/1976,17.9
21/07/1976,16.9
22/07/1976,14.9
23/07/1976,7.9
24/07/1976,14.9
