Date,Buaraba_Lockyer
1/10/1975,2.6
2/10/1975,49.5
3/10/1975,2.6
4/10/1975,1.6
5/10/1975,27.5
6/10/1975,2.6
7/10/1975,1.6
8/10/1975,1.5
9/10/1975,2.5
10/10/1975,1.6
11/10/1975,0
12/10/1975,1.6
13/10/1975,0.8
14/10/1975,0
15/10/1975,0
16/10/1975,0.8
17/10/1975,0
18/10/1975,0
19/10/1975,1.6
20/10/1975,2.6
21/10/1975,222.1
22/10/1975,98.5
23/10/1975,125.1
24/10/1975,514.3
25/10/1975,950
26/10/1975,648.7
27/10/1975,496.9
28/10/1975,390
29/10/1975,316.3
30/10/1975,262.9
31/10/1975,219.5
1/11/1975,187
2/11/1975,159.4
3/11/1975,136.7
4/11/1975,119
5/11/1975,104.2
6/11/1975,92.4
7/11/1975,61.8
8/11/1975,66.8
9/11/1975,64.8
10/11/1975,64
11/11/1975,89.7
12/11/1975,96.6
13/11/1975,94.8
14/11/1975,102.9
15/11/1975,68
16/11/1975,79.1
17/11/1975,95.1
18/11/1975,89.2
19/11/1975,143.1
20/11/1975,39.4
21/11/1975,91.3
22/11/1975,141.2
23/11/1975,89.4
24/11/1975,36.5
25/11/1975,95.5
26/11/1975,34.6
27/11/1975,39.6
28/11/1975,35.7
29/11/1975,36.7
30/11/1975,35.7
1/12/1975,36.7
2/12/1975,39.7
3/12/1975,45.7
4/12/1975,15.7
5/12/1975,61.7
6/12/1975,8.8
7/12/1975,68.6
8/12/1975,10.8
9/12/1975,10.8
10/12/1975,11.8
11/12/1975,8.8
12/12/1975,5.9
13/12/1975,7.8
14/12/1975,7.8
15/12/1975,6.8
16/12/1975,6.8
17/12/1975,64.1
18/12/1975,130.9
19/12/1975,60.2
20/12/1975,357.7
21/12/1975,795.1
22/12/1975,1405.6
23/12/1975,1872.7
24/12/1975,3446.5
25/12/1975,4206.3
26/12/1975,2804.9
27/12/1975,1014.7
28/12/1975,502.3
29/12/1975,354.9
30/12/1975,262.9
31/12/1975,220.4
1/01/1976,200.6
2/01/1976,137.3
3/01/1976,108.7
4/01/1976,102.8
5/01/1976,97.8
6/01/1976,75.1
7/01/1976,51.4
8/01/1976,51.4
9/01/1976,51.4
10/01/1976,52.4
11/01/1976,50.4
12/01/1976,58.3
13/01/1976,68.2
14/01/1976,68.2
15/01/1976,69.2
16/01/1976,76
17/01/1976,91.8
18/01/1976,80.9
19/01/1976,64.2
20/01/1976,61.1
21/01/1976,871.8
22/01/1976,5182.5
23/01/1976,2633.1
24/01/1976,1132.7
25/01/1976,752
26/01/1976,560.1
27/01/1976,371.3
28/01/1976,265.1
29/01/1976,189.2
30/01/1976,154.7
31/01/1976,144.9
1/02/1976,118.3
2/02/1976,113.3
3/02/1976,129.3
4/02/1976,109.6
5/02/1976,88.7
6/02/1976,88.7
7/02/1976,99.5
8/02/1976,75.9
9/02/1976,67
10/02/1976,88.7
11/02/1976,851.6
12/02/1976,2622.9
13/02/1976,5246.4
14/02/1976,1814.1
15/02/1976,806.8
16/02/1976,503.2
17/02/1976,362.8
18/02/1976,287.6
19/02/1976,261.8
20/02/1976,230.2
21/02/1976,165
22/02/1976,142.2
23/02/1976,143
24/02/1976,959.3
25/02/1976,2178.2
26/02/1976,932.9
27/02/1976,517.2
28/02/1976,465.3
29/02/1976,713
1/03/1976,2221.7
2/03/1976,3388.6
3/03/1976,2038.2
4/03/1976,1777.1
5/03/1976,964.8
6/03/1976,602.2
7/03/1976,521.2
8/03/1976,1175.3
9/03/1976,3232.5
10/03/1976,4836.5
11/03/1976,1940.2
12/03/1976,1008.8
13/03/1976,690
14/03/1976,534.6
15/03/1976,488.5
16/03/1976,612.1
17/03/1976,432.2
18/03/1976,356.3
19/03/1976,303.9
20/03/1976,294
21/03/1976,256.5
22/03/1976,226
23/03/1976,256.5
24/03/1976,256.5
25/03/1976,229.9
26/03/1976,190.4
27/03/1976,236.1
28/03/1976,236.1
29/03/1976,192.7
30/03/1976,164.1
31/03/1976,144.3
1/04/1976,135.5
2/04/1976,136.4
3/04/1976,133.5
4/04/1976,132.5
5/04/1976,135.4
6/04/1976,134.5
7/04/1976,114.7
8/04/1976,110.8
9/04/1976,114.7
10/04/1976,110.8
11/04/1976,96.9
12/04/1976,90
13/04/1976,93
14/04/1976,82.1
15/04/1976,62.2
16/04/1976,72.1
17/04/1976,96.9
18/04/1976,111.7
19/04/1976,98.9
20/04/1976,76.2
21/04/1976,78.2
22/04/1976,71.2
23/04/1976,54.2
24/04/1976,56.2
25/04/1976,60.2
26/04/1976,49.3
27/04/1976,47.3
28/04/1976,41.4
29/04/1976,50.3
30/04/1976,57.2
1/05/1976,53.2
2/05/1976,40.4
3/05/1976,36.4
4/05/1976,37.4
5/05/1976,39.4
6/05/1976,42.3
7/05/1976,53.2
8/05/1976,54.2
9/05/1976,46.3
10/05/1976,27.5
11/05/1976,39.4
12/05/1976,37.4
13/05/1976,45.4
14/05/1976,40.3
15/05/1976,43.3
16/05/1976,51.2
17/05/1976,59.1
18/05/1976,55.1
19/05/1976,55.1
20/05/1976,52.1
21/05/1976,40.3
22/05/1976,76.3
23/05/1976,47.3
24/05/1976,92.6
25/05/1976,160.3
26/05/1976,112.1
27/05/1976,70.8
28/05/1976,52
29/05/1976,34.4
30/05/1976,86.3
31/05/1976,87.3
1/06/1976,34.4
2/06/1976,288.9
3/06/1976,26.4
4/06/1976,41.2
5/06/1976,17.5
6/06/1976,28.4
7/06/1976,18.5
8/06/1976,14.6
9/06/1976,9.6
10/06/1976,8.6
11/06/1976,12.6
12/06/1976,22.5
13/06/1976,18.5
14/06/1976,26.4
15/06/1976,45.2
16/06/1976,22.4
17/06/1976,18.5
18/06/1976,21.5
19/06/1976,21.4
20/06/1976,20.5
21/06/1976,20.4
22/06/1976,21.4
23/06/1976,22.4
24/06/1976,23.4
25/06/1976,19.4
26/06/1976,15.5
27/06/1976,13.5
28/06/1976,15.5
29/06/1976,17.5
30/06/1976,19.5
1/07/1976,21.4
2/07/1976,16.5
3/07/1976,19.5
4/07/1976,17.5
5/07/1976,12.5
6/07/1976,12.5
7/07/1976,11.5
8/07/1976,12.5
9/07/1976,11.5
10/07/1976,12.5
11/07/1976,13.5
12/07/1976,11.5
13/07/1976,9.6
14/07/1976,32.5
15/07/1976,51.5
16/07/1976,25.4
17/07/1976,17.5
18/07/1976,19.5
19/07/1976,22.5
20/07/1976,17.5
21/07/1976,16.5
22/07/1976,14.5
23/07/1976,7.5
24/07/1976,14.5
25/07/1976,8.5
26/07/1976,18.4
27/07/1976,20.4
28/07/1976,42.2
29/07/1976,40.2
30/07/1976,36.2
31/07/1976,42.1
1/08/1976,40.2
2/08/1976,38.2
3/08/1976,22.4
4/08/1976,19.4
5/08/1976,19.4
6/08/1976,33.4
7/08/1976,24.5
8/08/1976,25.5
9/08/1976,24.5
10/08/1976,29.5
11/08/1976,3.6
12/08/1976,2.6
13/08/1976,2.6
14/08/1976,2.6
15/08/1976,0
16/08/1976,0
17/08/1976,0
18/08/1976,0
19/08/1976,0
20/08/1976,0
21/08/1976,0
22/08/1976,0
23/08/1976,0
24/08/1976,0
25/08/1976,0
26/08/1976,0
27/08/1976,0
28/08/1976,0
29/08/1976,0
30/08/1976,0
31/08/1976,0
1/09/1976,0
2/09/1976,0
3/09/1976,0
4/09/1976,0
5/09/1976,0
6/09/1976,0
7/09/1976,0
8/09/1976,0
9/09/1976,0
10/09/1976,2.4
11/09/1976,6.3
12/09/1976,2.4
13/09/1976,5.3
14/09/1976,5.3
15/09/1976,2.4
16/09/1976,0
17/09/1976,0
18/09/1976,7.4
19/09/1976,13.4
20/09/1976,14.3
21/09/1976,17.3
22/09/1976,24.2
23/09/1976,6.5
24/09/1976,8.5
25/09/1976,7.5
26/09/1976,15.5
27/09/1976,1.8
28/09/1976,5.5
29/09/1976,24.3
30/09/1976,48
1/10/1976,16.4
2/10/1976,11.4
3/10/1976,18.3
4/10/1976,12.4
5/10/1976,9.5
6/10/1976,9.5
7/10/1976,2.5
8/10/1976,2.5
9/10/1976,4.5
10/10/1976,0.7
11/10/1976,0.8
12/10/1976,0
13/10/1976,0
14/10/1976,0
15/10/1976,1.5
16/10/1976,0
17/10/1976,0
18/10/1976,0
19/10/1976,0
20/10/1976,0
21/10/1976,0
22/10/1976,0
23/10/1976,0
24/10/1976,0
25/10/1976,0
26/10/1976,0
27/10/1976,126.3
28/10/1976,52.4
29/10/1976,33.4
30/10/1976,35.4
31/10/1976,855.3
1/11/1976,1465.2
2/11/1976,1673.4
3/11/1976,517.3
4/11/1976,346.2
5/11/1976,226.7
6/11/1976,165.1
7/11/1976,126.4
8/11/1976,102.6
9/11/1976,84.8
10/11/1976,314.7
11/11/1976,1314.7
12/11/1976,945.8
13/11/1976,397.7
14/11/1976,190.5
15/11/1976,275.5
16/11/1976,385
17/11/1976,168.7
18/11/1976,77.4
19/11/1976,56.5
20/11/1976,46.5
21/11/1976,42.6
22/11/1976,38.6
23/11/1976,33.6
24/11/1976,28.7
25/11/1976,20.8
26/11/1976,14.8
27/11/1976,20.8
28/11/1976,28.7
29/11/1976,18.8
30/11/1976,16.8
1/12/1976,20.8
2/12/1976,18.8
3/12/1976,13.8
4/12/1976,39.8
5/12/1976,12.1
6/12/1976,36
7/12/1976,27.7
8/12/1976,26.9
9/12/1976,13.8
10/12/1976,32.8
11/12/1976,6.9
12/12/1976,30.9
13/12/1976,6.9
14/12/1976,43.9
15/12/1976,4
16/12/1976,5
17/12/1976,4
18/12/1976,5
19/12/1976,3
20/12/1976,3
21/12/1976,4
22/12/1976,2
23/12/1976,3
24/12/1976,56.9
25/12/1976,4.9
26/12/1976,3.9
27/12/1976,1
28/12/1976,23.9
29/12/1976,1
30/12/1976,2
31/12/1976,33.9
1/01/1977,0.9
2/01/1977,45.9
3/01/1977,0
4/01/1977,3
5/01/1977,26.9
6/01/1977,28
7/01/1977,0
8/01/1977,1
9/01/1977,0
10/01/1977,1
11/01/1977,0
12/01/1977,0
13/01/1977,0
14/01/1977,0
15/01/1977,0
16/01/1977,0.9
17/01/1977,3.9
18/01/1977,11.9
19/01/1977,10.8
20/01/1977,12.8
21/01/1977,8.8
22/01/1977,7.9
23/01/1977,4.9
24/01/1977,8.9
25/01/1977,4.9
26/01/1977,5.9
27/01/1977,1.9
28/01/1977,0.9
29/01/1977,0.9
30/01/1977,0.9
31/01/1977,0.9
1/02/1977,0.9
2/02/1977,0.9
3/02/1977,0
4/02/1977,3.8
5/02/1977,0
6/02/1977,8.7
7/02/1977,15.6
8/02/1977,24.4
9/02/1977,14.6
10/02/1977,19.6
11/02/1977,15.6
12/02/1977,27.5
13/02/1977,2.8
14/02/1977,2.8
15/02/1977,1.8
16/02/1977,1.8
17/02/1977,1.8
18/02/1977,1.8
19/02/1977,0.8
20/02/1977,1.8
21/02/1977,1.8
22/02/1977,7.8
23/02/1977,4.9
24/02/1977,3.9
25/02/1977,7.8
26/02/1977,7.8
27/02/1977,4.8
28/02/1977,5.9
1/03/1977,23.7
2/03/1977,57.4
3/03/1977,53.4
4/03/1977,45.5
5/03/1977,56.6
6/03/1977,79.5
7/03/1977,56.5
8/03/1977,76.5
9/03/1977,42.6
10/03/1977,436.5
11/03/1977,733.3
12/03/1977,1219.1
13/03/1977,938.7
14/03/1977,752.9
15/03/1977,605.1
16/03/1977,493.2
17/03/1977,405.2
18/03/1977,340.6
19/03/1977,286.3
20/03/1977,245.8
21/03/1977,210.3
22/03/1977,182.6
23/03/1977,159.9
24/03/1977,139.2
25/03/1977,123.4
26/03/1977,109.6
27/03/1977,98.7
28/03/1977,89.9
29/03/1977,81.9
30/03/1977,75
31/03/1977,68.1
1/04/1977,62.2
2/04/1977,60.2
3/04/1977,53.3
4/04/1977,50.3
5/04/1977,48.4
6/04/1977,86
7/04/1977,81.1
8/04/1977,71.2
9/04/1977,74.2
10/04/1977,57.3
11/04/1977,50.4
12/04/1977,45.4
13/04/1977,42.5
14/04/1977,38.5
15/04/1977,36.5
16/04/1977,36.5
17/04/1977,31.6
18/04/1977,28.7
19/04/1977,26.7
20/04/1977,23.7
21/04/1977,23.7
22/04/1977,20.7
23/04/1977,20.7
24/04/1977,17.8
25/04/1977,17.8
26/04/1977,16.8
27/04/1977,15.8
28/04/1977,13.8
29/04/1977,13.8
30/04/1977,11.8
1/05/1977,12.8
2/05/1977,10.8
3/05/1977,11.8
4/05/1977,10.8
5/05/1977,9.8
6/05/1977,12.8
7/05/1977,8.8
8/05/1977,5.9
9/05/1977,7.8
10/05/1977,7.8
11/05/1977,7.9
12/05/1977,57.2
13/05/1977,55.3
