Date,Emu_BoatMtn
1/10/1975,18
2/10/1975,13.5
3/10/1975,10.8
4/10/1975,13.5
5/10/1975,13.5
6/10/1975,18.9
7/10/1975,15.3
8/10/1975,18
9/10/1975,9.9
10/10/1975,8.2
11/10/1975,8.1
12/10/1975,8.1
13/10/1975,14.4
14/10/1975,9.9
15/10/1975,9.9
16/10/1975,9.9
17/10/1975,9.9
18/10/1975,10.8
19/10/1975,8.1
20/10/1975,13.5
21/10/1975,18.9
22/10/1975,26.1
23/10/1975,22.5
24/10/1975,46.9
25/10/1975,134.1
26/10/1975,182.2
27/10/1975,196
28/10/1975,119.3
29/10/1975,69
30/10/1975,43.1
31/10/1975,25.2
1/11/1975,20.3
2/11/1975,28.7
3/11/1975,35.8
4/11/1975,26.7
5/11/1975,19.5
6/11/1975,24.9
7/11/1975,25.7
8/11/1975,32.8
9/11/1975,143.5
10/11/1975,246.3
11/11/1975,287.6
12/11/1975,405.2
13/11/1975,277.4
14/11/1975,220.5
15/11/1975,180.8
16/11/1975,190.7
17/11/1975,216.9
18/11/1975,177.9
19/11/1975,142
20/11/1975,111.3
21/11/1975,86.4
22/11/1975,61.7
23/11/1975,52.8
24/11/1975,43.8
25/11/1975,32.9
26/11/1975,42
27/11/1975,106.5
28/11/1975,85.4
29/11/1975,60.9
30/11/1975,46.5
1/12/1975,32.7
2/12/1975,31
3/12/1975,21.1
4/12/1975,23.7
5/12/1975,17.4
6/12/1975,17.4
7/12/1975,13.8
8/12/1975,15.7
9/12/1975,17.5
10/12/1975,18.3
11/12/1975,10.2
12/12/1975,11.1
13/12/1975,16.5
14/12/1975,12.9
15/12/1975,16.6
16/12/1975,13.8
17/12/1975,12.9
18/12/1975,13.8
19/12/1975,13.9
20/12/1975,21.1
21/12/1975,28.2
22/12/1975,61.1
23/12/1975,143.6
24/12/1975,577.5
25/12/1975,850.3
26/12/1975,688.6
27/12/1975,400
28/12/1975,258.2
29/12/1975,223.4
30/12/1975,196.3
31/12/1975,175.4
1/01/1976,142
2/01/1976,119.4
3/01/1976,108.1
4/01/1976,110.6
5/01/1976,76.2
6/01/1976,102.8
7/01/1976,109.5
8/01/1976,82.7
9/01/1976,58.2
10/01/1976,51.9
11/01/1976,1013.5
12/01/1976,1351
13/01/1976,475.3
14/01/1976,266.6
15/01/1976,500.7
16/01/1976,286.3
17/01/1976,362.4
18/01/1976,234.6
19/01/1976,175.1
20/01/1976,1065.4
21/01/1976,11933.6
22/01/1976,3526.3
23/01/1976,1276.7
24/01/1976,941.2
25/01/1976,783.5
26/01/1976,571.1
27/01/1976,365.4
28/01/1976,271.5
29/01/1976,227.6
30/01/1976,188.7
31/01/1976,164.7
1/02/1976,154.2
2/02/1976,138.4
3/02/1976,91.6
4/02/1976,90.7
5/02/1976,68.6
6/02/1976,56.9
7/02/1976,37.1
8/02/1976,33.5
9/02/1976,25.4
10/02/1976,27.3
11/02/1976,61.2
12/02/1976,7387.5
13/02/1976,4124.3
14/02/1976,1014.8
15/02/1976,467.7
16/02/1976,297.9
17/02/1976,237
18/02/1976,212.1
19/02/1976,181.1
20/02/1976,158.3
21/02/1976,119.6
22/02/1976,95
23/02/1976,97.2
24/02/1976,152.1
25/02/1976,317.9
26/02/1976,332.1
27/02/1976,4366.3
28/02/1976,3262.5
29/02/1976,10840.6
1/03/1976,7292
2/03/1976,4879.5
3/03/1976,2555.9
4/03/1976,1585.2
5/03/1976,1074
6/03/1976,1654.8
7/03/1976,1434.3
8/03/1976,2039.7
9/03/1976,1346.7
10/03/1976,895.2
11/03/1976,648.5
12/03/1976,475.7
13/03/1976,400.8
14/03/1976,396.8
15/03/1976,685.5
16/03/1976,472.8
17/03/1976,364.8
18/03/1976,314
19/03/1976,283
20/03/1976,252.2
21/03/1976,917.3
22/03/1976,847.3
23/03/1976,418.8
24/03/1976,302
25/03/1976,245
26/03/1976,298
27/03/1976,523.7
28/03/1976,319.9
29/03/1976,263.1
30/03/1976,225.1
31/03/1976,204.1
1/04/1976,181.5
2/04/1976,165.6
3/04/1976,151.7
4/04/1976,149.6
5/04/1976,152.7
6/04/1976,138.7
7/04/1976,128.7
8/04/1976,121.8
9/04/1976,113.1
10/04/1976,100.3
11/04/1976,98.4
12/04/1976,94.9
13/04/1976,89.9
14/04/1976,89.9
15/04/1976,89.1
16/04/1976,108.3
17/04/1976,152.6
18/04/1976,150.6
19/04/1976,118
20/04/1976,106.3
21/04/1976,97.6
22/04/1976,91.7
23/04/1976,86.2
24/04/1976,80.8
25/04/1976,79.8
26/04/1976,81.7
27/04/1976,81.6
28/04/1976,81.5
29/04/1976,89.9
30/04/1976,120.7
1/05/1976,120.3
2/05/1976,106
3/05/1976,101.2
4/05/1976,90.7
5/05/1976,85
6/05/1976,78.6
7/05/1976,80.4
8/05/1976,83.9
9/05/1976,78.6
10/05/1976,73.2
11/05/1976,72.2
12/05/1976,88.4
13/05/1976,90.6
14/05/1976,82.4
15/05/1976,78.7
16/05/1976,74.3
17/05/1976,73.3
18/05/1976,75.9
19/05/1976,76.8
20/05/1976,71.4
21/05/1976,70.5
22/05/1976,67
23/05/1976,70.4
24/05/1976,87.9
25/05/1976,168.1
26/05/1976,155.3
27/05/1976,133.5
28/05/1976,112.8
29/05/1976,96.1
30/05/1976,85.4
31/05/1976,81.6
1/06/1976,82.8
2/06/1976,77.4
3/06/1976,74.1
4/06/1976,74.1
5/06/1976,74.3
6/06/1976,75.3
7/06/1976,73.4
8/06/1976,74.1
9/06/1976,71.5
10/06/1976,67.8
11/06/1976,66.9
12/06/1976,67.8
13/06/1976,61.5
14/06/1976,67.8
15/06/1976,66
16/06/1976,68.8
17/06/1976,68.8
18/06/1976,63.3
19/06/1976,67.8
20/06/1976,66.2
21/06/1976,60.7
22/06/1976,61.5
23/06/1976,60.6
24/06/1976,61.5
25/06/1976,61.5
26/06/1976,59.9
27/06/1976,61.5
28/06/1976,65.1
29/06/1976,57
30/06/1976,57
1/07/1976,50.8
2/07/1976,53.6
3/07/1976,56.2
4/07/1976,54.5
5/07/1976,56.2
6/07/1976,54.5
7/07/1976,53.6
8/07/1976,54.4
9/07/1976,55.3
10/07/1976,57.1
11/07/1976,53.4
12/07/1976,55.3
13/07/1976,53.5
14/07/1976,49.9
15/07/1976,48
16/07/1976,49.1
17/07/1976,48.9
18/07/1976,50.8
19/07/1976,49.9
20/07/1976,49.9
21/07/1976,48.2
22/07/1976,50.7
23/07/1976,50.7
24/07/1976,49.9
25/07/1976,49.9
26/07/1976,59.7
27/07/1976,75.1
28/07/1976,109.8
29/07/1976,100.2
30/07/1976,86.9
31/07/1976,73.3
1/08/1976,71
2/08/1976,70.2
3/08/1976,65.7
4/08/1976,64
5/08/1976,58.5
