Date,Kandang_Hyg
1/10/1975,10
2/10/1975,6
3/10/1975,10
4/10/1975,8
5/10/1975,8
6/10/1975,6
7/10/1975,8
8/10/1975,6
9/10/1975,4
10/10/1975,4
11/10/1975,8
12/10/1975,4
13/10/1975,4
14/10/1975,4
15/10/1975,2
16/10/1975,0
17/10/1975,0
18/10/1975,2
19/10/1975,0
20/10/1975,4
21/10/1975,8
22/10/1975,9
23/10/1975,20
24/10/1975,27
25/10/1975,35
26/10/1975,34
27/10/1975,33
28/10/1975,27
29/10/1975,22
30/10/1975,19
31/10/1975,17
1/11/1975,19
2/11/1975,17
3/11/1975,18
4/11/1975,15
5/11/1975,15
6/11/1975,16
7/11/1975,13
8/11/1975,11
9/11/1975,9
10/11/1975,25
11/11/1975,66
12/11/1975,54
13/11/1975,38
14/11/1975,33
15/11/1975,46
16/11/1975,49
17/11/1975,62
18/11/1975,62
19/11/1975,56
20/11/1975,46
21/11/1975,41
22/11/1975,35
23/11/1975,29
24/11/1975,24
25/11/1975,24
26/11/1975,16
27/11/1975,29
28/11/1975,49
29/11/1975,34
30/11/1975,27
1/12/1975,23
2/12/1975,19
3/12/1975,18
4/12/1975,16
5/12/1975,16
6/12/1975,13
7/12/1975,13
8/12/1975,15
9/12/1975,10
10/12/1975,12
11/12/1975,14
12/12/1975,18
13/12/1975,18
14/12/1975,17
15/12/1975,16
16/12/1975,15
17/12/1975,15
18/12/1975,13
19/12/1975,13
20/12/1975,12
21/12/1975,13
22/12/1975,7
23/12/1975,28
24/12/1975,334
25/12/1975,361
26/12/1975,161
27/12/1975,100
28/12/1975,75
29/12/1975,60
30/12/1975,56
31/12/1975,50
1/01/1976,39
2/01/1976,34
3/01/1976,30
4/01/1976,25
5/01/1976,23
6/01/1976,21
7/01/1976,19
8/01/1976,16
9/01/1976,16
10/01/1976,14
11/01/1976,22
12/01/1976,19
13/01/1976,16
14/01/1976,17
15/01/1976,47
16/01/1976,183
17/01/1976,120
18/01/1976,68
19/01/1976,55
20/01/1976,8183
21/01/1976,8799
22/01/1976,2780
23/01/1976,1471
24/01/1976,1199
25/01/1976,707
26/01/1976,441
27/01/1976,307
28/01/1976,213
29/01/1976,153
30/01/1976,121
31/01/1976,96
1/02/1976,85
2/02/1976,75
3/02/1976,66
4/02/1976,70
5/02/1976,69
6/02/1976,64
7/02/1976,63
8/02/1976,56
9/02/1976,52
10/02/1976,51
11/02/1976,72
12/02/1976,4742
13/02/1976,2109
14/02/1976,706
15/02/1976,416
16/02/1976,341
17/02/1976,285
18/02/1976,201
19/02/1976,150
20/02/1976,124
21/02/1976,107
22/02/1976,97
23/02/1976,107
24/02/1976,440
25/02/1976,692
26/02/1976,413
27/02/1976,1630
28/02/1976,1144
29/02/1976,2056
1/03/1976,1186
2/03/1976,1543
3/03/1976,2569
4/03/1976,984
5/03/1976,585
6/03/1976,559
7/03/1976,780
8/03/1976,637
9/03/1976,567
10/03/1976,461
11/03/1976,371
12/03/1976,323
13/03/1976,279
14/03/1976,340
15/03/1976,742
16/03/1976,486
17/03/1976,354
18/03/1976,282
19/03/1976,222
20/03/1976,173
21/03/1976,155
22/03/1976,171
23/03/1976,180
24/03/1976,145
25/03/1976,159
26/03/1976,386
27/03/1976,977
28/03/1976,411
29/03/1976,281
30/03/1976,196
31/03/1976,156
1/04/1976,124
2/04/1976,113
3/04/1976,103
4/04/1976,105
5/04/1976,93
6/04/1976,84
7/04/1976,76
8/04/1976,69
9/04/1976,64
10/04/1976,64
11/04/1976,61
12/04/1976,58
13/04/1976,55
14/04/1976,52
15/04/1976,52
16/04/1976,223
17/04/1976,512
18/04/1976,239
19/04/1976,141
20/04/1976,108
21/04/1976,89
22/04/1976,82
23/04/1976,75
24/04/1976,74
25/04/1976,68
26/04/1976,62
27/04/1976,62
28/04/1976,62
29/04/1976,238
30/04/1976,410
1/05/1976,227
2/05/1976,144
3/05/1976,115
4/05/1976,103
5/05/1976,94
6/05/1976,86
7/05/1976,74
8/05/1976,73
9/05/1976,68
10/05/1976,66
11/05/1976,62
12/05/1976,57
13/05/1976,55
14/05/1976,55
15/05/1976,50
16/05/1976,45
