Date,LitNer_4km
1/10/1975,3.4
2/10/1975,12.4
3/10/1975,4.5
4/10/1975,2.3
5/10/1975,2.4
6/10/1975,2.4
7/10/1975,2.4
8/10/1975,2.4
9/10/1975,2.4
10/10/1975,2.4
11/10/1975,4.1
12/10/1975,1.9
13/10/1975,1.4
14/10/1975,0.6
15/10/1975,0.4
16/10/1975,0.3
17/10/1975,3.2
18/10/1975,5.6
19/10/1975,22.3
20/10/1975,158.6
21/10/1975,92
22/10/1975,52.2
23/10/1975,38
24/10/1975,191.6
25/10/1975,189.8
26/10/1975,134.1
27/10/1975,102.7
28/10/1975,81.3
29/10/1975,67
30/10/1975,55.5
31/10/1975,47.7
1/11/1975,42.5
2/11/1975,36.4
3/11/1975,33.3
4/11/1975,35
5/11/1975,43.9
6/11/1975,31.7
7/11/1975,24.8
8/11/1975,23.5
9/11/1975,31
10/11/1975,39
11/11/1975,41.4
12/11/1975,27.7
13/11/1975,26
14/11/1975,62
15/11/1975,177
16/11/1975,228.3
17/11/1975,178.1
18/11/1975,140.1
19/11/1975,106.1
20/11/1975,82.9
21/11/1975,70.4
22/11/1975,60.9
23/11/1975,55.1
24/11/1975,52.1
25/11/1975,44.8
26/11/1975,49.7
27/11/1975,51.4
28/11/1975,39.8
29/11/1975,34.6
30/11/1975,33.4
1/12/1975,32.5
2/12/1975,31.4
3/12/1975,31.4
4/12/1975,29.7
5/12/1975,27.7
6/12/1975,32.4
7/12/1975,70.9
8/12/1975,82.3
9/12/1975,59.9
10/12/1975,42.8
11/12/1975,36.4
12/12/1975,30.5
13/12/1975,26.8
14/12/1975,25.6
15/12/1975,23.6
16/12/1975,23.3
17/12/1975,22.5
18/12/1975,22.4
19/12/1975,18
20/12/1975,54.5
21/12/1975,103.3
22/12/1975,144.8
23/12/1975,145.4
24/12/1975,442.1
25/12/1975,307.9
26/12/1975,191.4
27/12/1975,188.1
28/12/1975,167.6
29/12/1975,170.6
30/12/1975,152.2
31/12/1975,126.1
1/01/1976,106.8
2/01/1976,100.6
3/01/1976,85.4
4/01/1976,76.4
5/01/1976,69.6
6/01/1976,62.4
7/01/1976,58.9
8/01/1976,53.3
9/01/1976,50.1
10/01/1976,52.5
11/01/1976,53
12/01/1976,43.7
13/01/1976,41.6
14/01/1976,82.5
15/01/1976,173.2
16/01/1976,167
17/01/1976,143.6
18/01/1976,104.7
19/01/1976,201.9
20/01/1976,1818.3
21/01/1976,2541.2
22/01/1976,1057.4
23/01/1976,591.8
24/01/1976,488.2
25/01/1976,405.8
26/01/1976,368.1
27/01/1976,309.1
28/01/1976,260.3
29/01/1976,223.6
30/01/1976,192.4
31/01/1976,167
1/02/1976,147.1
2/02/1976,128.7
3/02/1976,124.5
4/02/1976,117.2
5/02/1976,106.6
6/02/1976,93.4
7/02/1976,87
8/02/1976,81.5
9/02/1976,74.1
10/02/1976,65.2
11/02/1976,4915.3
12/02/1976,2385.8
13/02/1976,960.6
14/02/1976,749.2
15/02/1976,674.5
16/02/1976,560.3
17/02/1976,474.7
18/02/1976,393
19/02/1976,327.3
20/02/1976,272.7
21/02/1976,228.7
22/02/1976,898.9
23/02/1976,2794.7
24/02/1976,1421.7
25/02/1976,827.2
26/02/1976,668.4
27/02/1976,705.4
28/02/1976,1114.9
29/02/1976,3356
1/03/1976,1613.9
2/03/1976,1123.7
3/03/1976,1989.5
4/03/1976,1176.5
5/03/1976,791.4
6/03/1976,742.8
7/03/1976,677.5
8/03/1976,913.8
9/03/1976,669.8
10/03/1976,516.7
11/03/1976,432.3
12/03/1976,432
13/03/1976,556.4
14/03/1976,1787.5
15/03/1976,1043.7
16/03/1976,675.1
17/03/1976,566.9
18/03/1976,474.2
19/03/1976,400.4
20/03/1976,338.9
21/03/1976,288.3
22/03/1976,248.3
23/03/1976,211.3
24/03/1976,188
25/03/1976,518.4
26/03/1976,596.3
27/03/1976,496
28/03/1976,405
29/03/1976,335.2
30/03/1976,280.8
31/03/1976,240.5
1/04/1976,203.7
2/04/1976,174.3
3/04/1976,155.9
4/04/1976,136.4
5/04/1976,119.1
6/04/1976,108.2
7/04/1976,97.2
8/04/1976,89.3
9/04/1976,84.5
10/04/1976,84.3
11/04/1976,77.9
12/04/1976,80.6
13/04/1976,74.6
14/04/1976,71.1
15/04/1976,77.6
16/04/1976,128.4
17/04/1976,121.5
18/04/1976,104.2
19/04/1976,89.7
20/04/1976,81.8
21/04/1976,71.1
22/04/1976,66.7
23/04/1976,62.1
24/04/1976,58.8
25/04/1976,54.9
26/04/1976,52.4
27/04/1976,52
28/04/1976,52.9
29/04/1976,53.7
30/04/1976,46.6
1/05/1976,44.8
2/05/1976,47.9
3/05/1976,44.3
4/05/1976,41.5
5/05/1976,39.6
6/05/1976,48.2
7/05/1976,41.1
8/05/1976,40.1
9/05/1976,37.7
10/05/1976,37.3
11/05/1976,46.1
12/05/1976,39.9
13/05/1976,36.1
14/05/1976,68.6
15/05/1976,62.1
16/05/1976,51.7
17/05/1976,45.5
18/05/1976,39.8
19/05/1976,39.1
20/05/1976,67.5
21/05/1976,60.1
22/05/1976,140.8
23/05/1976,511.4
24/05/1976,514.7
25/05/1976,388.4
26/05/1976,297.7
27/05/1976,238.3
28/05/1976,195.4
29/05/1976,163.4
30/05/1976,137
31/05/1976,120.2
1/06/1976,105
2/06/1976,94.1
3/06/1976,84.8
4/06/1976,78.3
5/06/1976,72.2
6/06/1976,67.9
7/06/1976,63.9
8/06/1976,60.7
9/06/1976,57.6
10/06/1976,57.2
11/06/1976,54.8
12/06/1976,51.7
13/06/1976,50.2
14/06/1976,50.3
15/06/1976,47.8
16/06/1976,45.6
17/06/1976,43.5
18/06/1976,43.1
19/06/1976,42.5
20/06/1976,50.4
21/06/1976,42
22/06/1976,52.2
23/06/1976,75.2
24/06/1976,68.1
25/06/1976,51.3
26/06/1976,43.2
27/06/1976,40.3
28/06/1976,42.3
29/06/1976,36.7
30/06/1976,33.6
1/07/1976,32.4
2/07/1976,32.2
3/07/1976,32.5
4/07/1976,29.8
5/07/1976,29.3
6/07/1976,28.5
7/07/1976,27.4
8/07/1976,27.3
9/07/1976,26.4
10/07/1976,27.2
11/07/1976,25.8
12/07/1976,23.1
13/07/1976,28.8
14/07/1976,30.4
15/07/1976,41.7
16/07/1976,25.4
17/07/1976,20.2
18/07/1976,20.3
19/07/1976,20.4
20/07/1976,19.5
21/07/1976,19.2
22/07/1976,20.9
23/07/1976,21.4
24/07/1976,20
25/07/1976,22.5
26/07/1976,65.8
27/07/1976,59.2
28/07/1976,34.5
29/07/1976,26.9
30/07/1976,23.9
31/07/1976,21.7
1/08/1976,20.5
2/08/1976,19.5
3/08/1976,19.3
4/08/1976,19.4
5/08/1976,18.5
6/08/1976,18.4
7/08/1976,17.5
8/08/1976,17.3
9/08/1976,17.4
10/08/1976,16.5
11/08/1976,16.4
12/08/1976,15.5
13/08/1976,15.3
14/08/1976,15.4
15/08/1976,14.5
16/08/1976,14.4
17/08/1976,13.5
18/08/1976,13.3
19/08/1976,13.4
20/08/1976,12.6
21/08/1976,12.3
22/08/1976,12.4
23/08/1976,12.4
24/08/1976,12.4
25/08/1976,11.5
26/08/1976,12.2
27/08/1976,12.4
28/08/1976,12.4
29/08/1976,11.6
30/08/1976,10.5
31/08/1976,10.3
1/09/1976,11.3
2/09/1976,10.6
3/09/1976,10.4
4/09/1976,10.5
5/09/1976,9.6
6/09/1976,9.4
7/09/1976,9.5
8/09/1976,8.6
9/09/1976,8.4
10/09/1976,8.4
11/09/1976,8.4
12/09/1976,8.4
13/09/1976,8.5
14/09/1976,7.6
15/09/1976,7.1
16/09/1976,8.9
17/09/1976,20.6
18/09/1976,19.7
19/09/1976,12.2
20/09/1976,6.2
21/09/1976,5.2
22/09/1976,7.8
23/09/1976,7.6
24/09/1976,6.7
25/09/1976,13.9
26/09/1976,14.7
27/09/1976,15
28/09/1976,7.9
29/09/1976,5.5
30/09/1976,5.4
1/10/1976,5.4
2/10/1976,5.4
3/10/1976,6.2
4/10/1976,5.6
5/10/1976,5.1
6/10/1976,9.5
7/10/1976,9.1
8/10/1976,5.9
9/10/1976,5.4
10/10/1976,4.6
11/10/1976,3.6
12/10/1976,3.1
13/10/1976,5.7
14/10/1976,29.4
15/10/1976,11.9
16/10/1976,3.5
17/10/1976,5.1
18/10/1976,3.8
19/10/1976,3.3
20/10/1976,3.4
21/10/1976,3.3
22/10/1976,4.8
23/10/1976,7.2
24/10/1976,5.8
25/10/1976,4.3
26/10/1976,16.7
27/10/1976,40
28/10/1976,34.3
29/10/1976,27.3
30/10/1976,11.1
31/10/1976,57.8
1/11/1976,139.5
2/11/1976,112.9
3/11/1976,82.3
4/11/1976,70.1
5/11/1976,53
6/11/1976,42.1
7/11/1976,34.7
8/11/1976,29.4
9/11/1976,33.3
10/11/1976,44.4
11/11/1976,24.7
12/11/1976,20.5
13/11/1976,41.6
14/11/1976,60.4
15/11/1976,45.6
16/11/1976,36.4
17/11/1976,31.5
18/11/1976,26.4
19/11/1976,22.7
20/11/1976,22.3
21/11/1976,32.2
22/11/1976,26
23/11/1976,16
24/11/1976,12.9
25/11/1976,17.8
26/11/1976,23.3
27/11/1976,26.8
28/11/1976,18.4
29/11/1976,13.5
30/11/1976,27.2
1/12/1976,29.7
2/12/1976,24.8
3/12/1976,20.7
4/12/1976,23.8
5/12/1976,21.7
6/12/1976,14.7
7/12/1976,12.6
8/12/1976,10.7
9/12/1976,11.3
10/12/1976,9.8
11/12/1976,9.4
12/12/1976,8.6
13/12/1976,8.4
14/12/1976,8.4
15/12/1976,8.1
16/12/1976,10.4
17/12/1976,16.1
18/12/1976,10
19/12/1976,8.3
20/12/1976,7.6
21/12/1976,7.4
22/12/1976,6.2
23/12/1976,18.7
24/12/1976,36.3
25/12/1976,127
26/12/1976,105.6
27/12/1976,77
28/12/1976,58.1
29/12/1976,44
30/12/1976,34.2
31/12/1976,27.6
1/01/1977,21.9
2/01/1977,23.9
3/01/1977,22
4/01/1977,20.5
5/01/1977,20.2
6/01/1977,22
7/01/1977,11.6
8/01/1977,9.3
9/01/1977,8.6
10/01/1977,8.4
11/01/1977,7.9
12/01/1977,12.5
13/01/1977,23.6
14/01/1977,22.1
15/01/1977,12.5
16/01/1977,18.2
17/01/1977,13.4
18/01/1977,7.2
19/01/1977,6.3
20/01/1977,6.4
21/01/1977,6.4
22/01/1977,6.4
23/01/1977,6.3
24/01/1977,7.2
25/01/1977,7.5
26/01/1977,6.6
