Date,Lockyer_RifleRR
1/10/1975,94.8
2/10/1975,91.6
3/10/1975,74
4/10/1975,73.5
5/10/1975,68.7
6/10/1975,63.7
7/10/1975,61
8/10/1975,52.7
9/10/1975,78.9
10/10/1975,48.7
11/10/1975,71.6
12/10/1975,121.9
13/10/1975,86.1
14/10/1975,51.2
15/10/1975,61.6
16/10/1975,71.2
17/10/1975,57.3
18/10/1975,57.5
19/10/1975,80.3
20/10/1975,146.7
21/10/1975,518.2
22/10/1975,374.7
23/10/1975,359.4
24/10/1975,697.2
25/10/1975,1698.4
26/10/1975,2125.7
27/10/1975,1117
28/10/1975,449.7
29/10/1975,242.9
30/10/1975,209.9
31/10/1975,166.8
1/11/1975,162.4
2/11/1975,142
3/11/1975,135
4/11/1975,151.6
5/11/1975,137.2
6/11/1975,126.9
7/11/1975,129
8/11/1975,125.2
9/11/1975,138.9
10/11/1975,195.2
11/11/1975,1389.1
12/11/1975,1723.2
13/11/1975,745.2
14/11/1975,416.8
15/11/1975,318.4
16/11/1975,297.4
17/11/1975,965.5
18/11/1975,551.6
19/11/1975,413.8
20/11/1975,306.2
21/11/1975,240.8
22/11/1975,187.7
23/11/1975,184.6
24/11/1975,184.5
25/11/1975,208.3
26/11/1975,240.2
27/11/1975,268
28/11/1975,231.1
29/11/1975,180.3
30/11/1975,164.1
1/12/1975,168.8
2/12/1975,156.9
3/12/1975,150.9
4/12/1975,152.9
5/12/1975,136.7
6/12/1975,156
7/12/1975,160.4
8/12/1975,139.1
9/12/1975,142.7
10/12/1975,153.5
11/12/1975,201.2
12/12/1975,167.4
13/12/1975,180.3
14/12/1975,150.8
15/12/1975,144.6
16/12/1975,121.5
17/12/1975,126.2
18/12/1975,130.1
19/12/1975,154.2
20/12/1975,1960.9
21/12/1975,3820.8
22/12/1975,5911.7
23/12/1975,10524.3
24/12/1975,11245.9
25/12/1975,23550
26/12/1975,12938.8
27/12/1975,4358
28/12/1975,2441.7
29/12/1975,1740.9
30/12/1975,1445.2
31/12/1975,1255.5
1/01/1976,1150
2/01/1976,924
3/01/1976,820.9
4/01/1976,806.6
5/01/1976,770.9
6/01/1976,676.2
7/01/1976,617
8/01/1976,580.2
9/01/1976,533.1
10/01/1976,530.4
11/01/1976,509.1
12/01/1976,612.5
13/01/1976,609.6
14/01/1976,508.5
15/01/1976,558.4
16/01/1976,1129.6
17/01/1976,928.7
18/01/1976,734.7
19/01/1976,547.3
