Date,Mooloo_Adding
1/10/1975,10.3
2/10/1975,11.75
3/10/1975,12.85
4/10/1975,9.4
5/10/1975,8.25
6/10/1975,7.1
7/10/1975,6.95
8/10/1975,5.65
9/10/1975,5.65
10/10/1975,6.35
11/10/1975,5.35
12/10/1975,5.2
13/10/1975,5.2
14/10/1975,4.9
15/10/1975,3.9
16/10/1975,2.9
17/10/1975,3.75
18/10/1975,2.9
19/10/1975,6.5
20/10/1975,54.25
21/10/1975,54.75
22/10/1975,21.05
23/10/1975,24.65
24/10/1975,50.5
25/10/1975,92.75
26/10/1975,26.9
27/10/1975,17.05
28/10/1975,10.9
29/10/1975,8.75
30/10/1975,8.6
31/10/1975,7.6
1/11/1975,7.75
2/11/1975,9.65
3/11/1975,7.35
4/11/1975,5.3
5/11/1975,6.45
6/11/1975,4.45
7/11/1975,5.3
8/11/1975,3.3
9/11/1975,4.3
10/11/1975,334.65
11/11/1975,166.45
12/11/1975,55.3
13/11/1975,28.4
14/11/1975,30.45
15/11/1975,1270.5
16/11/1975,566
17/11/1975,321.9
18/11/1975,219.9
19/11/1975,128.55
20/11/1975,74.1
21/11/1975,53.2
22/11/1975,38.3
23/11/1975,32.25
24/11/1975,28.95
25/11/1975,24.75
26/11/1975,31.65
27/11/1975,32.85
28/11/1975,22.1
29/11/1975,19.65
30/11/1975,17.2
1/12/1975,14.75
2/12/1975,13.45
3/12/1975,13.15
4/12/1975,10.85
5/12/1975,10.7
6/12/1975,9.4
7/12/1975,11.3
8/12/1975,81.25
9/12/1975,256.55
10/12/1975,311.7
11/12/1975,180.95
12/12/1975,115.4
13/12/1975,56.55
14/12/1975,34.8
15/12/1975,27.5
16/12/1975,25.05
17/12/1975,20.75
18/12/1975,19.3
19/12/1975,17.15
20/12/1975,16
21/12/1975,16.15
22/12/1975,20.9
23/12/1975,286.3
24/12/1975,820.95
25/12/1975,280.5
26/12/1975,208.3
27/12/1975,122.25
28/12/1975,105.45
29/12/1975,99.95
30/12/1975,207.9
31/12/1975,91.15
1/01/1976,69.5
2/01/1976,53.7
3/01/1976,45.05
4/01/1976,38.55
5/01/1976,36.35
6/01/1976,33.15
7/01/1976,29.8
8/01/1976,27.9
9/01/1976,25.85
10/01/1976,23.25
11/01/1976,24.8
12/01/1976,26.05
13/01/1976,21.15
14/01/1976,19.75
15/01/1976,1855.6
16/01/1976,476.15
17/01/1976,577.45
18/01/1976,263.5
19/01/1976,1019.8
20/01/1976,3633.8
21/01/1976,3282.4
22/01/1976,1118.4
23/01/1976,480.05
24/01/1976,408.3
25/01/1976,261.2
26/01/1976,200.2
27/01/1976,162.85
28/01/1976,137.4
29/01/1976,117.4
30/01/1976,103.15
31/01/1976,91.35
1/02/1976,75
2/02/1976,71.25
3/02/1976,62.65
4/02/1976,54.5
5/02/1976,54.8
6/02/1976,56.55
7/02/1976,42.7
8/02/1976,39.6
9/02/1976,33.65
10/02/1976,26.3
11/02/1976,368.2
12/02/1976,1891.3
13/02/1976,519.95
14/02/1976,185
15/02/1976,130.8
16/02/1976,565.35
17/02/1976,192.95
18/02/1976,137.35
19/02/1976,108.25
20/02/1976,91.05
21/02/1976,79.05
22/02/1976,405.35
23/02/1976,948.8
24/02/1976,1402.2
25/02/1976,622.15
26/02/1976,298.4
