Date,Mooloo_Mooloo
1/10/1975,7
2/10/1975,8
3/10/1975,10
4/10/1975,7
5/10/1975,6
6/10/1975,5
7/10/1975,5
8/10/1975,4
9/10/1975,4
10/10/1975,5
11/10/1975,4
12/10/1975,4
13/10/1975,4
14/10/1975,4
15/10/1975,3
16/10/1975,2
17/10/1975,3
18/10/1975,2
19/10/1975,5
20/10/1975,52
21/10/1975,54
22/10/1975,20
23/10/1975,23
24/10/1975,49
25/10/1975,92
26/10/1975,26
27/10/1975,16
28/10/1975,10
29/10/1975,8
30/10/1975,8
31/10/1975,7
1/11/1975,7
2/11/1975,8
3/11/1975,6
4/11/1975,5
5/11/1975,6
6/11/1975,4
7/11/1975,5
8/11/1975,3
9/11/1975,4
10/11/1975,66
11/11/1975,112
12/11/1975,46
13/11/1975,20
14/11/1975,21
15/11/1975,1199
16/11/1975,458
17/11/1975,198
18/11/1975,186
19/11/1975,117
20/11/1975,63
21/11/1975,43
22/11/1975,29
23/11/1975,24
24/11/1975,21
25/11/1975,18
26/11/1975,24
27/11/1975,27
28/11/1975,17
29/11/1975,15
30/11/1975,13
1/12/1975,11
2/12/1975,10
3/12/1975,10
4/12/1975,8
5/12/1975,8
6/12/1975,7
7/12/1975,8
8/12/1975,46
9/12/1975,212
10/12/1975,270
11/12/1975,167
12/12/1975,110
13/12/1975,51
14/12/1975,30
15/12/1975,23
16/12/1975,21
17/12/1975,17
18/12/1975,16
19/12/1975,14
20/12/1975,13
21/12/1975,13
22/12/1975,17
23/12/1975,100
24/12/1975,636
25/12/1975,240
26/12/1975,190
27/12/1975,105
28/12/1975,90
29/12/1975,86
30/12/1975,132
31/12/1975,73
1/01/1976,50
2/01/1976,36
3/01/1976,29
4/01/1976,24
5/01/1976,23
6/01/1976,21
7/01/1976,19
8/01/1976,18
9/01/1976,17
10/01/1976,15
11/01/1976,17
12/01/1976,19
13/01/1976,15
14/01/1976,13
15/01/1976,1550
16/01/1976,272
17/01/1976,406
18/01/1976,184
19/01/1976,730
20/01/1976,3140
21/01/1976,2747
22/01/1976,846
23/01/1976,350
24/01/1976,309
25/01/1976,176
26/01/1976,124
27/01/1976,94
28/01/1976,75
29/01/1976,61
30/01/1976,52
31/01/1976,45
1/02/1976,33
2/02/1976,33
3/02/1976,28
4/02/1976,23
5/02/1976,26
6/02/1976,30
7/02/1976,19
8/02/1976,18
9/02/1976,14
10/02/1976,8
11/02/1976,226
12/02/1976,1525
13/02/1976,341
14/02/1976,134
15/02/1976,84
16/02/1976,423
17/02/1976,137
18/02/1976,88
19/02/1976,64
20/02/1976,51
21/02/1976,42
22/02/1976,371
23/02/1976,608
24/02/1976,987
25/02/1976,430
26/02/1976,206
27/02/1976,141
28/02/1976,358
29/02/1976,1579
1/03/1976,943
2/03/1976,821
3/03/1976,2489
4/03/1976,759
5/03/1976,247
6/03/1976,320
7/03/1976,687
8/03/1976,350
9/03/1976,523
10/03/1976,303
11/03/1976,169
12/03/1976,137
13/03/1976,218
14/03/1976,2235
15/03/1976,2071
16/03/1976,374
17/03/1976,204
18/03/1976,146
19/03/1976,111
20/03/1976,92
21/03/1976,81
22/03/1976,74
23/03/1976,72
24/03/1976,65
25/03/1976,1696
26/03/1976,469
27/03/1976,209
28/03/1976,127
29/03/1976,96
30/03/1976,81
31/03/1976,72
1/04/1976,70
2/04/1976,64
3/04/1976,57
4/04/1976,171
5/04/1976,93
6/04/1976,62
7/04/1976,55
8/04/1976,49
9/04/1976,40
10/04/1976,35
11/04/1976,33
12/04/1976,32
13/04/1976,29
14/04/1976,31
15/04/1976,26
16/04/1976,757
17/04/1976,680
18/04/1976,191
19/04/1976,105
20/04/1976,80
21/04/1976,66
22/04/1976,55
23/04/1976,48
24/04/1976,44
25/04/1976,39
26/04/1976,34
27/04/1976,39
28/04/1976,58
29/04/1976,257
30/04/1976,166
1/05/1976,71
2/05/1976,57
3/05/1976,53
4/05/1976,52
5/05/1976,99
6/05/1976,60
7/05/1976,49
8/05/1976,44
9/05/1976,39
10/05/1976,36
11/05/1976,36
12/05/1976,34
13/05/1976,26
14/05/1976,27
15/05/1976,52
16/05/1976,41
17/05/1976,33
18/05/1976,35
19/05/1976,28
20/05/1976,23
21/05/1976,190
22/05/1976,630
23/05/1976,2251
24/05/1976,1369
25/05/1976,340
26/05/1976,176
27/05/1976,127
28/05/1976,100
29/05/1976,82
30/05/1976,102
31/05/1976,86
1/06/1976,69
2/06/1976,65
3/06/1976,58
4/06/1976,53
5/06/1976,49
6/06/1976,47
7/06/1976,47
8/06/1976,45
9/06/1976,39
