Date,Murphy_Alice
1/10/1975,3.6
2/10/1975,2.4
3/10/1975,4.1
4/10/1975,2.5
5/10/1975,2.4
6/10/1975,2.1
7/10/1975,2.1
8/10/1975,2
9/10/1975,2
10/10/1975,2
11/10/1975,2.4
12/10/1975,3.3
13/10/1975,4.1
14/10/1975,3.5
15/10/1975,3.4
16/10/1975,2.1
17/10/1975,2.1
18/10/1975,2
19/10/1975,39.7
20/10/1975,268.5
21/10/1975,154.4
22/10/1975,77.8
23/10/1975,139.7
24/10/1975,231.2
25/10/1975,298.4
26/10/1975,75
27/10/1975,37.3
28/10/1975,18.9
29/10/1975,14.8
30/10/1975,10.4
31/10/1975,9
1/11/1975,8.5
2/11/1975,8.5
3/11/1975,7.2
4/11/1975,8.8
5/11/1975,10.5
6/11/1975,12.2
7/11/1975,12
8/11/1975,12.3
9/11/1975,11
10/11/1975,99.3
11/11/1975,372.4
12/11/1975,140.6
13/11/1975,56.4
14/11/1975,29.1
15/11/1975,22
16/11/1975,21.2
17/11/1975,45.6
18/11/1975,49.7
19/11/1975,30.4
20/11/1975,18.2
21/11/1975,15.2
22/11/1975,14.4
23/11/1975,12.4
24/11/1975,15
25/11/1975,15
26/11/1975,13.3
27/11/1975,12
28/11/1975,11.1
29/11/1975,9.8
30/11/1975,7.5
1/12/1975,6.5
2/12/1975,5.6
3/12/1975,3.7
4/12/1975,4.4
5/12/1975,3.1
6/12/1975,4.1
7/12/1975,4.5
8/12/1975,3.3
9/12/1975,4.1
10/12/1975,5.1
11/12/1975,5.5
12/12/1975,4.3
13/12/1975,4.1
14/12/1975,3.5
15/12/1975,4.4
16/12/1975,4.1
17/12/1975,4.1
18/12/1975,5
19/12/1975,3
20/12/1975,80
21/12/1975,940.3
22/12/1975,1522.9
23/12/1975,1386.5
24/12/1975,2373.6
25/12/1975,1319.7
26/12/1975,529.8
27/12/1975,260.9
28/12/1975,143.8
29/12/1975,98.5
30/12/1975,72
31/12/1975,51.7
1/01/1976,43.7
2/01/1976,29.1
3/01/1976,22.6
4/01/1976,18.1
5/01/1976,16.3
6/01/1976,13.3
7/01/1976,12.3
8/01/1976,12
9/01/1976,11.3
10/01/1976,11.1
11/01/1976,61.6
12/01/1976,53.7
13/01/1976,18.3
14/01/1976,12
15/01/1976,295.1
16/01/1976,397.5
17/01/1976,263.9
18/01/1976,108.9
