Date,ObiObi_Baroon
1/10/1975,52
2/10/1975,54
3/10/1975,66
4/10/1975,50
5/10/1975,40
6/10/1975,38
7/10/1975,37
8/10/1975,37
9/10/1975,38
10/10/1975,36
11/10/1975,40
12/10/1975,45
13/10/1975,41
14/10/1975,35
15/10/1975,32
16/10/1975,29
17/10/1975,25
18/10/1975,28
19/10/1975,43
20/10/1975,87
21/10/1975,111
22/10/1975,48
23/10/1975,62
24/10/1975,155
25/10/1975,145
26/10/1975,61
27/10/1975,36
28/10/1975,27
29/10/1975,26
30/10/1975,26
31/10/1975,23
1/11/1975,21
2/11/1975,25
3/11/1975,27
4/11/1975,26
5/11/1975,24
6/11/1975,24
7/11/1975,23
8/11/1975,24
9/11/1975,21
10/11/1975,51
11/11/1975,239
12/11/1975,78
13/11/1975,36
14/11/1975,36
15/11/1975,1364
16/11/1975,648
17/11/1975,290
18/11/1975,299
19/11/1975,189
20/11/1975,121
21/11/1975,98
22/11/1975,83
23/11/1975,75
24/11/1975,66
25/11/1975,62
26/11/1975,101
27/11/1975,106
28/11/1975,68
29/11/1975,63
30/11/1975,60
1/12/1975,53
2/12/1975,51
3/12/1975,48
4/12/1975,45
5/12/1975,41
6/12/1975,42
7/12/1975,49
8/12/1975,73
9/12/1975,226
10/12/1975,180
11/12/1975,204
12/12/1975,151
13/12/1975,82
14/12/1975,65
15/12/1975,55
16/12/1975,49
17/12/1975,44
18/12/1975,41
19/12/1975,40
20/12/1975,42
21/12/1975,42
22/12/1975,82
23/12/1975,334
24/12/1975,1219
25/12/1975,415
26/12/1975,398
27/12/1975,300
28/12/1975,329
29/12/1975,334
30/12/1975,325
31/12/1975,248
1/01/1976,207
2/01/1976,181
3/01/1976,163
4/01/1976,146
5/01/1976,140
6/01/1976,125
7/01/1976,117
8/01/1976,108
9/01/1976,95
10/01/1976,94
11/01/1976,116
12/01/1976,122
13/01/1976,89
14/01/1976,77
15/01/1976,2359
16/01/1976,267
17/01/1976,505
18/01/1976,410
19/01/1976,2427
20/01/1976,12781
21/01/1976,6692
22/01/1976,1480
23/01/1976,1004
24/01/1976,746
25/01/1976,577
26/01/1976,475
27/01/1976,410
28/01/1976,360
29/01/1976,315
30/01/1976,280
31/01/1976,249
1/02/1976,221
2/02/1976,196
3/02/1976,182
4/02/1976,171
5/02/1976,168
6/02/1976,162
7/02/1976,145
8/02/1976,136
9/02/1976,133
10/02/1976,116
11/02/1976,482
12/02/1976,2507
13/02/1976,467
14/02/1976,286
15/02/1976,286
16/02/1976,2040
17/02/1976,359
18/02/1976,301
19/02/1976,262
20/02/1976,230
21/02/1976,245
22/02/1976,1068
23/02/1976,9451
24/02/1976,1726
25/02/1976,1022
26/02/1976,707
27/02/1976,583
28/02/1976,679
29/02/1976,1241
1/03/1976,1112
2/03/1976,1761
3/03/1976,4708
4/03/1976,981
5/03/1976,654
6/03/1976,884
7/03/1976,888
8/03/1976,1254
9/03/1976,1039
10/03/1976,654
11/03/1976,517
12/03/1976,494
13/03/1976,782
14/03/1976,7119
15/03/1976,2672
16/03/1976,825
17/03/1976,632
18/03/1976,524
19/03/1976,454
20/03/1976,402
21/03/1976,348
22/03/1976,324
23/03/1976,301
24/03/1976,276
25/03/1976,1914
26/03/1976,793
27/03/1976,452
28/03/1976,362
29/03/1976,320
30/03/1976,289
31/03/1976,263
1/04/1976,255
2/04/1976,226
3/04/1976,201
4/04/1976,368
