Date,SixMile_Cooroy
1/10/1975,2
2/10/1975,4
3/10/1975,2
4/10/1975,2
5/10/1975,1
6/10/1975,2
7/10/1975,1
8/10/1975,1
9/10/1975,2
10/10/1975,2
11/10/1975,2
12/10/1975,1
13/10/1975,1
14/10/1975,1
15/10/1975,1
16/10/1975,1
17/10/1975,0
18/10/1975,1
19/10/1975,1
20/10/1975,4
21/10/1975,2
22/10/1975,3
23/10/1975,3
24/10/1975,3
25/10/1975,6
26/10/1975,21
27/10/1975,27
28/10/1975,17
29/10/1975,8
30/10/1975,4
31/10/1975,2
1/11/1975,1
2/11/1975,6
3/11/1975,1
4/11/1975,1
5/11/1975,2
6/11/1975,1
7/11/1975,1
8/11/1975,0
9/11/1975,1
10/11/1975,2
11/11/1975,2
12/11/1975,0
13/11/1975,1
14/11/1975,1
15/11/1975,0
16/11/1975,0
17/11/1975,10
18/11/1975,2
19/11/1975,0
20/11/1975,0
21/11/1975,0
22/11/1975,0
23/11/1975,0
24/11/1975,0
25/11/1975,0
26/11/1975,4
27/11/1975,132
28/11/1975,115
29/11/1975,48
30/11/1975,21
1/12/1975,11
2/12/1975,6
3/12/1975,5
4/12/1975,3
5/12/1975,4
6/12/1975,3
7/12/1975,3
8/12/1975,10
9/12/1975,6
10/12/1975,100
11/12/1975,227
12/12/1975,157
13/12/1975,67
14/12/1975,33
15/12/1975,18
16/12/1975,11
17/12/1975,10
18/12/1975,8
19/12/1975,8
20/12/1975,7
21/12/1975,7
22/12/1975,10
23/12/1975,134
24/12/1975,419
25/12/1975,242
26/12/1975,105
27/12/1975,50
28/12/1975,28
29/12/1975,19
30/12/1975,20
31/12/1975,13
1/01/1976,12
2/01/1976,12
3/01/1976,11
4/01/1976,11
5/01/1976,12
6/01/1976,11
7/01/1976,10
8/01/1976,9
9/01/1976,10
10/01/1976,9
11/01/1976,9
12/01/1976,12
13/01/1976,8
14/01/1976,12
15/01/1976,558
16/01/1976,290
17/01/1976,308
18/01/1976,190
19/01/1976,924
20/01/1976,2750
21/01/1976,1719
22/01/1976,341
23/01/1976,195
24/01/1976,102
25/01/1976,57
