Date,Woodford_Inflows
1/10/1975,126.4
2/10/1975,119
3/10/1975,113.9
4/10/1975,116
5/10/1975,115.7
6/10/1975,111.3
7/10/1975,110.6
8/10/1975,109.3
9/10/1975,105.8
10/10/1975,110.8
11/10/1975,142.4
12/10/1975,107.6
13/10/1975,109.6
14/10/1975,113.4
15/10/1975,105.8
16/10/1975,102.4
17/10/1975,100.8
18/10/1975,107.3
19/10/1975,99
20/10/1975,99.2
21/10/1975,118.4
22/10/1975,128.2
23/10/1975,141.3
24/10/1975,131.9
25/10/1975,107.5
26/10/1975,130.5
27/10/1975,112.8
28/10/1975,79.4
29/10/1975,56.2
30/10/1975,43.2
31/10/1975,36.1
1/11/1975,32.2
2/11/1975,29.4
3/11/1975,28
4/11/1975,39.5
5/11/1975,49.6
6/11/1975,24.7
7/11/1975,23.5
8/11/1975,40.1
9/11/1975,22.4
10/11/1975,45.9
11/11/1975,39.9
12/11/1975,75
13/11/1975,67
14/11/1975,56.6
15/11/1975,123
16/11/1975,113.5
17/11/1975,438.5
18/11/1975,407.8
19/11/1975,322.9
20/11/1975,260.1
21/11/1975,192.6
22/11/1975,164.1
23/11/1975,133.7
24/11/1975,105.6
25/11/1975,90.8
26/11/1975,156.3
27/11/1975,106.2
28/11/1975,86.4
29/11/1975,100.6
30/11/1975,77.6
1/12/1975,53.2
2/12/1975,76.6
3/12/1975,42.2
4/12/1975,46.4
5/12/1975,39.7
6/12/1975,34.3
7/12/1975,34.2
8/12/1975,35.9
9/12/1975,83.6
10/12/1975,193.1
11/12/1975,287
12/12/1975,390
13/12/1975,427.7
14/12/1975,285.9
15/12/1975,176.9
16/12/1975,119.9
17/12/1975,100.4
18/12/1975,89.3
19/12/1975,40.9
20/12/1975,34.7
21/12/1975,34.5
22/12/1975,36.6
23/12/1975,598.4
24/12/1975,2293.4
25/12/1975,1534.8
26/12/1975,1219.5
27/12/1975,707.7
28/12/1975,500.3
29/12/1975,388.6
30/12/1975,349.6
31/12/1975,326.6
1/01/1976,261.8
2/01/1976,224
3/01/1976,180.9
4/01/1976,174.4
5/01/1976,149.1
6/01/1976,115.3
7/01/1976,104.9
8/01/1976,127.4
9/01/1976,114.7
10/01/1976,103.3
11/01/1976,83.5
12/01/1976,96
13/01/1976,106.2
14/01/1976,102.2
15/01/1976,76.4
16/01/1976,275.2
17/01/1976,384.8
18/01/1976,375.2
19/01/1976,655.2
20/01/1976,22748.6
21/01/1976,9240.2
22/01/1976,9615.9
23/01/1976,6573.7
24/01/1976,2765.2
25/01/1976,1510
26/01/1976,992.6
27/01/1976,598.3
28/01/1976,478.9
29/01/1976,491.9
30/01/1976,416.4
31/01/1976,370.4
1/02/1976,352.9
2/02/1976,357.5
3/02/1976,313.6
4/02/1976,290
5/02/1976,275.4
6/02/1976,284.6
7/02/1976,186
8/02/1976,284.1
9/02/1976,293
10/02/1976,165.9
11/02/1976,123.7
12/02/1976,1196.7
13/02/1976,2549.8
14/02/1976,1537.9
15/02/1976,805.3
16/02/1976,837.4
17/02/1976,840.1
18/02/1976,824.9
19/02/1976,421.1
20/02/1976,385.8
21/02/1976,278.1
22/02/1976,1415.1
23/02/1976,4706
24/02/1976,5892
25/02/1976,5129.4
26/02/1976,3559.4
27/02/1976,1954.3
28/02/1976,1732.1
29/02/1976,2788.1
1/03/1976,4263.4
2/03/1976,1254.6
3/03/1976,5497.2
4/03/1976,5694.1
5/03/1976,4096.3
6/03/1976,3092.9
7/03/1976,3085.1
8/03/1976,3267.4
9/03/1976,3369.9
10/03/1976,2949.2
11/03/1976,1823.6
12/03/1976,1467.7
13/03/1976,2146
14/03/1976,11422.9
15/03/1976,8905.1
16/03/1976,8644.1
17/03/1976,4625.6
18/03/1976,1998.7
19/03/1976,1038.6
20/03/1976,902.3
21/03/1976,720.7
22/03/1976,678.6
23/03/1976,581.5
24/03/1976,547.4
25/03/1976,1663.4
26/03/1976,3696.6
27/03/1976,3592.4
28/03/1976,1733.1
29/03/1976,962.9
30/03/1976,1396.4
31/03/1976,861.6
1/04/1976,530.9
2/04/1976,409.8
3/04/1976,394.9
4/04/1976,465.3
5/04/1976,771.2
6/04/1976,559
7/04/1976,465.4
8/04/1976,292.5
9/04/1976,315.4
10/04/1976,272.1
11/04/1976,327.3
12/04/1976,281.8
13/04/1976,311.7
14/04/1976,260.1
15/04/1976,273.3
16/04/1976,543.7
17/04/1976,1774.8
18/04/1976,2254.8
19/04/1976,1545.4
20/04/1976,923.1
21/04/1976,763.2
22/04/1976,673.2
23/04/1976,602.1
24/04/1976,550.6
25/04/1976,624
26/04/1976,577.6
27/04/1976,429.3
28/04/1976,611.1
29/04/1976,690.3
30/04/1976,1071.3
1/05/1976,723.9
2/05/1976,509.5
3/05/1976,449
4/05/1976,477
5/05/1976,523.7
6/05/1976,462.6
7/05/1976,442.7
8/05/1976,435.7
9/05/1976,387.4
10/05/1976,372.4
11/05/1976,342.8
12/05/1976,379
13/05/1976,340.3
14/05/1976,334.9
15/05/1976,381
16/05/1976,395.1
17/05/1976,406.2
18/05/1976,388.1
