Date,Amamoor_Zach
1/10/1975,6
2/10/1975,11
3/10/1975,16
4/10/1975,13
5/10/1975,13
6/10/1975,11
7/10/1975,8
8/10/1975,9
9/10/1975,8
10/10/1975,10
11/10/1975,10
12/10/1975,9
13/10/1975,9
14/10/1975,7
15/10/1975,8
16/10/1975,6
17/10/1975,7
18/10/1975,7
19/10/1975,7
20/10/1975,17
21/10/1975,26
22/10/1975,31
23/10/1975,31
24/10/1975,27
25/10/1975,26
26/10/1975,26
27/10/1975,28
28/10/1975,26
29/10/1975,19
30/10/1975,14
31/10/1975,11
1/11/1975,10
2/11/1975,10
3/11/1975,11
4/11/1975,11
5/11/1975,11
6/11/1975,12
7/11/1975,12
8/11/1975,10
9/11/1975,27
10/11/1975,42
11/11/1975,40
12/11/1975,32
13/11/1975,24
14/11/1975,20
15/11/1975,14
16/11/1975,59
17/11/1975,81
18/11/1975,45
19/11/1975,31
20/11/1975,26
21/11/1975,17
22/11/1975,11
23/11/1975,9
24/11/1975,8
25/11/1975,8
26/11/1975,9
27/11/1975,16
28/11/1975,15
29/11/1975,14
30/11/1975,12
1/12/1975,11
2/12/1975,11
3/12/1975,11
4/12/1975,11
5/12/1975,11
6/12/1975,11
7/12/1975,12
8/12/1975,15
9/12/1975,15
10/12/1975,13
11/12/1975,16
12/12/1975,19
13/12/1975,16
14/12/1975,14
15/12/1975,12
16/12/1975,9
17/12/1975,9
18/12/1975,8
19/12/1975,8
20/12/1975,9
21/12/1975,9
22/12/1975,10
23/12/1975,30
24/12/1975,498
25/12/1975,28
26/12/1975,25
27/12/1975,22
28/12/1975,22
29/12/1975,21
30/12/1975,22
31/12/1975,21
1/01/1976,19
2/01/1976,19
3/01/1976,18
4/01/1976,15
5/01/1976,13
6/01/1976,12
7/01/1976,10
8/01/1976,9
9/01/1976,9
10/01/1976,9
11/01/1976,18
12/01/1976,31
13/01/1976,23
14/01/1976,17
15/01/1976,106
16/01/1976,121
17/01/1976,53
18/01/1976,61
19/01/1976,73
20/01/1976,11568
21/01/1976,10529
22/01/1976,1790
23/01/1976,1159
24/01/1976,828
25/01/1976,542
26/01/1976,308
27/01/1976,164
28/01/1976,129
29/01/1976,113
30/01/1976,101
31/01/1976,94
1/02/1976,89
2/02/1976,78
3/02/1976,69
4/02/1976,61
5/02/1976,53
6/02/1976,46
7/02/1976,41
8/02/1976,42
9/02/1976,41
10/02/1976,41
11/02/1976,644
12/02/1976,1121
13/02/1976,779
14/02/1976,457
15/02/1976,323
16/02/1976,268
17/02/1976,217
18/02/1976,173
19/02/1976,137
20/02/1976,114
21/02/1976,101
22/02/1976,94
23/02/1976,101
24/02/1976,277
25/02/1976,353
26/02/1976,237
27/02/1976,891
28/02/1976,1008
29/02/1976,537
1/03/1976,974
2/03/1976,1875
3/03/1976,2829
4/03/1976,1839
5/03/1976,390
6/03/1976,496
7/03/1976,596
8/03/1976,653
9/03/1976,684
10/03/1976,533
11/03/1976,394
12/03/1976,302
13/03/1976,285
14/03/1976,266
15/03/1976,353
16/03/1976,380
17/03/1976,285
18/03/1976,250
19/03/1976,229
20/03/1976,205
21/03/1976,173
22/03/1976,162
23/03/1976,154
24/03/1976,129
25/03/1976,181
26/03/1976,1430
27/03/1976,1990
28/03/1976,917
29/03/1976,384
30/03/1976,276
31/03/1976,237
1/04/1976,168
2/04/1976,108
3/04/1976,94
4/04/1976,89
5/04/1976,95
6/04/1976,100
7/04/1976,95
8/04/1976,89
9/04/1976,83
10/04/1976,83
11/04/1976,78
12/04/1976,74
13/04/1976,73
14/04/1976,69
15/04/1976,2765
16/04/1976,4602
17/04/1976,2366
18/04/1976,627
19/04/1976,189
20/04/1976,108
21/04/1976,94
22/04/1976,89
23/04/1976,78
24/04/1976,69
25/04/1976,61
26/04/1976,57
27/04/1976,56
28/04/1976,62
29/04/1976,259
30/04/1976,422
1/05/1976,257
2/05/1976,178
3/05/1976,147
4/05/1976,130
5/05/1976,116
6/05/1976,107
7/05/1976,101
8/05/1976,89
9/05/1976,78
10/05/1976,69
11/05/1976,65
12/05/1976,61
13/05/1976,51
14/05/1976,43
15/05/1976,40
16/05/1976,41
17/05/1976,47
18/05/1976,41
19/05/1976,39
20/05/1976,45
21/05/1976,51
22/05/1976,46
23/05/1976,256
24/05/1976,519
25/05/1976,315
26/05/1976,216
27/05/1976,128
28/05/1976,70
29/05/1976,52
30/05/1976,47
31/05/1976,42
1/06/1976,43
2/06/1976,42
3/06/1976,42
4/06/1976,40
5/06/1976,41
6/06/1976,39
7/06/1976,40
8/06/1976,38
9/06/1976,39
10/06/1976,38
11/06/1976,38
12/06/1976,38
13/06/1976,37
14/06/1976,37
15/06/1976,47
16/06/1976,53
17/06/1976,49
18/06/1976,45
19/06/1976,39
20/06/1976,37
21/06/1976,35
22/06/1976,34
23/06/1976,34
24/06/1976,34
25/06/1976,33
26/06/1976,33
27/06/1976,33
28/06/1976,35
29/06/1976,39
30/06/1976,36
1/07/1976,33
2/07/1976,30
3/07/1976,29
4/07/1976,28
5/07/1976,28
6/07/1976,27
7/07/1976,27
8/07/1976,26
9/07/1976,26
10/07/1976,26
11/07/1976,25
12/07/1976,26
13/07/1976,28
14/07/1976,29
15/07/1976,30
16/07/1976,31
17/07/1976,28
18/07/1976,28
19/07/1976,25
20/07/1976,24
21/07/1976,21
22/07/1976,21
23/07/1976,21
24/07/1976,20
25/07/1976,19
26/07/1976,164
27/07/1976,262
28/07/1976,162
29/07/1976,90
30/07/1976,61
31/07/1976,46
1/08/1976,41
2/08/1976,40
3/08/1976,33
4/08/1976,27
5/08/1976,26
6/08/1976,26
7/08/1976,24
8/08/1976,23
9/08/1976,21
10/08/1976,21
11/08/1976,20
12/08/1976,19
13/08/1976,19
14/08/1976,19
15/08/1976,19
16/08/1976,17
17/08/1976,18
18/08/1976,17
19/08/1976,17
20/08/1976,17
21/08/1976,17
22/08/1976,16
23/08/1976,16
24/08/1976,16
25/08/1976,15
26/08/1976,15
27/08/1976,15
28/08/1976,14
29/08/1976,14
30/08/1976,14
31/08/1976,13
1/09/1976,13
2/09/1976,15
3/09/1976,18
4/09/1976,18
5/09/1976,17
6/09/1976,17
7/09/1976,17
8/09/1976,15
9/09/1976,14
10/09/1976,14
11/09/1976,13
12/09/1976,12
13/09/1976,12
14/09/1976,12
15/09/1976,11
16/09/1976,11
17/09/1976,13
18/09/1976,26
19/09/1976,44
20/09/1976,44
21/09/1976,38
22/09/1976,34
23/09/1976,28
24/09/1976,21
25/09/1976,24
26/09/1976,199
27/09/1976,260
28/09/1976,98
29/09/1976,43
30/09/1976,40
1/10/1976,33
2/10/1976,28
3/10/1976,24
4/10/1976,19
5/10/1976,16
6/10/1976,16
7/10/1976,14
8/10/1976,14
9/10/1976,13
10/10/1976,13
11/10/1976,13
12/10/1976,12
13/10/1976,10
14/10/1976,16
15/10/1976,22
16/10/1976,22
17/10/1976,22
18/10/1976,20
19/10/1976,18
20/10/1976,13
21/10/1976,11
22/10/1976,9
23/10/1976,8
24/10/1976,14
25/10/1976,17
26/10/1976,12
27/10/1976,13
28/10/1976,25
29/10/1976,53
30/10/1976,54
31/10/1976,30
1/11/1976,53
