Date,Eudlo_Kiels
1/10/1975,5
2/10/1975,6
3/10/1975,5
4/10/1975,4
5/10/1975,3
6/10/1975,4
7/10/1975,4
8/10/1975,3
9/10/1975,3
10/10/1975,3
11/10/1975,3
12/10/1975,3
13/10/1975,3
14/10/1975,2
15/10/1975,3
16/10/1975,2
17/10/1975,2
18/10/1975,4
19/10/1975,5
20/10/1975,9
21/10/1975,2
22/10/1975,3
23/10/1975,4
24/10/1975,5
25/10/1975,2
26/10/1975,2
27/10/1975,2
28/10/1975,2
29/10/1975,1
30/10/1975,2
31/10/1975,2
1/11/1975,1
2/11/1975,2
3/11/1975,3
4/11/1975,1
5/11/1975,2
6/11/1975,1
7/11/1975,1
8/11/1975,2
9/11/1975,1
10/11/1975,15
11/11/1975,6
12/11/1975,6
13/11/1975,4
14/11/1975,4
15/11/1975,230
16/11/1975,233
17/11/1975,399
18/11/1975,274
19/11/1975,142
20/11/1975,72
21/11/1975,48
22/11/1975,35
23/11/1975,28
24/11/1975,24
25/11/1975,20
26/11/1975,21
27/11/1975,15
28/11/1975,14
29/11/1975,13
30/11/1975,11
1/12/1975,9
2/12/1975,9
3/12/1975,9
4/12/1975,7
5/12/1975,7
6/12/1975,6
7/12/1975,6
8/12/1975,19
9/12/1975,124
10/12/1975,320
11/12/1975,323
12/12/1975,174
13/12/1975,79
14/12/1975,49
15/12/1975,36
16/12/1975,28
17/12/1975,23
18/12/1975,20
19/12/1975,18
20/12/1975,15
21/12/1975,14
22/12/1975,15
23/12/1975,16
24/12/1975,70
25/12/1975,38
26/12/1975,23
27/12/1975,16
28/12/1975,14
29/12/1975,11
30/12/1975,500
31/12/1975,486
1/01/1976,251
2/01/1976,133
3/01/1976,74
4/01/1976,51
5/01/1976,39
6/01/1976,31
7/01/1976,26
8/01/1976,23
9/01/1976,20
10/01/1976,18
11/01/1976,17
12/01/1976,16
13/01/1976,13
14/01/1976,16
15/01/1976,527
16/01/1976,533
17/01/1976,313
18/01/1976,209
19/01/1976,664
20/01/1976,1334
21/01/1976,1574
22/01/1976,1120
23/01/1976,702
24/01/1976,441
25/01/1976,285
26/01/1976,191
27/01/1976,131
28/01/1976,98
29/01/1976,76
30/01/1976,61
31/01/1976,52
1/02/1976,44
2/02/1976,39
3/02/1976,34
4/02/1976,31
5/02/1976,29
6/02/1976,27
7/02/1976,23
8/02/1976,21
9/02/1976,21
10/02/1976,19
11/02/1976,293
12/02/1976,814
13/02/1976,790
14/02/1976,482
15/02/1976,301
16/02/1976,407
17/02/1976,305
18/02/1976,194
19/02/1976,130
20/02/1976,87
21/02/1976,64
22/02/1976,49
23/02/1976,643
24/02/1976,999
25/02/1976,690
26/02/1976,438
27/02/1976,292
28/02/1976,363
29/02/1976,757
1/03/1976,1731
2/03/1976,2222
3/03/1976,2229
4/03/1976,1830
5/03/1976,1281
6/03/1976,1106
7/03/1976,838
8/03/1976,985
9/03/1976,1021
10/03/1976,773
11/03/1976,568
12/03/1976,432
13/03/1976,431
14/03/1976,842
15/03/1976,1436
16/03/1976,1325
17/03/1976,940
18/03/1976,681
19/03/1976,504
20/03/1976,383
21/03/1976,297
22/03/1976,236
23/03/1976,191
24/03/1976,164
25/03/1976,831
26/03/1976,979
27/03/1976,691
28/03/1976,497
29/03/1976,366
30/03/1976,277
31/03/1976,213
1/04/1976,173
2/04/1976,141
3/04/1976,118
4/04/1976,107
5/04/1976,91
6/04/1976,109
7/04/1976,90
8/04/1976,76
9/04/1976,67
10/04/1976,59
11/04/1976,54
12/04/1976,51
13/04/1976,46
14/04/1976,42
15/04/1976,40
16/04/1976,378
17/04/1976,381
18/04/1976,266
19/04/1976,188
20/04/1976,612
21/04/1976,653
22/04/1976,454
23/04/1976,322
24/04/1976,234
25/04/1976,177
26/04/1976,136
27/04/1976,112
28/04/1976,91
29/04/1976,344
30/04/1976,319
1/05/1976,225
2/05/1976,169
3/05/1976,126
4/05/1976,118
5/05/1976,120
6/05/1976,97
7/05/1976,79
8/05/1976,67
9/05/1976,57
10/05/1976,51
11/05/1976,46
12/05/1976,41
13/05/1976,37
14/05/1976,38
15/05/1976,32
16/05/1976,31
17/05/1976,31
18/05/1976,70
19/05/1976,54
20/05/1976,43
21/05/1976,449
22/05/1976,847
23/05/1976,1135
24/05/1976,2080
25/05/1976,1889
26/05/1976,1305
27/05/1976,933
28/05/1976,685
29/05/1976,506
30/05/1976,394
31/05/1976,336
1/06/1976,280
2/06/1976,221
3/06/1976,181
4/06/1976,151
5/06/1976,129
6/06/1976,111
7/06/1976,97
8/06/1976,85
9/06/1976,76
10/06/1976,68
11/06/1976,62
12/06/1976,56
13/06/1976,53
14/06/1976,48
15/06/1976,47
16/06/1976,62
17/06/1976,52
18/06/1976,44
19/06/1976,40
20/06/1976,36
21/06/1976,33
22/06/1976,31
23/06/1976,29
24/06/1976,28
25/06/1976,26
26/06/1976,27
27/06/1976,24
28/06/1976,26
29/06/1976,22
30/06/1976,23
1/07/1976,21
2/07/1976,21
3/07/1976,20
4/07/1976,20
5/07/1976,19
6/07/1976,19
7/07/1976,18
8/07/1976,18
9/07/1976,18
10/07/1976,17
11/07/1976,17
12/07/1976,22
13/07/1976,85
14/07/1976,66
15/07/1976,141
16/07/1976,108
17/07/1976,70
18/07/1976,49
19/07/1976,37
20/07/1976,29
21/07/1976,23
22/07/1976,21
23/07/1976,19
24/07/1976,17
25/07/1976,15
26/07/1976,165
27/07/1976,134
28/07/1976,85
29/07/1976,57
30/07/1976,42
31/07/1976,31
1/08/1976,24
2/08/1976,20
3/08/1976,18
4/08/1976,15
5/08/1976,14
6/08/1976,14
7/08/1976,12
8/08/1976,12
9/08/1976,11
10/08/1976,11
11/08/1976,10
12/08/1976,10
13/08/1976,10
14/08/1976,9
15/08/1976,9
16/08/1976,9
