Date,ObiObi_Kida
1/10/1975,73.298
2/10/1975,69.578
3/10/1975,81.033
4/10/1975,86.188
5/10/1975,77.459
6/10/1975,64.984
7/10/1975,59.884
8/10/1975,57.124
9/10/1975,55.472
10/10/1975,53.875
11/10/1975,53.683
12/10/1975,54.882
13/10/1975,53.303
14/10/1975,50.34
15/10/1975,49.274
16/10/1975,45.329
17/10/1975,43.312
18/10/1975,41.897
19/10/1975,42.669
20/10/1975,56.864
21/10/1975,88.484
22/10/1975,108.27
23/10/1975,97.431
24/10/1975,109.29
25/10/1975,152.06
26/10/1975,168.52
27/10/1975,117.41
28/10/1975,81.039
29/10/1975,68.422
30/10/1975,59.243
31/10/1975,53.661
1/11/1975,54.573
2/11/1975,52.469
3/11/1975,50.812
4/11/1975,50.485
5/11/1975,48.135
6/11/1975,46.223
7/11/1975,44.347
8/11/1975,42.825
9/11/1975,41.353
10/11/1975,38.141
11/11/1975,110.86
12/11/1975,198.08
13/11/1975,132.12
14/11/1975,75.46
15/11/1975,433.96
16/11/1975,1381.9
17/11/1975,1058
18/11/1975,498.44
19/11/1975,414.09
20/11/1975,299.08
21/11/1975,205.6
22/11/1975,152.75
23/11/1975,121.1
24/11/1975,107.33
25/11/1975,94.465
26/11/1975,79.974
27/11/1975,114.36
28/11/1975,125.38
29/11/1975,92.621
30/11/1975,81.228
1/12/1975,69.78
2/12/1975,63.227
3/12/1975,61.235
4/12/1975,55.775
5/12/1975,51.862
6/12/1975,57.539
7/12/1975,57.427
8/12/1975,59.654
9/12/1975,92.918
10/12/1975,131.41
11/12/1975,184.03
12/12/1975,211.91
13/12/1975,161.6
14/12/1975,122.2
15/12/1975,94.513
16/12/1975,74.996
17/12/1975,61.991
18/12/1975,55.274
19/12/1975,46.536
20/12/1975,43.653
21/12/1975,47.049
22/12/1975,87.34
23/12/1975,337.95
24/12/1975,766.7
25/12/1975,1047.8
26/12/1975,647.86
27/12/1975,456.29
28/12/1975,371.09
29/12/1975,393.31
30/12/1975,344.92
31/12/1975,305.03
1/01/1976,255.53
2/01/1976,212.65
3/01/1976,185.05
4/01/1976,164.48
5/01/1976,149.71
6/01/1976,136.86
7/01/1976,125.57
8/01/1976,116.03
9/01/1976,105.95
10/01/1976,158.49
11/01/1976,294.71
12/01/1976,381.83
13/01/1976,201.4
14/01/1976,114.22
15/01/1976,2672
16/01/1976,2003.8
17/01/1976,738.21
18/01/1976,782.81
19/01/1976,1331.9
20/01/1976,16736
21/01/1976,12650
22/01/1976,4447
23/01/1976,1945.7
24/01/1976,1360.4
25/01/1976,891.13
26/01/1976,652.29
27/01/1976,544.89
28/01/1976,468.48
29/01/1976,402.19
30/01/1976,359.33
31/01/1976,326.72
1/02/1976,292.84
2/02/1976,263.55
