Date,Moogerah_Out
1/10/1975,1
2/10/1975,0
3/10/1975,2
4/10/1975,1
5/10/1975,1
6/10/1975,1
7/10/1975,1
8/10/1975,1
9/10/1975,1
10/10/1975,1
11/10/1975,0
12/10/1975,1
13/10/1975,1
14/10/1975,1
15/10/1975,1
16/10/1975,1
17/10/1975,0
18/10/1975,0
19/10/1975,0
20/10/1975,0
21/10/1975,998.4
22/10/1975,114.5
23/10/1975,115.4
24/10/1975,762.1
25/10/1975,1635.4
26/10/1975,469.8
27/10/1975,189.4
28/10/1975,125.3
29/10/1975,84.8
30/10/1975,82.9
31/10/1975,85.8
1/11/1975,63.1
2/11/1975,69
3/11/1975,76.9
4/11/1975,61.2
5/11/1975,0
6/11/1975,147
7/11/1975,19.7
8/11/1975,36.5
9/11/1975,0
10/11/1975,72
11/11/1975,357.3
12/11/1975,315.2
13/11/1975,117.4
14/11/1975,88.8
15/11/1975,330.2
16/11/1975,598.4
17/11/1975,514.7
18/11/1975,187.5
19/11/1975,121.3
20/11/1975,123.3
21/11/1975,108.5
22/11/1975,96.7
23/11/1975,99.6
24/11/1975,109.5
25/11/1975,559.5
26/11/1975,478.8
27/11/1975,539.6
28/11/1975,101.6
29/11/1975,87.8
30/11/1975,79.9
1/12/1975,54.2
2/12/1975,67.1
3/12/1975,50.3
4/12/1975,33.5
5/12/1975,53.3
6/12/1975,40.4
7/12/1975,7.9
8/12/1975,0
9/12/1975,58.2
10/12/1975,63.1
11/12/1975,55.2
12/12/1975,47.3
13/12/1975,39.5
14/12/1975,16.8
15/12/1975,28.6
16/12/1975,0
17/12/1975,0
18/12/1975,0
19/12/1975,0
20/12/1975,1079.3
21/12/1975,2071.2
22/12/1975,1713.3
23/12/1975,1173.9
24/12/1975,6740
25/12/1975,5380.3
26/12/1975,521.7
27/12/1975,214.2
28/12/1975,181.5
29/12/1975,280.4
30/12/1975,366.1
31/12/1975,391
1/01/1976,389
2/01/1976,357.1
3/01/1976,237.8
4/01/1976,273.4
5/01/1976,293.3
6/01/1976,267.5
7/01/1976,95.7
8/01/1976,240.7
9/01/1976,215
10/01/1976,11.8
11/01/1976,0
12/01/1976,9.9
13/01/1976,0
14/01/1976,0
15/01/1976,272.6
16/01/1976,180.6
17/01/1976,521.7
18/01/1976,773.9
19/01/1976,263.9
20/01/1976,0
21/01/1976,2633.1
22/01/1976,7360
23/01/1976,1650.9
24/01/1976,2300.1
25/01/1976,2034.2
26/01/1976,868.7
27/01/1976,165.1
28/01/1976,195.3
29/01/1976,149.9
30/01/1976,128.2
31/01/1976,359.1
1/02/1976,314.3
2/02/1976,0
3/02/1976,159.8
4/02/1976,218
5/02/1976,171.6
6/02/1976,131.2
7/02/1976,135.1
8/02/1976,135.1
9/02/1976,121.3
10/02/1976,0
11/02/1976,12735.1
12/02/1976,32462.8
13/02/1976,0
14/02/1976,0
15/02/1976,0
16/02/1976,0
17/02/1976,0
18/02/1976,75
19/02/1976,109.5
20/02/1976,100.6
21/02/1976,104.6
22/02/1976,149.9
23/02/1976,152.9
24/02/1976,385
25/02/1976,307.3
26/02/1976,269.5
27/02/1976,369.6
28/02/1976,1806.5
29/02/1976,4480.6
1/03/1976,333.7
2/03/1976,2552.1
3/03/1976,666.3
4/03/1976,185.7
5/03/1976,17.8
6/03/1976,555.5
7/03/1976,204.4
8/03/1976,673.3
9/03/1976,280.6
10/03/1976,149.9
11/03/1976,0
12/03/1976,0
13/03/1976,660.3
