Date,Stanley_Peach
1/10/1975,112
2/10/1975,111
3/10/1975,120
4/10/1975,113
5/10/1975,107
6/10/1975,107
7/10/1975,104
8/10/1975,104
9/10/1975,103
10/10/1975,106
11/10/1975,109
12/10/1975,110
13/10/1975,103
14/10/1975,102
15/10/1975,99
16/10/1975,99
17/10/1975,99
18/10/1975,99
19/10/1975,100
20/10/1975,107
21/10/1975,158
22/10/1975,126
23/10/1975,116
24/10/1975,69
25/10/1975,160
26/10/1975,81
27/10/1975,48
28/10/1975,35
29/10/1975,31
30/10/1975,29
31/10/1975,28
1/11/1975,26
2/11/1975,27
3/11/1975,24
4/11/1975,25
5/11/1975,23
6/11/1975,22
7/11/1975,23
8/11/1975,21
9/11/1975,22
10/11/1975,25
11/11/1975,81
12/11/1975,73
13/11/1975,43
14/11/1975,35
15/11/1975,210.9
16/11/1975,474.9
17/11/1975,310.9
18/11/1975,241.9
19/11/1975,184.9
20/11/1975,130
21/11/1975,101
22/11/1975,83
23/11/1975,67
24/11/1975,57
25/11/1975,51
26/11/1975,58
27/11/1975,82
28/11/1975,60
29/11/1975,51
30/11/1975,44
1/12/1975,41
2/12/1975,37
3/12/1975,34
4/12/1975,33
5/12/1975,33
6/12/1975,35
7/12/1975,39
8/12/1975,43
9/12/1975,161
10/12/1975,180.9
11/12/1975,316.9
12/12/1975,238.9
13/12/1975,123
14/12/1975,82
15/12/1975,58
16/12/1975,43
17/12/1975,36
18/12/1975,31
19/12/1975,28
20/12/1975,26
21/12/1975,29
22/12/1975,65
23/12/1975,570.8
24/12/1975,1123.7
25/12/1975,729.8
26/12/1975,417.9
27/12/1975,275.9
28/12/1975,262.9
29/12/1975,227.9
30/12/1975,230.9
31/12/1975,177.9
1/01/1976,144
2/01/1976,123
3/01/1976,110
4/01/1976,101
5/01/1976,91
6/01/1976,81
7/01/1976,77
8/01/1976,72
9/01/1976,64
10/01/1976,58
11/01/1976,67
12/01/1976,75
13/01/1976,61
14/01/1976,52
15/01/1976,506.8
16/01/1976,400.9
17/01/1976,310.9
18/01/1976,275.9
19/01/1976,592.8
20/01/1976,5032.5
21/01/1976,8467.5
22/01/1976,3369
23/01/1976,1136.7
24/01/1976,791.8
25/01/1976,535.8
26/01/1976,409.9
27/01/1976,352.9
28/01/1976,324.9
29/01/1976,304.9
30/01/1976,290.9
31/01/1976,280.9
1/02/1976,265.9
2/02/1976,247.9
3/02/1976,230.9
4/02/1976,207.9
5/02/1976,188.9
6/02/1976,170.9
7/02/1976,158
8/02/1976,148
9/02/1976,128
10/02/1976,117
11/02/1976,326.9
12/02/1976,2125.4
13/02/1976,951.7
14/02/1976,374.9
15/02/1976,266.9
16/02/1976,824.8
17/02/1976,456.9
18/02/1976,330.9
19/02/1976,275.9
20/02/1976,243.9
21/02/1976,221.9
22/02/1976,961.7
23/02/1976,2514.3
24/02/1976,3050.1
25/02/1976,1922.4
26/02/1976,873.7
27/02/1976,576.8
28/02/1976,493.9
29/02/1976,1246.6
1/03/1976,1372.6
2/03/1976,1665.5
3/03/1976,5408.4
4/03/1976,2036.4
5/03/1976,768.8
6/03/1976,789.8
7/03/1976,1802.5
8/03/1976,1690.5
9/03/1976,1613.5
10/03/1976,885.7
11/03/1976,586.8
12/03/1976,499.9
13/03/1976,729.8
14/03/1976,4393.7
15/03/1976,7092.9
16/03/1976,1222.6
17/03/1976,734.8
18/03/1976,567.8
19/03/1976,484.9
20/03/1976,443.9
21/03/1976,413.9
22/03/1976,399.9
23/03/1976,375.9
24/03/1976,356.9
25/03/1976,2796.2
26/03/1976,1754.5
27/03/1976,701.8
28/03/1976,470.9
29/03/1976,367.9
30/03/1976,338.9
31/03/1976,319.9
1/04/1976,306.9
2/04/1976,288.9
3/04/1976,276.9
4/04/1976,566.8
5/04/1976,365.9
6/04/1976,290.9
7/04/1976,262.9
8/04/1976,240.9
9/04/1976,227.9
10/04/1976,219.9
11/04/1976,209.9
12/04/1976,209.9
13/04/1976,190.9
14/04/1976,183.9
15/04/1976,174.9
16/04/1976,693.8
17/04/1976,1725.5
18/04/1976,502.9
19/04/1976,434.9
20/04/1976,426.9
21/04/1976,380.9
22/04/1976,350.9
23/04/1976,341.9
24/04/1976,295.9
25/04/1976,291.9
26/04/1976,300.9
27/04/1976,317.9
28/04/1976,400.9
29/04/1976,645.8
30/04/1976,512.8
1/05/1976,413.9
2/05/1976,403.9
3/05/1976,396.9
4/05/1976,396.9
5/05/1976,477.9
6/05/1976,422.9
7/05/1976,380.9
8/05/1976,356.9
9/05/1976,339.9
10/05/1976,332.9
11/05/1976,337.9
12/05/1976,342.9
13/05/1976,329.9
14/05/1976,353.9
15/05/1976,428.9
16/05/1976,388.9
17/05/1976,375.9
18/05/1976,370.9
19/05/1976,360.9
20/05/1976,351.9
21/05/1976,413.9
22/05/1976,767.8
23/05/1976,5442.4
24/05/1976,4543.6
25/05/1976,1001.7
26/05/1976,536.8
27/05/1976,409.9
28/05/1976,339.9
29/05/1976,307.9
30/05/1976,283.9
31/05/1976,259.9
1/06/1976,238.9
2/06/1976,220.9
3/06/1976,209.9
4/06/1976,207.9
5/06/1976,201.9
6/06/1976,193.9
7/06/1976,181.9
8/06/1976,173.9
9/06/1976,159
10/06/1976,154
11/06/1976,150
12/06/1976,143
13/06/1976,148
14/06/1976,205.9
15/06/1976,177.9
16/06/1976,172.9
17/06/1976,140
18/06/1976,129
19/06/1976,128
20/06/1976,144
21/06/1976,128
22/06/1976,115
23/06/1976,114
24/06/1976,110
25/06/1976,109
26/06/1976,116
27/06/1976,118
28/06/1976,114
29/06/1976,114
30/06/1976,110
1/07/1976,101
2/07/1976,95
3/07/1976,89
4/07/1976,87
5/07/1976,86
6/07/1976,79
7/07/1976,74
8/07/1976,72
9/07/1976,73
10/07/1976,73
11/07/1976,72
12/07/1976,91
13/07/1976,191.9
14/07/1976,147
15/07/1976,127
16/07/1976,124
17/07/1976,91
18/07/1976,73
19/07/1976,66
20/07/1976,63
21/07/1976,55
22/07/1976,54
23/07/1976,55
24/07/1976,55
25/07/1976,55
26/07/1976,56
27/07/1976,259.9
28/07/1976,132
29/07/1976,87
30/07/1976,75
31/07/1976,77
1/08/1976,60
2/08/1976,55
3/08/1976,50
4/08/1976,45
5/08/1976,45
6/08/1976,43
7/08/1976,40
8/08/1976,41
9/08/1976,38
10/08/1976,33
11/08/1976,33
12/08/1976,33
13/08/1976,34
14/08/1976,34
15/08/1976,35
16/08/1976,35
17/08/1976,35
18/08/1976,35
19/08/1976,33
20/08/1976,31
21/08/1976,31
22/08/1976,32
23/08/1976,32
24/08/1976,33
25/08/1976,30
26/08/1976,30
27/08/1976,29
28/08/1976,29
29/08/1976,31
30/08/1976,30
31/08/1976,27
1/09/1976,27
2/09/1976,24
3/09/1976,29
4/09/1976,36
5/09/1976,26
6/09/1976,23
7/09/1976,23
8/09/1976,21
9/09/1976,21
10/09/1976,20
11/09/1976,21
12/09/1976,18
13/09/1976,20
14/09/1976,21
15/09/1976,22
16/09/1976,21
17/09/1976,23
18/09/1976,23
19/09/1976,36
20/09/1976,47
21/09/1976,36
22/09/1976,30
23/09/1976,29
24/09/1976,27
25/09/1976,26
26/09/1976,24
27/09/1976,26
28/09/1976,74
29/09/1976,133
30/09/1976,54
1/10/1976,36
2/10/1976,30
3/10/1976,26
4/10/1976,26
5/10/1976,23
6/10/1976,21
7/10/1976,21
8/10/1976,21
9/10/1976,18
10/10/1976,19
11/10/1976,20
12/10/1976,19
13/10/1976,18
14/10/1976,19
15/10/1976,20
16/10/1976,18
17/10/1976,20
18/10/1976,19
19/10/1976,18
20/10/1976,18
21/10/1976,16
22/10/1976,15
23/10/1976,15
24/10/1976,20
25/10/1976,22
26/10/1976,23
27/10/1976,28
28/10/1976,52
29/10/1976,48
30/10/1976,41
31/10/1976,31
1/11/1976,209.9
2/11/1976,451.9
3/11/1976,226.9
4/11/1976,151
5/11/1976,86
6/11/1976,59
7/11/1976,48
8/11/1976,42
9/11/1976,41
10/11/1976,45
11/11/1976,60
12/11/1976,49
13/11/1976,53
14/11/1976,81
15/11/1976,71
16/11/1976,80
17/11/1976,68
18/11/1976,48
19/11/1976,44
20/11/1976,39
21/11/1976,41
22/11/1976,180.9
23/11/1976,153
24/11/1976,68
25/11/1976,45
26/11/1976,36
27/11/1976,30
28/11/1976,27
29/11/1976,26
30/11/1976,39
1/12/1976,60
2/12/1976,37
3/12/1976,29
4/12/1976,24
5/12/1976,19
6/12/1976,15
7/12/1976,13
8/12/1976,13
9/12/1976,10
10/12/1976,9
11/12/1976,8
12/12/1976,11
13/12/1976,10
14/12/1976,11
15/12/1976,13
16/12/1976,12
17/12/1976,14
18/12/1976,13
19/12/1976,12
20/12/1976,14
21/12/1976,12
22/12/1976,14
23/12/1976,12
24/12/1976,10
25/12/1976,33
26/12/1976,28
27/12/1976,17
28/12/1976,11
29/12/1976,8
30/12/1976,12
31/12/1976,10
1/01/1977,13
2/01/1977,13
3/01/1977,11
4/01/1977,31
5/01/1977,50
6/01/1977,967.7
7/01/1977,293.9
8/01/1977,124
9/01/1977,75
10/01/1977,57
11/01/1977,46
12/01/1977,38
13/01/1977,34
14/01/1977,36
15/01/1977,52
16/01/1977,41
17/01/1977,34
18/01/1977,27
19/01/1977,25
20/01/1977,20
21/01/1977,19
22/01/1977,16
23/01/1977,14
24/01/1977,10
25/01/1977,8
26/01/1977,9
27/01/1977,8
28/01/1977,8
29/01/1977,8
30/01/1977,9
31/01/1977,10
1/02/1977,11
2/02/1977,11
3/02/1977,10
4/02/1977,61
5/02/1977,110
6/02/1977,133
7/02/1977,53
8/02/1977,47
9/02/1977,45
10/02/1977,39
11/02/1977,35
12/02/1977,27
13/02/1977,24
14/02/1977,45
15/02/1977,48
16/02/1977,42
17/02/1977,40
18/02/1977,33
19/02/1977,27
20/02/1977,40
21/02/1977,278.9
22/02/1977,177.9
23/02/1977,195.9
24/02/1977,101
