"","site","mean","sd"
"1",1,0.053361853429066,0.0121067287858404
"2",2,0.00348687569616123,0.00160784229318546
"3",3,0.00751637769560767,0.00295722234529395
"4",4,0.0703295874960075,0.00780236169744667
"5",5,0.00982763969804379,0.00627111547660588
"6",6,0.110873638773938,0.010598315984081
"7",7,0.000163478065044775,7.48663073620216e-05
"8",8,0.0581977551712323,0.00896514374352203
"9",9,0.184527907398063,0.0122125305775517
"10",10,0.122483581193079,0.0104074485075118
"11",11,0.122664314746139,0.0143225429843154
"12",12,0.127704388974252,0.0155338008758842
"13",13,0.0276913481868137,0.00597592895231887
"14",14,0.0383919798763306,0.00749995649960323
"15",15,0.0885109233632296,0.0112295569484773
"16",16,0.0887258023002221,0.00942187891992039
"17",17,0.126235601868148,0.0110181689822896
"18",18,0.154513335945766,0.0167764816985284
"19",19,0.185465856193345,0.0165257172737112
"20",20,0.0573339296122216,0.00671470355433555
"21",21,0.0185069226299822,0.00497388911322402
"22",22,0.185686767198403,0.0145772019682036
"23",23,0.147344691088501,0.0152352601557908
"24",24,0.0391029888643826,0.00514803275416404
"25",25,0.214956009247921,0.0165130071142162
"26",26,0.094069531636043,0.0257692195495697
"27",27,0.0528410908507597,0.00720863983662854
"28",28,0.0045462248545233,0.00178652668677703
"29",29,0.132511831647224,0.0254577677446852
"30",30,0.0889589642086924,0.0164088859165321
"31",31,0.0645646233667994,0.00889348417307245
"32",32,0.0231302787349157,0.00420318369363014
"33",33,0.0775347479641371,0.0114484347043201
"34",34,0.0782531488699391,0.00781953601682151
"35",35,0.0654798292352839,0.011829363830277
"36",36,0.0107516304472182,0.00379831111014954
"37",37,0.017130338298364,0.004918339355455
"38",38,0.00251592687147974,0.00160688352281801
"39",39,0.0657595462513192,0.0107071136177204
"40",40,0.0896356346691784,0.0108896479415896
"41",41,0.0368114660940712,0.00504812830523868
"42",42,0.00966477689186052,0.00202946673903388
"43",43,0.0128798803244809,0.00223327817715494
"44",44,0.0036104064467885,0.000920619825262844
