Taxon,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Acacia.bakeri,3,16.6565,40,55.2395,NA,0.7725
Acacia.fimbriata,5,NA,6,21.13132885,8.88,NA
Acmena.smithii,4,21.72422222,20,239.8930164,9.149745374,0.647333333
Acronychia.oblongifolia,2,20.725,20,14.31078431,14.63068914,0.67375
Ailanthus.triphysa,NA,7.1875,45,37.699,NA,0.3705
Alangium.villosum,6,35.376875,20,191.78,17.77262044,0.556833333
Alchornea.ilicifolia,NA,17.385,7,19.65283023,NA,NA
Alectryon.tomentosus,4,23.625,20,23.71025529,NA,NA
Alphitonia.excelsa,5,22.86092308,35,20.16374881,10.7194951,0.598
Alyxia.ruscifolia,9,3.633333333,6,142.8935427,NA,NA
Aphananthe.philippinensis,3,6.605357143,35,36.47415914,15.09208746,0.58125
Araucaria.cunninghamii,NA,0.4845,50,NA,NA,0.448666667
Archidendron.muellerianum,2,21.8165,20,NA,NA,NA
Archirhodomyrtus.beckleri,3,9.230166667,10,1.495,11.16427286,0.53
Archontophoenix.spp,3,225,25,568.2,17.341,NA
Ardisia.crenata,NA,14.875,2,221,NA,NA
Argophyllum.nullumense,1,24.5,8,NA,NA,NA
Argyrodendron.trifoliolatum,3,21.177,40,110,11.53063133,0.762
Aristolochia.elegans,6,25.025,3,2.104,NA,NA
Arytera.distylis,2,10.25,20,NA,NA,0.6321
Arytera.divaricata,NA,38.18966667,30,59.7,10.95107768,0.6115
Atalaya.salicifolia,NA,13.781,12,33.27,NA,0.724
Atractocarpus.chartaceus,4,11.96,4,NA,NA,NA
Auranticarpa.rhombifolia,6,23.8,40,NA,NA,0.700633333
Backhousia.myrtifolia,3,8.087666667,35,10.9135,10.26136498,0.816764934
Beilschmiedia.obtusifolia,2,26.59333333,35,384,10.98780354,0.637
Breynia.oblongifolia,3,3.690666667,8,6.744,12.95235,0.62
Bridelia.exaltata,NA,20.3275,35,NA,NA,0.711666667
Bridelia.leichhardtii,NA,10.264,15,NA,NA,NA
Bursaria.incana,3,3.2375,10,2.927,NA,0.74
Calamus.muelleri,3,53.60875,10,443.925,13.0429245,NA
Callerya.megasperma,3,9.72825,20,7385.347116,NA,NA
Callistemon.salignus,3,NA,6,0.04832647,NA,0.839
Callistemon.viminalis,7,2.96025,8,0.373767045,8.67904711,0.689
Canarium.australasicum,NA,23.8,40,678.88,NA,0.584
Capparis.arborea,3,24.978125,10,49.052,8.893318898,0.681
Capparis.velutina,NA,18.9,15,39.27,NA,NA
Cardiospermum.grandiflorum,6,8.81,10,34.692,23.97813288,NA
Carex.appressa,4,28.44666667,1.5,0.9155,14.14,NA
Carex.spp,4,28.44666667,1.5,0.9155,14.14,NA
Carissa.ovata,3,4.185,4,50.76,NA,NA
Carronia.multisepalea,NA,45.535,15,62.832,NA,0.5805
Castanospermum.australe,3,30.38181429,35,13487.43901,14.65211768,0.61475
Casuarina.cunninghamiana,12,0.37940625,25,1.1005,2.825190956,0.677050148
Casuarina.littoralis,NA,NA,12,3.119,4.57,NA
Cayratia.clematidea,3,6.076666667,2,24.47433333,41.08713127,NA
Celtis.sinensis,12,37.41153333,15,47.44,27.57638816,0.59
Cestrum.nocturnum,6,NA,NA,3.236,NA,NA
Cinnamomum.camphora,6,11.128,20,92.5,16.44677541,0.460635
Cinnamomum.oliveri,2,24.285,25,NA,NA,0.473
Cissus.antarctica,9,38.0355,2,65.4,16.02778242,0.545107896
