gaugeID,gaugeName,MDF,CV,MDFAnnZer,MDFMDFWet,MDFMDFDry,CVMDFWet,CVMDFDry,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,PS1YrARI,PS2YrARI,PS10YrARI,C_MDFM,M_MDFM,C_MinM,M_MinM,C_MaxM,M_MaxM
138001A,Mary_Miva [Mary River at Miva (S).csv],2932.465,4.948,0,1.28688015,0.807740928,1.1,1.415,24.06169588,4.419,2.696,0.918,0.879,0.338,0.101824915,19.975,9.435,0.364,0.257,0.413,0.519325891,0.305631269,0.965,0.816,0.238,0.337,10.70585838,27.27164723,84.90060239,0.12,0.105,0.076,0.137,0.246,0.073
138002C,WideBay_Brooyar [Wide Bay Creek at Brooyar (S).csv],148.209,8.755,0,1.264727513,0.829301864,1.272,2.004,56.95770837,3.962,2.304,1.011,0.891,0.481,0.089825854,40.132,5.87,0.525,0.544,1.32,0.877780702,0.289752984,1.668,1.424,0.189,0.623,14.03819606,58.75709977,223.8005317,0.094,0.087,0.029,0.098,0.326,0.045
138003D,Glaston_Glaston [Glastonbury Creek at Glastonbury (S).csv],54.362,9.057,66.478,1.319414297,0.800853537,1.26,1.954,57.57004893,3.604,2.304,1.119,1.018,0.377,0.083569405,23.332,8.652,0.569,0.399,0.685,1.140539347,0.464478864,1.324,1.346,0.2,0.44,20.40199036,55.1576101,179.3378831,0.087,0.106,0.044,0.097,0.278,0.057
138004AB,Munna_Marodian [Munna Creek at Marodian (S).csv],346.687,6.995,64.13,1.521380957,0.642103684,1.531,1.847,45.03197409,4.22,2.174,0.917,0.545,0.342,0.050448964,41.57,7.478,0.313,0.547,0.503,0.993010987,0.385636035,1.151,1.256,0.101,0.646,18.54885242,54.11411446,134.060357,0.132,0.086,0.059,0.127,0.49,0.049
138102C,Amamoor_Zach [Amamoor Creek at Zachariah (S).csv],75.364,10.817,35.826,1.285932275,0.815097394,1.445,2.01,61.417308,3.654,2.261,0.951,1.004,0.525,0.060187888,37.725,7.435,0.354,0.597,0.6,1.332864498,0.45777825,1.656,1.599,0.141,0.492,15.46457194,63.73566955,253.6225652,0.087,0.11,0.018,0.121,0.417,0.045
138104a,ObiObi_Kida [Obi Obi Creek at Kidaman (S).csv],207.221,4.223,0,1.246567674,0.83863122,1.052,0.887,27.35624285,4.138,2.522,1.058,0.589,0.492,0.100911587,22.077,6.783,0.464,0.352,0.632,0.616544655,0.351653549,1.149,1.203,0.3,0.284,13.34395645,34.27925259,93.11950044,0.116,0.113,0.102,0.104,0.202,0.102
138107AB,SixMile_Cooran [Six Mile Creek at Cooran (S).csv],210.514,4.802,0,1.207425634,0.876502275,0.982,1.106,27.44371396,3.685,3.174,0.813,0.917,0.418,0.093979498,23.389,9.087,0.357,0.371,0.75,0.565568086,0.342252772,1.198,1.26,0.228,0.312,14.56841825,47.43227054,108.9305224,0.084,0.106,0.053,0.112,0.24,0.081
138111A,Mary_Moy [Mary River at Moy Pocket (S).csv],694.722,5.824,0,1.223847813,0.848657449,1.16,1.311,36.52688126,4,2.478,0.897,0.883,0.359,0.104423064,28.438,6.217,0.391,0.321,0.565,0.837142051,0.346659527,1.576,1.311,0.26,0.359,11.08525281,43.92895,145.8037431,0.104,0.097,0.091,0.116,0.221,0.089
138119B,Yabba_Borumba [Yabba Creek at Borumba Dam (S).csv],169.394,8.95,38.522,1.228508684,0.846429035,1.535,1.802,46.06620069,3.426,2.957,0.813,1.011,0.349,0.037374405,16.951,14.87,0.347,0.371,0.474,0.813074843,0.791373957,1.333,1.507,0.13,0.425,16.91162025,51.17817042,200.8691394,0.076,0.099,0.042,0.095,0.666,0.063
138903A,Tinana_Bauple [Tinana Creek at Bauple East (S).csv],368.607,4.645,0,1.113313095,0.951403527,1.54,1.404,26.63657228,5.792,2.087,1.207,0.403,0.352,0.09139273,38.341,6.609,0.375,0.359,0.669,0.32144262,0.148863152,1.263,1.354,0.198,0.453,18.26517673,36.82792785,71.23725811,0.079,0.109,0.047,0.113,0.243,0.075
141008A,Eudlo_Kiels [Eudlo Creek at Kiels Mountain (S).csv],82.486,5.341,46.696,1.203877022,0.866850132,0.972,1.033,32.79437723,3.954,2.826,0.826,0.831,0.307,0.067853939,30.955,7.565,0.323,0.336,0.398,0.855102684,0.390829959,1.15,1.185,0.195,0.264,14.37573649,54.43150353,139.8782096,0.053,0.138,0.023,0.129,0.31,0.106
