site,production_natural_w,production_dryland_w,intensive_w,conservation_w,production_irrigated_w
1.00,0.58,0.12,0.21,0.08,0.01
2.00,0.54,0.00,0.00,0.45,0.00
3.00,0.45,0.00,0.00,0.55,0.01
4.00,0.32,0.00,0.09,0.50,0.04
5.00,0.70,0.02,0.04,0.24,0.00
6.00,0.28,0.00,0.13,0.53,0.02
7.00,0.58,0.00,0.04,0.35,0.03
8.00,0.67,0.00,0.02,0.25,0.05
9.00,0.65,0.21,0.04,0.08,0.00
10,0.60,0.10,0.07,0.18,0.00
11,0.63,0.05,0.00,0.26,0.00
12,0.16,0.01,0.41,0.37,0.00
13,0.17,0.01,0.39,0.35,0.00
14,0.32,0.01,0.21,0.44,0.00
15,0.32,0.01,0.51,0.14,0.01
16,0.48,0.04,0.35,0.11,0.01
17,0.71,0.05,0.08,0.10,0.02
18,0.19,0.22,0.17,0.38,0.02
19,0.26,0.06,0.28,0.37,0.03
20,0.72,0.00,0.04,0.18,0.00
21,0.75,0.00,0.03,0.14,0.04
22,0.69,0.24,0.00,0.07,0.00
23,0.76,0.05,0.05,0.11,0.01
24,0.32,0.01,0.21,0.44,0.00
25,0.83,0.04,0.04,0.10,0.00
26,0.59,0.08,0.23,0.06,0.03
27,0.44,0.00,0.25,0.24,0.00
28,0.51,0.00,0.18,0.23,0.04
29,0.83,0.00,0.00,0.17,0.00
30,0.88,0.00,0.00,0.12,0.00
31,0.85,0.00,0.02,0.07,0.04
32,0.81,0.00,0.02,0.07,0.06
33,0.79,0.00,0.02,0.18,0.00
34,0.79,0.00,0.02,0.18,0.00
35,0.41,0.11,0.38,0.10,0.00
36,0.34,0.25,0.14,0.21,0.05
37,0.61,0.03,0.15,0.15,0.03
38,0.61,0.03,0.16,0.15,0.03
39,0.15,0.53,0.04,0.26,0.01
40,0.19,0.49,0.03,0.27,0.01
41,0.57,0.00,0.04,0.36,0.02
42,0.58,0.00,0.02,0.36,0.04
43,0.87,0.00,0.02,0.07,0.03
44,0.87,0.00,0.02,0.07,0.03
