Species,leafArea,SLA,seedMass,maxHeight,woodDensity,floweringStart,floweringEnd,,abundance
Acacia bakeri,,,,,,,,,1
Acacia fimbriata,,,,,,,,,3
Acacia spp,,,,,,,,,106
Acronychia oblongifolia,,,,,,,,,15
Ailanthus triphysa,,,,,,,,,1
Alangium villosum,,,,,,,,,3
Alchornea ilicifolia,,,,,,,,,2
Alectryon tomentosus,,,,,,,,,8
Alphitonia excelsa,,,,,,,,,42
Alyxia ruscifolia,,,,,,,,,2
Angophora spp,,,,,,,,,1
Aphananthe philippinensis,,,,,,,,,426
Araucaria cunninghamii,,,,,,,,,4
archidendron muellerianum,,,,,,,,,1
Archirhodomyrtus beckleri,,,,,,,,,55
Archontophoenix spp,,,,,,,,,157
Ardisia crenata,,,,,,,,,10
argophyllum nullumense,,,,,,,,,3
Arytera distylis,,,,,,,,,38
Arytera divaricata,,,,,,,,,4
Atalaya salicifolia,,,,,,,,,2
Atractocarpus chartaceus,,,,,,,,,6
Backhousia myrtifolia,,,,,,,,,18
Beilschmiedia obtusifolia,,,,,,,,,26
Brachychiton spp,,,,,,,,,1
Breynia oblongifolia,,,,,,,,,14
Bridelia exaltata,,,,,,,,,5
bridelia leichhardtii,,,,,,,,,1
Bursaria incana,,,,,,,,,3
Callistemon salignus,,,,,,,,,1
Callistemon viminalis,,,,,,,,,491
Canarium australasicum,,,,,,,,,4
Capparis arborea,,,,,,,,,5
Carissa ovata,,,,,,,,,3
Castanospermum australe,,,,,,,,,1327
Casuarina cunninghamiana,,,,,,,,,221
Casuarina littoralis,,,,,,,,,1
Celtis sinensis,,,,,,,,,1650
Cestrum nocturnum,,,,,,,,,2
Cinnamomum camphora,,,,,,,,,284
Cinnamomum oliveri,,,,,,,,,35
Citronella moorei,,,,,,,,,14
Citrus X taitensis,,,,,,,,,4
Cleistanthus cunninghamii,,,,,,,,,276
Clerodendrum floribundum,,,,,,,,,4
Commersonia bartramia,,,,,,,,,6
Cordyline spp,,,,,,,,,45
Croton acronychioides,,,,,,,,,10
Cryptocarya bidwillii,,,,,,,,,21
Cryptocarya glaucescens,,,,,,,,,35
Cryptocarya laevigata,,,,,,,,,389
Cryptocarya macdonaldii,,,,,,,,,13
Cryptocarya obovata,,,,,,,,,163
Cryptocarya sclerophylla,,,,,,,,,5
Cryptocarya triplinervis ,,,,,,,,,1045
Cupaniopsis anacardioides,,,,,,,,,27
cupaniopsis newmanii,,,,,,,,,6
Cupaniopsis serrata,,,,,,,,,1
cyclophyllum coprosmoides,,,,,,,,,1
Daphnandra apatela,,,,,,,,,2
Daphnandra tenuipes,,,,,,,,,9
Diospyros australis,,,,,,,,,3
Diospyros ellipticifolia,,,,,,,,,1
Diospyros fasciculosa,,,,,,,,,14
Diospyros geminata,,,,,,,,,12
Diospyros pentamera,,,,,,,,,12
Diploglottis australis,,,,,,,,,5
Dissiliaria baloghioides,,,,,,,,,4
Drypetes deplanchei,,,,,,,,,12
Dysoxylum rufum,,,,,,,,,2
Elaeocarpus grandis,,,,,,,,,14
Elaeocarpus obovatus,,,,,,,,,48
Elattostachys nervosa,,,,,,,,,51
Elattostachys xylocarpa,,,,,,,,,25
Endiandra discolor,,,,,,,,,274
Endiandra globosa,,,,,,,,,3
Endiandra pubens,,,,,,,,,13
Endiandra sieberi,,,,,,,,,1
Endiandra virens,,,,,,,,,2
Erythrina species 'Croftby',,,,,,,,,1
Eucalyptus spp,,,,,,,,,40
Eugenia uniflora,,,,,,,,,45
Eupomatia bennettii,,,,,,,,,2
Eupomatia laurina,,,,,,,,,124
Euroschinus falcatus,,,,,,,,,4
Ficus coronata,,,,,,,,,1652
Ficus fraseri,,,,,,,,,3
Ficus obliqua,,,,,,,,,1
Ficus opposita ,,,,,,,,,13
Ficus racemosa,,,,,,,,,7
Ficus virens,,,,,,,,,1
Ficus watkinsiana,,,,,,,,,10
Flindersia schottiana,,,,,,,,,1
Glochidion ferdinandi,,,,,,,,,107
Grevillea robusta,,,,,,,,,40
Guioa semiglauca,,,,,,,,,206
Helicia glabriflora,,,,,,,,,1
Heritiera trifoliolata,,,,,,,,,158
Hibiscus heterophyllus,,,,,,,,,1
hicksbeachia pinnatifolia,,,,,,,,,2
hodgkinsonia ovatiflora,,,,,,,,,2
Hymnosporum flavum,,,,,,,,,80
Ixora beckleri,,,,,,,,,3
Jacaranda mimosifolia,,,,,,,,,2
Jagera pseudorhus,,,,,,,,,51
Lantana camara,,,,,,,,,641
Lepiderema pulchella,,,,,,,,,47
Leucaena leucocephala,,,,,,,,,481
Ligustrum lucidum,,,,,,,,,218
Ligustrum sinense,,,,,,,,,147
Linospadix monostachya,,,,,,,,,5
Lophostemon spp,,,,,,,,,4
Lophostemon confertus,,,,,,,,,23
Lophostemon suaveolens,,,,,,,,,82
Macadamia tetraphylla,,,,,,,,,1
Mallotus claoxyloides,,,,,,,,,129
Mallotus discolor,,,,,,,,,1
Mallotus philippensis,,,,,,,,,231
medicosma cunninghamii,,,,,,,,,2
Melaleuca spp,,,,,,,,,16
Melaleuca bracteata,,,,,,,,,170
Melaleuca quinquenervia,,,,,,,,,1
Melia azedarach,,,,,,,,,1
micromelum minutum,,,,,,,,,1
Mischarytera lautereriana,,,,,,,,,3
Mischocarpus australis,,,,,,,,,2
Mischocarpus pyriformis ,,,,,,,,,3
Morus spp,,,,,,,,,11
Myrsine variabilis,,,,,,,,,45
Nandina spp,,,,,,,,,72
Neolitsea dealbata,,,,,,,,,410
Notelaea microcarpa,,,,,,,,,4
Notelaea longifolia,,,,,,,,,9
Ochna serrulata,,,,,,,,,87
Olea paniculata ,,,,,,,,,36
Pararchidendron pruinosum  ,,,,,,,,,20
Pavetta australiensis,,,,,,,,,19
Phyllanthus microcladus,,,,,,,,,102
Pittosporum multiflorum,,,,,,,,,5
Auranticarpa rhombifolia,,,,,,,,,1
