Taxon,growthForm,source
Carex.appressa,graminoid,native
Carex.spp,graminoid,native
Cyperus.involucratus,graminoid,exotic
Cyperus.spp,graminoid,native
Lomandra.hystrix,graminoid,native
Lomandra.longifolia,graminoid,native
Lomandra.sp,graminoid,native
Pteridium.esculentum,fern,native
Schoenoplectus.validus,graminoid,native
Alchornea.ilicifolia,shrub,native
Alyxia.ruscifolia,shrub,native
Ardisia.crenata,shrub,exotic
Argophyllum.nullumense,shrub,native
Breynia.oblongifolia,shrub,native
Bursaria.incana,shrub,native
Capparis.arborea,shrub,native
Carissa.ovata,shrub,native
Cestrum.nocturnum,shrub,exotic
Croton.acronychioides,shrub,native
Cryptocarya.laevigata,shrub,native
Eugenia.uniflora,shrub,exotic
Eupomatia.bennettii,shrub,native
Hibiscus.heterophyllus,shrub,native
Lantana.camara,shrub,exotic
Ligustrum.sinense,shrub,exotic
Myrsine.variabilis,shrub,native
Nandina.spp,shrub,exotic
Notelaea.microcarpa,shrub,native
Ochna.serrulata,shrub,exotic
Pavetta.australiensis,shrub,native
Phyllanthus.microcladus,shrub,native
Pilidiostigma.rhytispermum,shrub,native
Psychotria.daphnoides,shrub,native
Psychotria.loniceroides,shrub,native
Psydrax.odorata,shrub,native
Ricinus.communis,shrub,exotic
Senna.pendula,shrub,exotic
Senna.septemtrionalis,shrub,exotic
Senna.sulfurea,shrub,native
Solanum.chrysotrichum,shrub,exotic
Solanum.torvum,shrub,exotic
Tabernaemontana.pandacaqui,shrub,native
Tecoma.capensis,shrub,exotic
Turraea.pubescens,shrub,native
Vitex.melicopea,shrub,native
Wikstroemia.indica,shrub,native
Wilkiea.huegeliana,shrub,native
Wilkiea.macrophylla,shrub,native
Acacia.bakeri,tree,native
Acacia.fimbriata,tree,native
Acmena.smithii,tree,native
Acronychia.oblongifolia,tree,native
Ailanthus.triphysa,tree,native
Alangium.villosum,tree,native
Alectryon.tomentosus,tree,native
Alphitonia.excelsa,tree,native
Aphananthe.philippinensis,tree,native
Araucaria.cunninghamii,tree,native
Archidendron.muellerianum,tree,native
Archirhodomyrtus.beckleri,tree,native
Argyrodendron.trifoliolatum,tree,native
Arytera.distylis,tree,native
Arytera.divaricata,tree,native
Atalaya.salicifolia,tree,native
Atractocarpus.chartaceus,tree,native
Auranticarpa.rhombifolia,tree,native
Backhousia.myrtifolia,tree,native
Beilschmiedia.obtusifolia,tree,native
Bridelia.exaltata,tree,native
Bridelia.leichhardtii,tree,native
Callistemon.salignus,tree,native
Callistemon.viminalis,tree,native
Canarium.australasicum,tree,native
Castanospermum.australe,tree,native
Casuarina.cunninghamiana,tree,native
Casuarina.littoralis,tree,native
Celtis.sinensis,tree,exotic
Cinnamomum.camphora,tree,exotic
Cinnamomum.oliveri,tree,native
Citronella.moorei,tree,native
Cleistanthus.cunninghamii,tree,native
Clerodendrum.floribundum,tree,native
Commersonia.bartramia,tree,native
Cryptocarya.bidwillii,tree,native
Cryptocarya.glaucescens,tree,native
Cryptocarya.macdonaldii,tree,native
Cryptocarya.obovata,tree,native
Cryptocarya.sclerophylla,tree,native
Cryptocarya.triplinervis,tree,native
Cupaniopsis.anacardioides,tree,native
Cupaniopsis.newmanii,tree,native
Cupaniopsis.serrata,tree,native
Cyclophyllum.coprosmoides,tree,native
Daphnandra.apatela,tree,native
Daphnandra.tenuipes,tree,native
Diospyros.australis,tree,native
Diospyros.ellipticifolia,tree,native
Diospyros.fasciculosa,tree,native
Diospyros.geminata,tree,native
Diospyros.pentamera,tree,native
Diploglottis.australis,tree,native
Dissiliaria.baloghioides,tree,native
Drypetes.deplanchei,tree,native
Dysoxylum.rufum,tree,native
Elaeocarpus.grandis,tree,native
Elaeocarpus.obovatus,tree,native
Elattostachys.nervosa,tree,native
Elattostachys.xylocarpa,tree,native
Endiandra.discolor,tree,native
Endiandra.globosa,tree,native
Endiandra.pubens,tree,native
Endiandra.sieberi,tree,native
Endiandra.virens,tree,native
Enidandra.discolor,tree,native
Eupomatia.laurina,tree,native
Euroschinus.falcatus,tree,native
Ficus.coronata,tree,native
Ficus.fraseri,tree,native
Ficus.obliqua,tree,native
Ficus.opposita,tree,native
Ficus.racemosa,tree,native
Ficus.virens,tree,native
Ficus.watkinsiana,tree,native
Flindersia.schottiana,tree,native
Glochidion.ferdinandi,tree,native
Grevillea.robusta,tree,native
Guioa.semiglauca,tree,native
Helicia.glabriflora,tree,native
Hicksbeachia.pinnatifolia,tree,native
Hodgkinsonia.ovatiflora,tree,native
Hymenosporum.flavum,tree,native
Ixora.beckleri,tree,native
Jacaranda.mimosifolia,tree,exotic
Jagera.pseudorhus,tree,native
Lepiderema.pulchella,tree,native
Leucaena.leucocephala,tree,exotic
Ligustrum.lucidum,tree,exotic
Ligustrum.sinensis,tree,exotic
Lophostemon.confertus,tree,native
Lophostemon.suaveolens,tree,native
Macadamia.tetraphylla,tree,native
Mallotus.claoxyloides,tree,native
Mallotus.discolor,tree,native
Mallotus.philippensis,tree,native
Medicosma.cunninghamii,tree,native
Melaleuca.bracteata,tree,native
Melaleuca.quinquenervia,tree,native
Melaleuca.spp,tree,native
Melia.azedarach,tree,native
Micromelum.minutum,tree,native
Mischarytera.lautereriana,tree,native
Mischocarpus.australis,tree,native
Mischocarpus.pyriformis,tree,native
Neolitsea.dealbata,tree,native
Notelaea.longifolia,tree,native
Olea.paniculata,tree,native
Pararchidendron.pruinosum,tree,native
Pittosporum.multiflorum,tree,native
Pittosporum.undulatum,tree,native
Planchonella.australis,tree,native
Pleurostylia.opposita,tree,native
Polyscias.elegans,tree,native
Pouteria.queenslandica,tree,native
Pseudoweinmannia.lachnocarpa,tree,native
Rhodamnia.argentea,tree,native
Rhodamnia.rubescens,tree,native
Rhodomyrtus.psidioides,tree,native
Rhodosphaera.rhodanthema,tree,native
Sarcopteryx.stipata,tree,native
Schefflera.actinophylla,tree,exotic
Sloanea.australis,tree,native
Sloanea.woollsii,tree,native
Sloenea.australis,tree,native
Solanum.mauritianum,tree,exotic
Sterculia.quadrifida,tree,native
Streblus.brunonianus,tree,native
Synoum.glandulosum,tree,native
Syzygium.australe,tree,native
Syzygium.floribundum,tree,native
Syzygium.luehmannii,tree,native
Syzygium.oleosum,tree,native
Tecoma.stans,tree,exotic
Toechima.tenax,tree,native
Toona.ciliata,tree,native
Trema.tomentosa,tree,native
Tristaniopsis.laurina,tree,native
Archontophoenix.spp,palm,native
Aristolochia.elegans,vine_h,exotic
Calamus.muelleri,vine_w,native
Callerya.megasperma,vine_w,native
Capparis.velutina,vine_w,native
Cardiospermum.grandiflorum,vine_h,exotic
Carronia.multisepalea,vine_w,native
Cayratia.clematidea,vine_h,native
Cissus.antarctica,vine_w,native
Cissus.hypoglauca,vine_w,native
Clematis.aristata,vine_h,native
Derris.involuta,vine_w,native
Dioscorea.transversa,vine_h,native
Elaeagnus.triflora,vine_w,exotic
Embelia.australiana,vine_w,native
Flagellaria.indica,vine_w,native
Geitonoplesium.cymosum,vine_h,native
Hippocratea.barbata,vine_w,native
Ipomoea.cairica,vine_w,exotic
Legnephora.moorei,vine_w,native
Macfadyena.unguiscati,vine_w,exotic
Maclura.cochinchinensis,vine_w,native
Marsdenia.rostrata,vine_w,native
Melodinus.australis,vine_w,native
Melodorum.leichhardtii,vine_w,native
Morinda.jasminoides,vine_w,native
Pandorea.pandorana,vine_w,native
Parsonsia.straminea,vine_w,native
Passiflora.edulis,vine_h,exotic
Passiflora.suberosa,vine_h,exotic
Passiflora.subpeltata,vine_h,exotic
Piper.hederaceum,vine_w,native
Pothos.longipes,vine_w,native
Ripogonum.spp,vine_w,native
Rubus.moluccanus,vine_w,native
Rubus.rosifolius,vine_w,native
Smilax.australis,vine_w,native
Solanum.seaforthianum,vine_h,exotic
Stephania.japonica,vine_h,native
Trophis.scandens,vine_w,native
Desmodium.spp,vine_h,exotic
