site,Taxon,SLA,leaf.area
28,Castanospermum australe,201.8284782,21.305
28,Castanospermum australe,226.8370566,20.672
28,Castanospermum australe,184.5135285,25.146
28,Castanospermum australe,203.0681656,11.619
28,Castanospermum australe,190.0141917,24.034
28,Celtis sinensis,264.3375167,11.242
28,Celtis sinensis,211.2388405,5.769
28,Celtis sinensis,202.5038365,14.08
28,Celtis sinensis,257.8367991,10.774
28,Celtis sinensis,257.1143856,11.928
28,Grevillea robusta,113.4653551,25.16
28,Grevillea robusta,176.116052,31.324
25,Ficus coronata,170.8740676,18.587
25,Ficus coronata,154.1074732,29.591
25,Ficus coronata,179.710819,22.573
25,Grevillea robusta,88.98431866,23.067
25,Grevillea robusta,126.5376586,38.347
25,Grevillea robusta,100.6979589,30.543
25,Streblus brunonianus,180.5525276,10.795
25,Streblus brunonianus,188.4255417,7.287
25,Streblus brunonianus,148.9020037,8.287
25,Streblus brunonianus,NA,10.862
30,Cryptocarya obovata,112.4767835,82.54
30,Cryptocarya obovata,129.3464275,60.306
30,Cryptocarya obovata,NA,NA
30,Neolitsea dealbata,128.7624245,63.658
30,Neolitsea dealbata,138.2008738,59.352
30,Neolitsea dealbata,129.0670454,59.889
30,Sloenea australis,162.6111653,37.495
30,Sloenea australis,167.4703938,55.197
30,Wilkea huegeliana,104.8008074,33.11
30,Wilkea huegeliana,142.7114243,27.497
19,Enidandra discolor,121.3103154,17.299
19,Enidandra discolor,109.9743283,19.478
19,Enidandra discolor,121.0970945,18.587
19,Enidandra discolor,125.2266157,19.626
19,Enidandra discolor,114.9359693,22.796
19,Guioa semiglauca,135.7410655,17.797
19,Guioa semiglauca,155.1381043,19.882
19,Guioa semiglauca,179.7140011,6.252
17,Aphananthe philippinensis,122.3707656,2.605
17,Callistemon viminalis,105.2503171,3.792
17,Cupaniopsis anarcoides,82.67044811,11.727
17,Hymenosporum flavum,147.1574702,27.857
17,Mallotus philippensis,134.3397464,56.606
17,Mallotus philippensis,155.2344939,51.733
17,Mallotus philippensis,153.3418032,42.043
41,Callistemon viminalis,77.2893307,2.064
41,Celtis sinensis,506.317606,10.272
41,Celtis sinensis,277.8167973,6.28
41,Ficus coronata,156.4193578,41.381
41,Grevillea robusta,123.2354931,43.236
4,Aphananthe philippinensis,183.0862097,2.266
4,Mallotus philippensis,191.6086817,27.508
4,Mallotus philippensis,240.611011,57.426
4,Mallotus philippensis,NA,NA
4,Mallotus philippensis,214.7419826,28.674
4,Mallotus philippensis,221.6215121,45.656
35,Argyrodendron trifoliolatum,136.0467623,27.192
35,Glochidion ferdinandi,263.5716385,26.659
35,Cleistanthus cunninghamii,197.2608975,21.987
35,Cleistanthus cunninghamii,183.115003,19.139
35,Cleistanthus cunninghamii,203.007501,14.74
35,Cleistanthus cunninghamii,191.0342098,16.714
35,Cleistanthus cunninghamii,249.9830876,15.268
35,Cleistanthus cunninghamii,209.6950506,16.829
35,Cryptocarya laevigata ,157.5360799,18.586
35,Cryptocarya laevigata ,156.6854035,20.633
35,Cryptocarya laevigata ,149.3048192,15.706
35,Cryptocarya laevigata ,147.2974572,14.212
35,Cryptocarya obovata,157.9188118,30.953
35,Cryptocarya obovata,149.0886809,53.521
35,Cryptocarya obovata,127.9244854,53.046
35,Cryptocarya obovata,131.2315901,41.139
35,Cryptocarya obovata,166.9067582,13.504
35,Mallotus claoxyloides,NA,NA
35,Mallotus claoxyloides,NA,NA
35,Mallotus claoxyloides,182.3197794,28.493
35,Mallotus claoxyloides,NA,NA
35,Mallotus claoxyloides,158.8837502,28.622
35,Elattostachys nervosa,176.3055773,21.059
35,Guioa semiglauca,160.0982848,11.241
35,Guioa semiglauca,149.7352596,11.437
35,Guioa semiglauca,165.6989747,8.784
35,Neolitsea dealbata,171.3275989,62.344
35,Neolitsea dealbata,154.8188749,50.15
35,Sloenea australis,172.6399139,80.784
12,Cryptocarya triplinervis,129.2571492,13.042
12,Ligustrum sinensis,277.7849506,3.11
12,Ligustrum sinensis,579.0520753,4.289
12,Syzygium australae,161.7224236,10.419
12,Argyrodendron trifoliolatum,126.0027611,22.281
26,Cleistanthus cunninghamii,193.1750852,10.769
26,Cleistanthus cunninghamii,198.0784345,10.96
26,Cleistanthus cunninghamii,183.3633899,12.807
26,Cryptocarya laevigata ,172.0684709,11.424
26,Cryptocarya laevigata ,142.1053573,19.433
26,Cryptocarya laevigata ,175.0556471,15.251
29,Synoum glandulosum,209.9577189,21.405
29,Synoum glandulosum,201.8498189,31.88
29,Synoum glandulosum,201.8186179,19.781
29,Synoum glandulosum,159.0432509,32.457
29,Lantana camara,360.866703,26.34
29,Lantana camara,254.1819398,28.882
29,Lantana camara,330.4157214,47.119
29,Guioa semiglauca,106.271624,14.777
29,Neolitsea dealbata,123.3806653,66.221
29,Cinnamomum camphora,164.4677541,11.128
29,Ligustrum lucidum,129.1367938,20.184
29,Ligustrum lucidum,187.0015673,10.246
29,Ligustrum lucidum,152.6837092,8.147
29,Ligustrum lucidum,187.4684142,12.3
29,Ligustrum lucidum,165.545645,19.331
29,Wilkea huegeliana,107.3008283,27.579
29,Wilkea huegeliana,100.905253,19.081
29,Wilkea huegeliana,110.3938211,29.34
29,Wilkea huegeliana,96.66669313,29.581
29,Lantana camara,349.7161872,35.991
29,Neolitsea dealbata,114.878359,45.672
29,Mallotus philippensis,193.4301946,51.384
1,Streblus brunonianus,215.3277061,14.567
1,Aphananthe philippinensis,167.904942,5.627
1,Cryptocarya triplinervis,168.1427296,15.66
1,Cryptocarya triplinervis,172.8759133,19.272
1,Aphananthe philippinensis,149.0021973,9.272
1,Cryptocarya triplinervis,217.1230368,14.709
1,Cryptocarya triplinervis,189.7027013,17.355
1,Ficus coronata,235.3617307,19.043
1,Aphananthe philippinensis,147.5912387,9.287
1,Cryptocarya triplinervis,207.985856,11.29
1,Aphananthe philippinensis,184.6670168,2.883
1,Aphananthe philippinensis,183.3440723,7.797
1,Cryptocarya obovata,129.9438903,62.703
1,Streblus brunonianus,284.2276201,16.005
1,Streblus brunonianus,246.8453032,16.763
1,Ficus coronata,146.9882913,50.111
1,Grevillea robusta,114.8579689,116.052
1,Cryptocarya triplinervis,298.7569826,14.751
1,Cleistanthus cunninghamii,188.6739287,14.073
1,Cleistanthus cunninghamii,279.1688924,13.412
1,Castanospermum australe,245.8253238,24.81
1,Castanospermum australe,206.5305742,32.127
1,Mallotus philippensis,206.9770677,32.847
1,Aphananthe philippinensis,131.8676151,12.166
1,Aphananthe philippinensis,145.8279608,8.976
5,Casuarina cunninghamiana,28.4210337,1.145
5,Casuarina cunninghamiana,23.61713783,0.659
5,Casuarina cunninghamiana,27.87629646,1.415
5,Casuarina cunninghamiana,27.33793814,0.771
5,Casuarina cunninghamiana,17.8560234,0.632
5,Casuarina cunninghamiana,28.8329561,2.086
5,Casuarina cunninghamiana,32.4075547,1.592
5,Callistemon viminalis,77.71021531,3.351
5,Callistemon viminalis,77.95331571,3.719
5,Casuarina cunninghamiana,25.72494718,0.665
