Taxon,SLA
Abrophyllum ornans,11.05795796
Acacia dealbata subsp. dealbata,16.24048118
Acacia floribunda,9.880458849
Acacia irrorata subsp. irrorata,10.04638969
Acacia leiocalyx subsp. leiocalyx,9.862559966
Acacia mearnsii,9.743438102
Acacia melanoxylon,8.327076784
Acacia pravissima,9.344815128
Acaena novae-zelandiae,17.69794569
Acmena smithii,11.76641221
Adiantum aethiopicum,61.41670897
Adiantum hispidulum,25.95626067
Alectryon subcinereus,13.35396752
Alphitonia excelsa,9.06472401
Anagallis arvensis,22.48030465
Angophora subvelutina,8.377890691
Astroloma humifusum,10.49318282
Backhousia myrtifolia,11.97272995
Bedfordia arborescens,14.25566018
Beyeria viscosa,21.50909284
Bidens pilosa,62.11757976
Bidens subalternans,38.89153395
Blechnum nudum,20.83264784
Bursaria spinosa subsp. lasiophylla,5.803671184
Bursaria spinosa subsp. spinosa,8.762897582
Callistemon subulatus,5.505664478
Calochlaena dubia,23.7456708
Carex appressa,14.57485662
Carex longebrachiata,15.52026569
Carex polyantha,17.08422912
Carex sp. (Cataract),12.42568006
Carex sp. (Mann),8.185307704
Cassinia aculeata,13.80032961
Cassinia trinerva,20.63365143
Centella asiatica,47.02537453
Ceratopetalum apetalum,12.06957545
Commelina cyanea,54.10755814
Commersonia fraseri,23.48909838
Coprosma quadrifida,34.40728358
Cryptocarya glaucescens,10.34936337
Dianella caerulea,17.21365416
Dichondra repens,32.6382367
Dodonaea viscosa subsp. cuneata,12.83492579
Doodia aspera,10.69552155
Doryphora sassafras,11.01157395
Duboisia myoporoides,22.07182141
Entolasia stricta,36.64220794
Eucalyptus bridgesiana,6.322664032
Eucalyptus camphora subsp. humeana,8.604315814
Eucalyptus radiata,10.2964272
Eucalyptus stellulata,8.047273999
Eucalyptus tereticornis,6.551956447
Eucalyptus viminalis,6.885850137
Eustrephus latifolius,22.03897737
Geitonoplesium cymosum,15.97826443
Glochidion ferdinandi var. ferdinandi,12.84275212
Glycine microphylla,30.66631366
Guioa semiglauca,13.21338531
Gymnostachys anceps,6.976701296
Hovea asperifolia subsp. asperifolia,9.815258283
Hydrocotyle peduncularis,33.22446753
Juncus gregiflorus,10.03435921
Lepidosperma laterale,7.63783232
Leptospermum brevipes,9.023192771
Leptospermum emarginatum,7.705917206
Leptospermum grandifolium,7.834706801
Ligustrum sinense,10.46479477
Lomandra longifolia,12.89337361
Lomatia myricoides,10.31595538
Melaleuca quinquenervia,7.962321972
Melicytus dentatus,16.6441212
Morinda jasminoides,34.47539929
Myrsine variabilis,10.0098011
Notelaea longifolia,8.496776279
Notelaea microcarpa var. velutina,6.019673349
Notelaea venosa,9.413914863
Oplismenus imbecillis,63.27402236
Pandorea pandorana,34.62922997
Pellaea nana,20.52983578
Pennisetum clandestinum,30.46215195
Pittosporum revolutum,17.65804776
Pittosporum spinescens,18.43611111
Platylobium formosum subsp. formosum,14.48737209
Poa meionectes,10.7226927
Pomaderris aspera,13.41715962
Pratia purpurascens,60.87420107
Prostanthera lasianthos,13.37827139
Prunella vulgaris,26.47967257
Pteridium esculentum,9.636298999
Ripogonum album,11.94148951
Rubus fruticosus agg.,22.17089374
Rubus parvifolius,23.11055105
Senecio prenanthoides,15.78868867
Sida rhombifolia,23.58565728
Smilax australis,11.30089052
Solanum mauritianum,20.12699687
Stellaria flaccida,48.41683738
Syzygium oleosum,10.06692345
Tagetes minuta,50.14097734
Trema tomentosa var. aspera,47.89616722
Tristaniopsis laurina,7.480275655
Trophis scandens,12.13768338
Tylophora barbata,31.84582031
Urtica incisa,40.55022179
Verbena bonariensis,14.5966352
Vernonia cinerea,28.06494893
Viola hederacea,23.17943738
Waterhousea floribunda,13.58476728
Xanthium occidentale,48.65068599
