Taxon,WD
Abrophyllum ornans,0.601603758
Acmena smithii,0.771117393
Ceratopetalum apetalum,0.499899061
Cryptocarya glaucescens,0.496343742
Doryphora sassafras,0.376812554
Guioa semiglauca,NA
Pittosporum spinescens,NA
Tristaniopsis laurina,0.575187964
Waterhousea floribunda,0.542954174
Tristaniopsis laurina,0.66140655
Acacia melanoxylon,0.416440093
Coprosma quadrifida,NA
Eucalyptus viminalis,0.698733735
Leptospermum brevipes,0.700289744
Pomaderris aspera,0.563386143
Acacia floribunda,0.580556686
Bursaria spinosa subsp. spinosa,0.650078892
Cassinia trinerva,NA
Casuarina cunninghamiana,0.643369914
Eucalyptus cypellocarpa,0.623867961
Lomatia myricoides,NA
Melicytus dentatus,NA
Acacia floribunda,0.523497635
Backhousia myrtifolia,0.820059734
Casuarina cunninghamiana,0.692669086
Eucalyptus elata,0.502816615
Tristaniopsis laurina,0.645716352
Acacia floribunda,0.480008289
Acacia mearnsii,0.642039888
Callistemon subulatus,0.642039888
Casuarina cunninghamiana,0.485513009
Leptospermum brevipes,0.772674252
Acacia boormanii,0.503041879
Acacia dealbata subsp. dealbata,0.455614795
Acacia melanoxylon,0.497392285
Beyeria viscosa,NA
Eucalyptus rubida,0.440198065
Pomaderris aspera,NA
Acacia dealbata subsp. dealbata,0.440198065
Acacia melanoxylon,0.516140745
Coprosma quadrifida,0.485016435
Eucalyptus camphora subsp. humeana,0.426201226
Eucalyptus radiata,NA
Leptospermum brevipes,0.678543674
Melicytus dentatus,0.541547022
Pomaderris aspera,0.56921463
Acacia dealbata subsp. dealbata,0.520407106
Bedfordia arborescens,NA
Cassinia aculeata,NA
Coprosma quadrifida,NA
Eucalyptus camphora subsp. humeana,NA
Eucalyptus radiata,0.565362602
Eucalyptus viminalis,0.605338431
Lomatia ilicifolia,NA
Lomatia myricoides,NA
Pomaderris aspera,NA
Prostanthera lasianthos,NA
Pultenaea juniperina,NA
Bursaria spinosa subsp. lasiophylla,NA
Cassinia aculeata,NA
Coprosma quadrifida,NA
Eucalyptus camphora subsp. humeana,0.573141475
Eucalyptus stellulata,0.63697796
Leptospermum brevipes,0.696607157
Pomaderris aspera,NA
Acacia irrorata subsp. irrorata,0.419941579
Casuarina cunninghamiana,0.590095613
Eucalyptus amplifolia,0.785769362
Notelaea microcarpa subsp. microcarpa,0.638719277
Acacia floribunda,NA
Acacia irrorata subsp. irrorata,NA
Angophora subvelutina,0.658192325
Casuarina cunninghamiana,0.649355341
Eucalyptus tereticornis,0.713995475
Ligustrum sinense,NA
Melicytus dentatus,NA
Notelaea microcarpa subsp. velutina,NA
Solanum mauritianum,NA
Acacia floribunda,NA
Acacia leiocalyx subsp. leiocalyx,0.569275537
Alphitonia excelsa,0.725166841
Casuarina glauca,0.60140898
Duboisia myoporoides,0.414430689
Grevillea robusta,NA
Lophostemon suaveolens,0.577025052
Melaleuca quinquenervia,0.751375108
Notelaea longifolia,NA
Syzygium oleosum,0.58133195
Tree (Sportsmans 57),0.612402056
Trema tomentosa subsp. aspera,NA
Acacia dealbata subsp. dealbata,0.452091876
Acacia falciformis,NA
Acacia implexa,NA
Acacia pravissima,0.624416686
Cassinia aculeata,NA
Dodonaea viscosa subsp. cuneata,NA
Eucalyptus radiata,0.5906246
Eucalyptus viminalis,0.549681222
Hovea asperifolia subsp. asperifolia,NA
Leptospermum brevipes,NA
Lomatia myricoides,NA
Acmena smithii,0.658186341
Commersonia fraseri,0.371790888
Eucalyptus resinifera,0.599707427
Eucalyptus tereticornis,0.737352572
Glochidion ferdinandi subsp. ferdinandi,0.665265627
Ligustrum sinense,NA
