Taxon,leaf.narrowness
Legnephora.moorei,1
Calamus.muelleri,3.333333333
Smilax.australis,1.538461538
Piper.hederaceum,1.652173913
Melodinus.australis,3.111111111
Carronia.multisepalea,2.363636364
Parsonsia.straminea,2.947368421
Stephania.japonica,1
Marsdenia.rostrata,1.888888889
Cissus.antarctica,2.285714286
Melodorum.leichhardtii,2.571428571
Trophis.scandens,2
Flagellaria.indica,20
Embelia.australiana,2
Pandorea.pandorana,3.28125
Callerya.megasperma,2.545454545
Morinda.jasminoides,2.625
Maclura.cochinchinensis,2.2
Derris.involuta,1.9
Geitonoplesium.cymosum,4.285714286
Pothos.longipes,3.25
Rubus.rosifolius,3.666666667
Sloanea.australis,2.846153846
Toona.ciliata,2.923076923
Cryptocarya.glaucescens,3
Cryptocarya.obovata,2.5
Ficus.watkinsiana,3.5
Citronella.moorei,2.1
Lophostemon.confertus,3.785714286
Planchonella.australis,3.428571429
Elattostachys.nervosa,4
Heritiera.trifoliolata,5.5
Guioa.semiglauca,2.6
Sarcopteryx.stipata,2.545454545
Elaeocarpus.obovatus,3
Ficus.racemosa,2
Castanospermum.australe,3.375
Beilschmiedia.obtusifolia,2.909090909
Alphitonia.excelsa,2.714285714
Glochidion.ferdinandi,2.363636364
Aphananthe.philippinensis,1.777777778
Backhousia.myrtifolia,2.444444444
Grevillea.robusta,4.583333333
Elaeocarpus.grandis,5.4
Lophostemon.suaveolens,2.666666667
Olea.paniculata,2
Diospyros.fasciculosa,2.8
Syzygium.floribundum,3.307692308
Rhodamnia.rubescens,2.307692308
Tristaniopsis.laurina,4.111111111
Streblus.brunonianus,1.6
Toechima.tenax,2.25
Hymenosporum.flavum,3.2
Diospyros.pentamera,2.888888889
Rhodosphaera.rhodanthema,3.714285714
Commersonia.bartramia,1.5
Mallotus.philippensis,1.777777778
Pittosporum.undulatum,3.818181818
Endiandra.discolor,2
Cinnamomum.oliveri,4.6
Endiandra.pubens,2.857142857
Cleistanthus.cunninghamii,2
Drypetes.deplanchei,2.166666667
Elattostachys.xylocarpa,2.037037037
Casuarina.cunninghamiana,200
Schefflera.actinophylla,3.166666667
Syzygium.australe,3.25
Cinnamomum.camphora,2
Neolitsea.dealbata,2.380952381
Synoum.glandulosum,3.111111111
Rhodomyrtus.psidioides,3.333333333
Ficus.coronata,2.142857143
Alectryon.tomentosus,3
Acmena.smithii,2.333333333
Acronychia.oblongifolia,2.711864407
Cryptocarya.bidwillii,2.833333333
Cryptocarya.triplinervis,2.5
Daphnandra.tenuipes,3.777777778
Pararchidendron.pruinosum,2.5
Arytera.distylis,2.4
Syzygium.oleosum,3
Celtis.sinensis,1.8
Eupomatia.laurina,2.714285714
Cupaniopsis.anacardioides,2.5
Lepiderema.pulchella,3
Jagera.pseudorhus,3.461538462
Melaleuca.bracteata,8.444444444
Croton.acronychioides,2.5
Wilkiea.huegeliana,3.5
Cupaniopsis.newmanii,2.533333333
Wilkiea.macrophylla,2.5
Ficus.opposita,2
Diospyros.geminata,2.214285714
Myrsine.variabilis,3.25
Archirhodomyrtus.beckleri,2.875
Notelaea.longifolia,2.954545455
Eugenia.uniflora,1.727272727
Leucaena.leucocephala,4
Callistemon.viminalis,14
Mallotus.claoxyloides,1.888888889
Breynia.oblongifolia,2
Aristolochia.elegans,0.846153846
Pavetta.australiensis,2.714285714
Cryptocarya.laevigata,4.25
Tecoma.stans,3.289473684
Ligustrum.lucidum,2.125
Solanum.mauritianum,2.228571429
Lantana.camara,1.75
Tabernaemontana.pandacaqui,3.285714286
Atractocarpus.chartaceus,5.714285714
Senna.septemtrionalis,2.674418605
Tecoma.capensis,1.666666667
Ligustrum.sinense,1.75
Ochna.serrulata,3.636363636
Ardisia.crenata,3.4
Cyperus.involucratus,211.7647059
Lomandra.longifolia,120
Phyllanthus.microcladus,1.714285714
Acacia.fimbriata,8.75
Araucaria.cunninghamii,10
Argophyllum.nullumense,2.857142857
Argyrodendron.trifoliolatum,5.5
Canarium.australasicum,2.571428571
Capparis.arborea,2.307692308
Clematis.aristata,2.181818182
Clerodendrum.floribundum,2.375
Diploglottis.australis,3.333333333
Ipomoea.cairica,3.25
Ixora.beckleri,2.111111111
Notelaea.microcarpa,2.121212121
Pittosporum.multiflorum,0.4
Polyscias.elegans,1.789473684
Pouteria.queenslandica,3.222222222
Rhodamnia.argentea,2
Acacia bakeri,2.307692308
Alangium villosum,3.166666667
Arytera divaricata,2
Bursaria incana,14.51612903
Callistemon salignus,7.894736842
Carex appressa,266.6666667
Cayratia clematidea,2
Cissus hypoglauca,3.272727273
Dioscorea transversa,1.7
Diospyros australis,2.363636364
Dysoxylum rufum,3.666666667
Endiandra sieberi,3.75
Euroschinus falcatus,2.454545455
Ficus fraseri,2.222222222
Ficus obliqua,2.133333333
Flindersia schottiana,3.6
Helicia glabriflora,3.636363636
Hippocratea barbata,2.6
Melaleuca quinquenervia,3.125
Melia azedarach,2.375
Mischocarpus pyriformis,2.125
Psychotria loniceroides,2.923076923
Syzygium luehmannii,2.5
Trema tomentosa,2.5
Wikstroemia indica,2.666666667
