Taxon,seed volume,mean seed mass,source
Acacia bakeri,87.92,55.23951735,AUSTRAITS_dataset_49
Acacia fimbriata,35.28,17,AUSTRAITS_dataset_17
Acmena smithii,273.9555,266.735,AUSTRAITS_dataset_17
Acronychia oblongifolia,4.71,8.7735,AUSTRAITS_dataset_49
Ailanthus triphysa,39.25,37.69911184,AUSTRAITS_dataset_49
Alchornea ilicifolia,21.7,19.5,AUSTRAITS_dataset_17
Alectryon tomentosus,14.1,33.89,AUSTRAITS_dataset_17
Alphitonia excelsa,17.98958333,18.2,AUSTRAITS_dataset_49
Alyxia ruscifolia,169.8,163.774,AUSTRAITS_dataset_17
Aphananthe philippinensis,28.26,22.1039105,AUSTRAITS_dataset_49
Archirhodomyrtus beckleri,0.22078125,1.4952,AUSTRAITS_dataset_49
Arytera divaricata,235.5,59.7,AUSTRAITS_dataset_49
Atalaya salicifolia,102.9004167,33.2704,AUSTRAITS_dataset_49
Backhousia myrtifolia,0.785,10.9134,AUSTRAITS_dataset_49
Beilschmiedia obtusifolia,720.63,384,AUSTRAITS_dataset_49
Breynia oblongifolia,11.44791667,6.744,AUSTRAITS_dataset_49
Bursaria incana,5.233333333,2.926596327,AUSTRAITS_dataset_49
Callistemon viminalis,0.2592,0.3524,AUSTRAITS_dataset_17
Canarium australianum-australianum,1108.158333,678.88,AUSTRAITS_dataset_49
Capparis arborea,73.3975,49.0519449,AUSTRAITS_dataset_49
Capparis velutina,38.8575,39.26990817,AUSTRAITS_dataset_49
Carissa ovata,41.67041667,50.76,AUSTRAITS_dataset_49
Carronia multisepala,103.62,62.83185307,AUSTRAITS_dataset_49
Castanospermum australe,21127.68,15094.70497,AUSTRAITS_dataset_17
Casuarina cunninghamiana,7.326666667,1.57,AUSTRAITS_dataset_49
Cayratia clematidea,9.158333333,18.40321672,AUSTRAITS_dataset_49
Cissus antarctica,58.61333333,65.4,AUSTRAITS_dataset_49
Cissus hypoglauca,58.28625,37.75933333,AUSTRAITS_dataset_49
Clematis aristata,16.485,3.992994123,AUSTRAITS_dataset_49
Clerodendrum floribundum_coriaceum,14.71875,43.7,AUSTRAITS_dataset_49
Commersonia bartramia,14.13,9.5,AUSTRAITS_dataset_49
Cryptocarya glaucescens,415.9191667,323.99,AUSTRAITS_dataset_49
Cryptocarya triplinervis,346.3606,281.2805,AUSTRAITS_dataset_17
Cupaniopsis anacardioides,174.1391667,188.83,AUSTRAITS_dataset_49
Cupaniopsis serrata,362.67,293.2153143,AUSTRAITS_dataset_49
Derris involuta,127.17,74.05685307,AUSTRAITS_dataset_49
Dioscorea transversa,4.71,15.77638913,AUSTRAITS_dataset_49
Diospyros australis,230.79,233.462,AUSTRAITS_dataset_49
Diospyros pentamera,54.49208333,46.04,AUSTRAITS_dataset_49
Drypetes deplanchei,359.0066667,91.2436,AUSTRAITS_dataset_49
Dysoxylum rufum,176.8866667,108.47,AUSTRAITS_dataset_49
Elaeagnus triflora,170.0833333,150,AUSTRAITS_dataset_49
Elaeocarpus grandis,45.8772,17.07,AUSTRAITS_dataset_17
Elaeocarpus obovatus,25.64333333,86.2318,AUSTRAITS_dataset_49
Embelia australiana,166.6816667,59.49,AUSTRAITS_dataset_49
Endiandra discolor,435.4133333,250.42,AUSTRAITS_dataset_49
Endiandra sieberi,1695.665417,1758.5,AUSTRAITS_dataset_49
Eupomatia laurina,16.35416667,13.0752,AUSTRAITS_dataset_49
Euroschinus falcatus,7.2121875,7.62,AUSTRAITS_dataset_49
Ficus coronata,0.523333333,0.57,AUSTRAITS_dataset_49
Ficus fraseri,0.523333333,0.23,AUSTRAITS_dataset_49
Ficus obliqua,0.523333333,0.44,AUSTRAITS_dataset_49
Ficus opposita,0.523333333,0.8724,AUSTRAITS_dataset_49
Ficus racemosa,0.523333333,0.13,AUSTRAITS_dataset_49
Ficus virens,0.523333333,0.25,AUSTRAITS_dataset_49
Ficus watkinsiana,0.523333333,1.9782,AUSTRAITS_dataset_49
Flagellaria indica,20,40.3465,AUSTRAITS_dataset_17
Flagellaria indica,65.41666667,40.3465,AUSTRAITS_dataset_49
Flindersia schottiana,103.62,53.32595715,AUSTRAITS_dataset_49
Geitonoplesium cymosum,16.35416667,9.5479,AUSTRAITS_dataset_49
Glochidion ferdinandi,2.0525,8.490333333,AUSTRAITS_dataset_17
Grevillea robusta,14.9,25.70796327,AUSTRAITS_dataset_17
Guioa semiglauca,71.95833333,43.4565,AUSTRAITS_dataset_49
Helicia glabriflora,243.6116667,152.7,AUSTRAITS_dataset_49
Hibiscus heterophyllus,4.12125,12.552,AUSTRAITS_dataset_49
Hippocratea barbata,41.67041667,41.5,AUSTRAITS_dataset_49
Jagera pseudorhus,45.8421,36.15,AUSTRAITS_dataset_17
Legnephora moorei,226.865,94.06489035,AUSTRAITS_dataset_49
Lophostemon confertus,5.233333333,4.08,AUSTRAITS_dataset_49
Lophostemon suaveolens,2.355,0.46,AUSTRAITS_dataset_49
Maclura cochinchinensis,5.29875,11.16704261,AUSTRAITS_dataset_49
Mallotus philippensis,20.212,26.9,AUSTRAITS_dataset_17
Marsdenia rostrata,90.07875,77.35,AUSTRAITS_dataset_49
Melaleuca bracteata,0.0327,0.05,AUSTRAITS_dataset_17
Melaleuca quinquenervia,0.523333333,0.22,AUSTRAITS_dataset_49
Melia azedarach,68.88375,471,AUSTRAITS_dataset_49
Melodinus australis,50.24,65,AUSTRAITS_dataset_49
Melodorum leichhardtii,74.1825,124.16,AUSTRAITS_dataset_49
Micromelum minutum,71.95833333,22,AUSTRAITS_dataset_49
Mischocarpus pyriformis-pyriformis,359.2029167,187.2,AUSTRAITS_dataset_49
Morinda jasminoides,6.28,7.248266667,AUSTRAITS_dataset_49
Myrsine variabilis,33.49333333,29.6,AUSTRAITS_dataset_49
Neolitsea dealbata,153.86,146,AUSTRAITS_dataset_49
Notelaea longifolia,169.56,151.46,AUSTRAITS_dataset_49
Notelaea microcarpa,58.28625,43.5224,AUSTRAITS_dataset_49
Olea paniculata,197.82,82.5,AUSTRAITS_dataset_49
Pandorea pandorana,73.26666667,19.76009415,AUSTRAITS_dataset_49
Pararchidendron pruinosum,94.985,56,AUSTRAITS_dataset_49
Parsonsia straminea,18.84,8.8479,AUSTRAITS_dataset_49
Pilidiostigma rhytispermum,76.236,51.5,AUSTRAITS_dataset_17
Pittosporum undulatum,14.4,7.12155,AUSTRAITS_dataset_17
Planchonella australis,1430.5,604.5077061,AUSTRAITS_dataset_17
Polyscias elegans,4.8,7.65,AUSTRAITS_dataset_17
Pouteria queenslandica,263.76,150.7964474,AUSTRAITS_dataset_49
Psychotria daphnoides,14.71875,18.4134,AUSTRAITS_dataset_49
Psychotria loniceroides,10.1,9.427066667,AUSTRAITS_dataset_17
Rhodamnia argentea,7.326666667,16.9776,AUSTRAITS_dataset_49
Rhodamnia rubescens,1.046666667,3.7976,AUSTRAITS_dataset_49
Rhodomyrtus psidioides,2.94375,4.17658,AUSTRAITS_dataset_49
Rhodosphaera rhodanthema,104.6666667,255.8513265,AUSTRAITS_dataset_49
Rubus moluccanus,1.046666667,0.85,AUSTRAITS_dataset_49
Rubus rosifolius,0.523333333,0.433333333,AUSTRAITS_dataset_49
Sarcopteryx stipata,65.41666667,37.19,AUSTRAITS_dataset_49
Schefflera actinophylla,6.47625,6.673333333,AUSTRAITS_dataset_49
Senna sulfurea,56.52,42.67933388,AUSTRAITS_dataset_49
Smilax australis,32.05416667,35.2845,AUSTRAITS_dataset_49
Stephania japonica,26.4096,19.84573623,AUSTRAITS_dataset_17
Streblus brunonianus,25.64333333,12,AUSTRAITS_dataset_49
Synoum glandulosum,381.5,186.4695,AUSTRAITS_dataset_17
Syzygium australe,318.3481,259.3375,AUSTRAITS_dataset_17
Syzygium luehmannii,24.4493,20.2,AUSTRAITS_dataset_17
Syzygium oleosum,263.8938,216.49,AUSTRAITS_dataset_17
Tabernaemontana pandacaqui,46.05333333,23.5968,AUSTRAITS_dataset_49
Toona ciliata,9.42,63.5,AUSTRAITS_dataset_49
Trema tomentosa,4.186666667,3.53,AUSTRAITS_dataset_49
Trophis scandens,110.8158333,80.55,AUSTRAITS_dataset_49
Wikstroemia indica,32.05416667,17,AUSTRAITS_dataset_49
Wilkiea huegeliana,142.4775,131.15,AUSTRAITS_dataset_49
