"","Taxon","maximum.height","source"
"32","Capparis velutina",15,"AUSTRAITS_dataset_49"
"35","Carronia multisepalea",15,"AUSTRAITS_dataset_49"
"39","Cayratia clematidea",2,"AUSTRAITS_dataset_10"
"42","Cissus antarctica",2,"AUSTRAITS_dataset_8"
"43","Cissus hypoglauca",15,"AUSTRAITS_dataset_8"
"46","Clematis aristata",8,"AUSTRAITS_dataset_8"
"64","Dioscorea transversa",1.5,"AUSTRAITS_dataset_8"
"95","Flagellaria indica",2,"AUSTRAITS_dataset_52"
"97","Geitonoplesium cymosum",3,"AUSTRAITS_dataset_10"
"104","Hippocratea barbata",1.3,"AUSTRAITS_dataset_8"
"118","Maclura cochinchinensis",15,"AUSTRAITS_dataset_49"
"122","Marsdenia rostrata",1.8,"AUSTRAITS_dataset_8"
"131","Morinda jasminoides",20,"AUSTRAITS_dataset_8"
"138","Pandorea pandorana",1.6,"AUSTRAITS_dataset_8"
"140","Parsonsia straminea",17,"AUSTRAITS_dataset_8"
"141","Passiflora edulis",5,"AUSTRAITS_dataset_10"
"162","Rubus rosifolius",1,"AUSTRAITS_dataset_8"
"169","Smilax australis",4,"AUSTRAITS_dataset_8"
"171","Stephania japonica",0.1,"AUSTRAITS_dataset_8"
