DECLAT,DECLONG
-26.919739,152.772544
-28.216333,152.613778
-28.227389,152.604028
-28.022306,153.302583
-28.046806,153.189944
-28.005972,153.313944
-28.162139,152.558306
-28.156194,152.571833
-26.346139,152.656028
-26.490111,152.627528
-26.498278,152.591639
-26.634028,152.783722
-26.639725,152.790106
-26.511722,152.746139
-26.329694,152.809194
-26.342028,152.864111
-26.183528,152.527611
-26.662528,153.018139
-26.686,152.996361
-28.011556,152.556528
-28.000694,152.569917
-26.3669,152.6223
-26.1544,152.5528
-26.5257,152.7395
-28.0561,153.1786
-26.8392,152.8403
-28.1759,152.6722
-28.1659,152.6814
-28.2075,153.3953
-28.1908,153.4167
-26.0019,152.4286
-26.0047,152.4072
-25.9042,152.3489
-25.9014,152.35
-26.4697,152.9544
-26.5231,152.96
-25.8861,152.4864
-25.9533,152.4956
-25.82,152.7222
-25.8356,152.7229
-28.2128,152.8739
-28.2233,152.8583
-27.8969,152.9014
-27.9061,152.8583
