"","Taxon","site","countSum"
"1","Acacia.spp","1",1
"2","Acacia.spp","2",1
"3","Acacia.spp","3",0
"4","Acacia.spp","4",0
"5","Acacia.spp","5",0
"6","Acacia.spp","6",0
"7","Acacia.spp","7",0
"8","Acacia.spp","8",0
"9","Acacia.spp","9",0
"10","Acacia.spp","10",0
"11","Acacia.spp","11",0
"12","Acacia.spp","12",0
"13","Acacia.spp","13",2
"14","Acacia.spp","14",0
"15","Acacia.spp","15",2
"16","Acacia.spp","16",34
"17","Acacia.spp","17",1
"18","Acacia.spp","18",2
"19","Acacia.spp","19",0
"20","Acacia.spp","20",0
"21","Acacia.spp","21",4
"22","Acacia.spp","22",0
"23","Acacia.spp","23",0
"24","Acacia.spp","24",0
"25","Acacia.spp","25",0
"26","Acacia.spp","26",8
"27","Acacia.spp","27",0
"28","Acacia.spp","28",0
"29","Acacia.spp","29",0
"30","Acacia.spp","30",0
"31","Acacia.spp","31",0
"32","Acacia.spp","32",1
"33","Acacia.spp","33",2
"34","Acacia.spp","34",0
"35","Acacia.spp","35",0
"36","Acacia.spp","36",0
"37","Acacia.spp","37",0
"38","Acacia.spp","38",0
"39","Acacia.spp","39",0
"40","Acacia.spp","40",19
"41","Acacia.spp","41",0
"42","Acacia.spp","42",0
"43","Acacia.spp","43",29
"44","Acacia.spp","44",0
"45","Acmena.smithii","1",0
"46","Acmena.smithii","2",1
"47","Acmena.smithii","3",0
"48","Acmena.smithii","4",4
"49","Acmena.smithii","5",1
"50","Acmena.smithii","6",0
"51","Acmena.smithii","7",0
"52","Acmena.smithii","8",0
"53","Acmena.smithii","9",0
"54","Acmena.smithii","10",0
"55","Acmena.smithii","11",0
"56","Acmena.smithii","12",0
"57","Acmena.smithii","13",0
"58","Acmena.smithii","14",0
"59","Acmena.smithii","15",0
"60","Acmena.smithii","16",0
"61","Acmena.smithii","17",0
"62","Acmena.smithii","18",1
"63","Acmena.smithii","19",16
"64","Acmena.smithii","20",0
"65","Acmena.smithii","21",0
"66","Acmena.smithii","22",0
"67","Acmena.smithii","23",0
"68","Acmena.smithii","24",0
"69","Acmena.smithii","25",1
"70","Acmena.smithii","26",0
"71","Acmena.smithii","27",0
"72","Acmena.smithii","28",0
"73","Acmena.smithii","29",14
"74","Acmena.smithii","30",0
"75","Acmena.smithii","31",0
"76","Acmena.smithii","32",0
"77","Acmena.smithii","33",0
"78","Acmena.smithii","34",0
"79","Acmena.smithii","35",0
"80","Acmena.smithii","36",0
"81","Acmena.smithii","37",0
"82","Acmena.smithii","38",0
"83","Acmena.smithii","39",0
"84","Acmena.smithii","40",0
"85","Acmena.smithii","41",1
"86","Acmena.smithii","42",0
"87","Acmena.smithii","43",0
"88","Acmena.smithii","44",0
"89","Acronychia.oblongifolia","1",0
"90","Acronychia.oblongifolia","2",0
"91","Acronychia.oblongifolia","3",0
"92","Acronychia.oblongifolia","4",0
"93","Acronychia.oblongifolia","5",0
"94","Acronychia.oblongifolia","6",0
"95","Acronychia.oblongifolia","7",0
"96","Acronychia.oblongifolia","8",0
"97","Acronychia.oblongifolia","9",0
"98","Acronychia.oblongifolia","10",0
"99","Acronychia.oblongifolia","11",0
"100","Acronychia.oblongifolia","12",0
"101","Acronychia.oblongifolia","13",0
"102","Acronychia.oblongifolia","14",0
"103","Acronychia.oblongifolia","15",0
"104","Acronychia.oblongifolia","16",3
"105","Acronychia.oblongifolia","17",0
"106","Acronychia.oblongifolia","18",0
"107","Acronychia.oblongifolia","19",0
"108","Acronychia.oblongifolia","20",0
"109","Acronychia.oblongifolia","21",0
"110","Acronychia.oblongifolia","22",12
"111","Acronychia.oblongifolia","23",0
"112","Acronychia.oblongifolia","24",0
"113","Acronychia.oblongifolia","25",0
"114","Acronychia.oblongifolia","26",0
"115","Acronychia.oblongifolia","27",0
"116","Acronychia.oblongifolia","28",0
"117","Acronychia.oblongifolia","29",0
"118","Acronychia.oblongifolia","30",0
"119","Acronychia.oblongifolia","31",0
"120","Acronychia.oblongifolia","32",0
"121","Acronychia.oblongifolia","33",0
"122","Acronychia.oblongifolia","34",0
"123","Acronychia.oblongifolia","35",0
"124","Acronychia.oblongifolia","36",0
"125","Acronychia.oblongifolia","37",0
"126","Acronychia.oblongifolia","38",0
"127","Acronychia.oblongifolia","39",0
"128","Acronychia.oblongifolia","40",0
"129","Acronychia.oblongifolia","41",0
"130","Acronychia.oblongifolia","42",0
"131","Acronychia.oblongifolia","43",0
"132","Acronychia.oblongifolia","44",0
"133","Adiantum.spp","1",0
"134","Adiantum.spp","2",0
"135","Adiantum.spp","3",0
"136","Adiantum.spp","4",0
"137","Adiantum.spp","5",0
"138","Adiantum.spp","6",18
"139","Adiantum.spp","7",0
"140","Adiantum.spp","8",0
"141","Adiantum.spp","9",0
"142","Adiantum.spp","10",0
"143","Adiantum.spp","11",0
"144","Adiantum.spp","12",24
"145","Adiantum.spp","13",100
"146","Adiantum.spp","14",0
"147","Adiantum.spp","15",0
"148","Adiantum.spp","16",0
"149","Adiantum.spp","17",0
"150","Adiantum.spp","18",0
"151","Adiantum.spp","19",0
"152","Adiantum.spp","20",0
"153","Adiantum.spp","21",0
"154","Adiantum.spp","22",37
"155","Adiantum.spp","23",8
"156","Adiantum.spp","24",0
"157","Adiantum.spp","25",283
"158","Adiantum.spp","26",0
"159","Adiantum.spp","27",0
"160","Adiantum.spp","28",0
"161","Adiantum.spp","29",0
"162","Adiantum.spp","30",0
"163","Adiantum.spp","31",0
"164","Adiantum.spp","32",0
"165","Adiantum.spp","33",0
"166","Adiantum.spp","34",0
"167","Adiantum.spp","35",0
"168","Adiantum.spp","36",0
"169","Adiantum.spp","37",0
"170","Adiantum.spp","38",0
"171","Adiantum.spp","39",0
"172","Adiantum.spp","40",0
