"","Acacia.bakeri","Acacia.fimbriata","Acmena.smithii","Acronychia.oblongifolia","Ailanthus.triphysa","Alangium.villosum","Alectryon.tomentosus","Alphitonia.excelsa","Alyxia.ruscifolia","Aphananthe.philippinensis","Archirhodomyrtus.beckleri","Archontophoenix.spp","Argyrodendron.trifoliolatum","Aristolochia.elegans","Arytera.distylis","Arytera.divaricata","Atalaya.salicifolia","Auranticarpa.rhombifolia","Backhousia.myrtifolia","Beilschmiedia.obtusifolia","Breynia.oblongifolia","Bursaria.incana","Calamus.muelleri","Callerya.megasperma","Callistemon.salignus","Callistemon.viminalis","Canarium.australasicum","Capparis.arborea","Cardiospermum.grandiflorum","Carex.appressa","Carex.spp","Carissa.ovata","Carronia.multisepalea","Castanospermum.australe","Casuarina.cunninghamiana","Cayratia.clematidea","Celtis.sinensis","Cinnamomum.camphora","Cinnamomum.oliveri","Cissus.antarctica","Cissus.hypoglauca","Citronella.moorei","Cleistanthus.cunninghamii","Clematis.aristata","Clerodendrum.floribundum","Commersonia.bartramia","Cryptocarya.bidwillii","Cryptocarya.glaucescens","Cryptocarya.laevigata","Cryptocarya.obovata","Cryptocarya.triplinervis","Cupaniopsis.anacardioides","Cyperus.involucratus","Cyperus.spp","Daphnandra.tenuipes","Derris.involuta","Desmodium.spp","Dioscorea.transversa","Diospyros.australis","Diospyros.ellipticifolia","Diospyros.fasciculosa","Diospyros.pentamera","Diploglottis.australis","Drypetes.deplanchei","Dysoxylum.rufum","Elaeocarpus.grandis","Elaeocarpus.obovatus","Elattostachys.nervosa","Elattostachys.xylocarpa","Embelia.australiana","Endiandra.discolor","Endiandra.globosa","Endiandra.pubens","Endiandra.sieberi","Eugenia.uniflora","Eupomatia.laurina","Euroschinus.falcatus","Ficus.coronata","Ficus.fraseri","Ficus.obliqua","Ficus.opposita","Ficus.racemosa","Ficus.virens","Ficus.watkinsiana","Flagellaria.indica","Flindersia.schottiana","Geitonoplesium.cymosum","Glochidion.ferdinandi","Grevillea.robusta","Guioa.semiglauca","Helicia.glabriflora","Hippocratea.barbata","Hodgkinsonia.ovatiflora","Hymenosporum.flavum","Ixora.beckleri","Jagera.pseudorhus","Lantana.camara","Legnephora.moorei","Leucaena.leucocephala","Ligustrum.lucidum","Ligustrum.sinense","Lomandra.hystrix","Lomandra.longifolia","Lomandra.sp","Lophostemon.confertus","Lophostemon.suaveolens","Macadamia.tetraphylla","Macfadyena.unguiscati","Maclura.cochinchinensis","Mallotus.claoxyloides","Mallotus.philippensis","Marsdenia.rostrata","Melaleuca.bracteata","Melaleuca.quinquenervia","Melaleuca.spp","Melia.azedarach","Micromelum.minutum","Mischocarpus.pyriformis","Morinda.jasminoides","Myrsine.variabilis","Neolitsea.dealbata","Notelaea.longifolia","Notelaea.microcarpa","Ochna.serrulata","Olea.paniculata","Pandorea.pandorana","Pararchidendron.pruinosum","Parsonsia.straminea","Passiflora.edulis","Pavetta.australiensis","Pittosporum.multiflorum","Pittosporum.undulatum","Planchonella.australis","Polyscias.elegans","Pothos.longipes","Pseudoweinmannia.lachnocarpa","Psychotria.daphnoides","Psychotria.loniceroides","Pteridium.esculentum","Rhodamnia.argentea","Rhodamnia.rubescens","Rhodomyrtus.psidioides","Rhodosphaera.rhodanthema","Ricinus.communis","Ripogonum.spp","Rubus.moluccanus","Rubus.rosifolius","Sarcopteryx.stipata","Schefflera.actinophylla","Schoenoplectus.validus","Senna.pendula","Senna.septemtrionalis","Sloanea.australis","Sloanea.woollsii","Smilax.australis","Solanum.mauritianum","Stephania.japonica","Sterculia.quadrifida","Streblus.brunonianus","Synoum.glandulosum","Syzygium.australe","Syzygium.floribundum","Syzygium.luehmannii","Syzygium.oleosum","Tabernaemontana.pandacaqui","Tecoma.capensis","Tecoma.stans","Toechima.tenax","Toona.ciliata","Trema.tomentosa","Tristaniopsis.laurina","Trophis.scandens","Wikstroemia.indica","Wilkiea.huegeliana"
"1",0,0,272,4,0,0,0,0,0,0,0,149,0,0,0,0,0,0,211,0,0,0,59,0,0,0,0,0,0,0,478,0,0,241,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,153,253,0,0,0,0,29,168,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,201,0,0,24,0,0,0,0,4,0,424,0,0,0,240,0,156,786,0,122,0,895,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,2,0,0,51,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,25,0,223,3,83,205,0,0,0,0,0,0,0,0,0,53,0,0
"2",0,0,75,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,72,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,78,0,124,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,88,0,0,0,0,0,0,5,0,0,0,0,0,0,22,0,0,29,0,0,13,35,0,0,0,0,0,0,0,0,0,69,0,224,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,83,11,0,0,0,0,91,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,102,0,0,0,0,0,421,0,0,0,0,0,0,0,161,1,38,0,0,0
"4",0,0,0,0,0,0,0,0,0,573,0,6,0,0,0,0,0,0,159,0,0,0,0,0,0,1018,0,0,0,0,532,0,0,1006,0,0,0,0,0,0,0,0,0,35,0,0,0,0,184,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,128,0,0,0,311,0,0,0,2367,0,0,183,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,360,329,0,0,0,0,711,0,0,0,0,0,0,261,0,1095,0,0,0,0,0,58,10,0,0,0,0,803,0,0,61
"5",0,0,0,0,0,0,0,0,0,206,0,257,0,0,0,0,5,0,22,0,114,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0,1719,0,133,109,0,0,0,0,0,0,0,0,0,0,3546,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,105,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,293,0,1861,0,12,4712,0,886,0,0,0,188,98,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,3949,7,0,65,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,20,0,0,0
"6",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,426,0,0,0,0,42,0,0,0,0,35,0,0,0,0,0,16,159,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,26,0,42,0,0,0,0,0,0,96,0,12,0,0,377,0,0,0,1161,0,0,27,0,4169,0,0,38,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,123,0,0,0,0,0,149,0,0,0,78,37,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,139,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,127,0,0,0,528,0,0,0,0,0,0,0,0,0,301,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,358,0,150,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,18
"8",0,0,0,0,0,0,0,0,0,0,239,0,0,0,237,0,0,0,0,157,0,0,0,59,0,1620,0,0,0,4,0,0,0,1643,0,0,0,339,0,340,0,0,2797,0,0,0,2,0,218,0,1285,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,990,0,0,0,0,0,0,2533,0,0,0,0,0,0,361,0,0,0,0,106,0,0,0,0,2,0,300,0,0,0,0,0,2657,0,0,0,0,2757,0,0,19,0,803,0,0,0,0,0,433,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,0,0,0,0,0,0,0,0,0,0,0,0,26,144,0,420,0,0,0,640,0,0,158,0,0,179,0,89,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,64,0,0,0,0,24,0,0,519,0,0,0,0,0,55,0,0,0,0,0,903,0,1440,0,0,385,0,22,0,0,0,0,0,0,0,0,0,0,0,0,111,0,11,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,3585,0,0,0,0,0,0,0,751,0,0,107,0,0,0,0,0,0,0,400,0,0,0,0,95,0,0,0,0,0,0,0,54,0,0,0,0,1811,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,138,0,0,0,314,0,0,0,0,0,0,0,13,0
"10",0,0,0,0,0,0,0,83,0,370,0,432,0,0,0,0,0,0,0,0,0,0,78,132,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,278,0,0,0,0,393,0,1439,0,0,0,0,0,24,0,0,849,0,41,0,0,0,0,0,0,179,0,0,411,0,34,0,400,296,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,881,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238,0,168,228,0,0,0,0,0,0,0,9,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,473,0,0,136,0,0,0,39,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,30,0,53,0,3932,44,0,0,0,0,668,0,0,0,0,0,820,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,170,0,0,0,0,42,628,0,653,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,397,0,34,0,0,0,0,0,0,0,0,109,946,0,0,0,0,667,0,0,0,0,0,0,0,0,319,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,15,0,699,0,0,0,0,13,0,0,0,0,0,411,0,0,0,0,0,0,506,0,0,0,438,0,0,0,100,0,0,0,0,0,334,468,0,0
