"","site","clim_dnrg","clim_isot","clim_pcld","clim_pdmt","clim_pdry","clim_prec","clim_psea","clim_pwet","clim_pwmt","clim_pwrm","clim_tavg","clim_tcld","clim_tdry","clim_tmax","clim_tmin","clim_trng","clim_tsea","clim_twet","clim_twrm","soil_awc","soil_bdw","soil_cly","soil_der","soil_des","soil_ece","soil_nto","soil_phc","soil_pto","soil_slt","soil_snd","soil_soc","CV.x","MDFAnnZer","CVAnnZer","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","MDFAnnHSNum.x","CVAnnHSNum.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","MDFAnnLSNum.x","CVAnnLSNum.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","MRateRise.x","MRateFall.x","CVAnnMRateRise.x","CVAnnMRateFall.x","BFI.x","CVAnnBFI.x","PS1YrARI.x","PS2YrARI.x","PS10YrARI.x","C_MDFM.x","M_MDFM.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","MDFAnnHSNum.y","CVAnnHSNum.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","MDFAnnLSNum.y","CVAnnLSNum.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","MRateRise.y","MRateFall.y","CVAnnMRateRise.y","CVAnnMRateFall.y","BFI.y","CVAnnBFI.y","PS1YrARI.y","PS2YrARI.y","PS10YrARI.y","C_MDFM.y","M_MDFM.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","regulated_any"
"1",1,12.14808846,53.61001587,143.561264,33.16362381,118.697998,1153.776733,46.90408707,442.6585693,177.8186035,442.6585693,20.07529831,14.8249712,15.86943626,30.22143364,7.561323643,22.66011047,389.8130493,24.52971649,24.52971649,13.1887064,1.23506403,26.685215,15.96392727,1.13616991,7.168894291,0.225267485,4.850421906,0.067161635,15.6005621,46.35223007,4.216975212,4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,0.152562306617325,0.702832489892586,0.0480210401549087,0.685360841619985,0.0302394995721716,32,0.85643209409892,0.410983814406607,0.445448279692313,37,0.0596750241505878,1.18878266791718,1.5841082665515,4.45122056501175,2.29379410606129,0.59764404147303,4.73429114684588,0.0180340864050732,-0.0139896667525077,0.00670055419152926,0.0129589632829372,-0.026,0.0456535306350001,-0.0345540460720615,-0.0908467603702433,0.121809744779582,0.0356589147286821,-0.3,0.058038481892591,-0.071275260195197,0.0274274519407371,-0.0946291560102303,-0.0119402985074627,0.0145719489981786,-0.33085544542361,-0.144283874204944,-0.0993117010816125,0.0860832137733143,0.0441767068273093,0.0170068027210883,-0.0887055808289324,-0.0713438313428458,0.253589604874469,0.318840579710145,0,0.188679245283019,-0.0661157024793387,0.00485436893203883,-0.0291262135922329,""
"2",2,13.82896233,52.80395126,120.412941,29.58830643,112.5138702,967.2439575,46.22595978,388.462738,134.2378693,388.462738,18.44080162,12.39746857,13.57223988,30.23960686,4.050349236,26.18925667,450.3643188,23.59609032,23.59609032,15.017416,1.194262385,19.60969734,3.122287035,1.056316853,16.91392517,0.198060915,5.356603146,0.043224279,17.37374878,57.76696777,3.683989286,5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,0.210339661902426,0.907914466773182,0.00312867496708485,0.68446285929574,0.0501088195086899,14,0.855084874154803,0.474557731709024,0.380527142445779,16,0.179701379562486,0.999599426434764,0.19834856891282,3.98595230999975,2.33054627122535,0.69690666635883,2.9795147918984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,13.79892063,52.7397728,122.8064728,30.03965378,114.0235367,977.3255005,45.59164047,389.674469,135.2442932,389.674469,18.37519836,12.33047295,13.50588894,30.17416573,4.010002136,26.16416359,450.5137939,23.53348923,23.53348923,14.98192692,1.220199227,21.18978882,4.405022621,1.173047423,16.33325577,0.172754243,5.535741329,0.037521992,15.09672832,59.39103699,2.981785536,5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,0.195280391130837,0.839307248239627,0.00664088280165538,0.633121640418147,0.0424811809652054,16,0.849716770663628,0.448890633412854,0.400826137250774,17,0.25933873323705,1.24070996226564,0.985117240973407,4.28207610944405,2.23412608181214,0.642859982052916,4.30788214447615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,11.86628056,52.91636276,174.057312,40.98834229,142.5914917,1332.441895,44.22193527,480.625946,183.9373016,474.7789917,19.85819054,14.70363712,15.59643745,29.6568718,7.232275486,22.42459679,384.7421875,24.0169487,24.25049591,13.15342522,1.197072864,22.65402603,3.583175898,1.129638195,9.990216255,0.174282745,4.612263203,0.044354651,20.67567635,52.77626038,3.385577917,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,0.22915060444509,0.921532011390081,0.071913391982478,0.58593870532079,0.0532376267811914,26,0.86552561685257,0.492437364160295,0.373088252692275,29,0.226968726300114,1.14454544403173,1.0253415945677,3.30389719095299,2.58707232899127,0.575819283625609,5.65113410911481,0.048030221262817,0.931350299869084,-0.208392440764318,0.481481481481482,-0.101457725947522,0.350856387187015,-0.5,0.732647814910026,-0.207582938388626,-0.531030070377479,-0.671658986175115,-0.00429375775118535,0.860576240715333,-0.33746212796293,0.282700421940928,-0.186915887850467,0.0449640287769784,0.416025894172803,0.746705273073048,0.164426059979317,0.844047619047619,-0.24025974025974,0.0210696920583469,0.716779108781785,1.90357440726654,1.06581594053477,-0.347107438016529,-0.456140350877193,-0.708860759493671,-0.471774193548387,0.121761658031088,-0.621212121212121,"reg"
"5",5,12.29094696,52.95339203,149.3858643,37.73722458,127.6242981,1211.605347,44.97564697,453.189209,172.3799133,453.189209,18.93275452,13.58786678,14.57236576,29.13799858,5.927121162,23.21087837,397.3336792,23.45186424,23.45186424,13.55158997,1.153934479,21.23000717,4.248885155,1.069239497,10.28589153,0.206879646,4.835061073,0.044240389,20.04157066,49.53961182,3.460840464,6.033,15.121,1.963,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,2,0.788,0.85,0.407,0.092796227,19.2,9.606,0.376,0.348,0.474,0.958458569,0.394716907,0.948,1.092,0.228,0.341,17.16385651,57.61155096,145.1138357,0.08,0.091,0.063,0.084,0.25,0.08,0.03225678,0.129852946287897,0.519475080717932,0.00839671204774432,0.665456600110475,0.0274101958041791,15,0.508203285843499,0.284799769317165,0.223403516526334,19,0.0754987839676196,1.03811657170002,1.26640378318603,1.53797095032934,2.22168734522298,0.647972478392338,3.9708878208975,-0.0190745319675026,-0.0355672440330956,0.00240743946904054,-0.00796359499431176,-0.00340136054421769,-0.0334438332920277,-0.00530303030303025,-0.0604896783485358,-0.0491428571428572,-0.0687500000000001,0.0549828178694158,0.0334291339450308,-0.0545560634056209,0.0737391304347825,-0.0615384615384615,-0.142480211081794,-0.137078651685393,-0.0492491368944235,-0.258133095147505,0.241150442477876,0.00200601805416256,0.0263157894736843,-0.0212121212121212,0.0234427524860452,0.0693031447737451,-0.0166244249109189,-0.0111111111111111,0.0188679245283019,0.267605633802817,-0.0384615384615383,-0.0642570281124497,0.0194174757281553,"unreg"
"6",6,11.72317886,52.81443024,176.0374756,41.06150436,144.0125732,1327.835083,43.74140549,476.1430969,181.2915497,468.2572937,19.91764832,14.8046999,15.6835041,29.6250782,7.428154945,22.1969223,381.8599243,24.05523682,24.27853966,13.5691967,1.210136533,21.60365295,5.05502224,1.162707686,8.458163261,0.16823931,4.626170158,0.054521311,19.61895943,51.64487076,3.588429213,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,0.228022460243593,0.886742193210753,0.112780887664668,0.588555209014331,0.0528741643645316,29,0.835466749103242,0.486875279128876,0.348591469974366,38,0.175001566710535,1.18509671544074,0.952920432200289,2.90200412350428,2.49325030928437,0.530648337873238,6.00010572442729,0.048030221262817,0.931350299869084,-0.208392440764318,0.481481481481482,-0.101457725947522,0.350856387187015,-0.5,0.732647814910026,-0.207582938388626,-0.531030070377479,-0.671658986175115,-0.00429375775118535,0.860576240715333,-0.33746212796293,0.282700421940928,-0.186915887850467,0.0449640287769784,0.416025894172803,0.746705273073048,0.164426059979317,0.844047619047619,-0.24025974025974,0.0210696920583469,0.716779108781785,1.90357440726654,1.06581594053477,-0.347107438016529,-0.456140350877193,-0.708860759493671,-0.471774193548387,0.121761658031088,-0.621212121212121,"reg"
"7",7,14.07360554,52.94544601,105.4663239,26.43251419,100.3714218,891.718811,48.69025803,366.1491089,125.7035065,366.1491089,18.70462036,12.58199692,13.76526833,30.67473793,4.093405247,26.58133316,456.5210266,23.92965889,23.92965889,15.41628075,1.261082053,18.19693756,7.479796886,1.223063111,14.37866402,0.154833391,5.23056221,0.07141079,14.70367241,57.35041428,2.891135216,7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,0.159127654830075,0.606856485156942,0.000179671296569596,0.523388079735892,0.0341387731543362,8,0.663949877380024,0.366478600459686,0.297471276920338,9,0.800886898903079,1.1403392616609,0.862123800147198,3.12855981512907,2.44643960537813,0.52727379488484,2.89782153690347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,14.16186619,53.05957031,104.2738876,26.21613693,99.22058105,887.4594727,48.90520477,365.0860596,125.504303,365.0860596,18.82969666,12.69645309,13.88093948,30.82767105,4.137168407,26.69050217,457.280304,24.0619545,24.0619545,15.85127831,1.209161758,22.81381226,10.1508894,1.186378241,15.29266071,0.167012811,5.221028805,0.051513221,16.59193039,55.88515472,3.605105877,7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,0.120675001194089,0.856516339090695,0.0585163231282532,0.577566863443555,0.0261587733494214,24,0.392029669784035,0.229316612636742,0.162713057147293,27,0.809950226744829,1.36151344866891,1.3532205049586,3.61327841407138,3.20189773034484,0.5900252520222,5.69556595645421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,12.50164318,53.60297775,141.7344666,34.50591278,122.2714691,1130.202637,47.68352509,449.5500488,176.7278748,449.5500488,20.58245087,15.22526455,16.28660202,30.84773636,7.52507019,23.32266617,396.1566772,25.05847168,25.05847168,13.66369915,1.241800547,23.01506615,5.216386795,1.193337083,10.38984203,0.210364312,4.973424435,0.046734612,21.46771431,59.48788452,2.84725523,12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,0.22074848590677,0.874726166938344,0.184644055116152,0.585137199872287,0.0508731756255975,42,0.931604573169762,0.510834911771095,0.420769661398667,48,0.272795580661861,1.16011585079862,1.37484888276195,2.71318270328779,2.3378922392306,0.599953642579913,4.67837152050317,-0.105219621143188,-0.102013725751749,0.156181438432494,0.0277382645803699,-0.0103397341211228,-0.192409665226845,0.0548498845265588,0.1305,-0.0658153241650296,0.04149377593361,0.454293628808864,-0.0563338596297609,-0.143761773984884,0.0730264107374801,-0.0274725274725275,0.168297455968689,-0.257425742574258,-0.222753984982724,-0.482886029187066,0.158852344296711,-0.154415653093601,0.281818181818182,-0.201298701298701,0.00175255906669225,-0.129470385059973,-0.201185180759852,-0.42,-0.271523178807947,-0.64,-0.288235294117647,-0.0794701986754968,-0.53125,"unreg"
"10",10,12.52034855,53.69879913,134.5861511,31.92234993,115.2363205,1074.434937,47.22675705,429.9311218,163.2787476,429.9311218,20.19496346,14.84904575,15.91521549,30.51366234,7.197780609,23.31588173,395.9205933,24.67420006,24.67420006,13.44261932,1.245633245,21.97478867,10.35305309,1.282849908,10.66763306,0.205140367,5.052348614,0.067297325,18.53188705,50.7361908,2.714846611,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,0.219032351900128,0.81208543101413,0.12420009208973,0.55621526892051,0.050726508814477,32,0.872952208241837,0.488629866853198,0.384322341388639,35,0.259097917661057,1.21738207720376,1.21990082915512,3.4995477420472,2.46419892152706,0.566939070131413,4.63387094624538,5.43421998562185,0.211898724865847,-0.103153690538108,0.89272503082614,1.4923928077455,5.33275347599847,-0.688545454545455,3.14145658263305,-0.595522388059701,3.63761467889908,-0.319688109161793,0.577956581458751,-0.520575840710467,2.52871381110584,-0.483630952380952,-0.635201573254671,-0.200674536256324,2.55740415183392,2.14258548730328,0.929088277858177,1.86501901140684,-0.648648648648649,0.197183098591549,3.41210617013611,7.5579322069389,21.7180836211336,-0.371900826446281,-0.331081081081081,-0.761363636363636,-0.296296296296296,0.92485549132948,-0.470588235294118,"reg"
