"","site","clim_dnrg","clim_isot","clim_pcld","clim_pdmt","clim_pdry","clim_prec","clim_psea","clim_pwet","clim_pwmt","clim_pwrm","clim_tavg","clim_tcld","clim_tdry","clim_tmax","clim_tmin","clim_trng","clim_tsea","clim_twet","clim_twrm","soil_awc","soil_bdw","soil_cly","soil_der","soil_des","soil_ece","soil_nto","soil_phc","soil_pto","soil_slt","soil_snd","soil_soc","MDF","CV.x","MDFAnnZer","CVAnnZer","MDFMDFWet.x","MDFMDFDry.x","CVMDFWet.x","CVMDFDry.x","HSPeak.x","HSMeanDur.x","MDFAnnHSNum.x","CVAnnHSNum.x","CVAnnHSPeak.x","CVAnnHSMeanDur.x","LSPeak.x","LSMeanDur.x","MDFAnnLSNum.x","CVAnnLSNum.x","CVAnnLSPeak.x","CVAnnLSMeanDur.x","MRateRise.x","MRateFall.x","CVAnnMRateRise.x","CVAnnMRateFall.x","BFI.x","CVAnnBFI.x","PS1YrARI.x","PS2YrARI.x","PS10YrARI.x","C_MDFM.x","M_MDFM.x","C_MinM.x","M_MinM.x","C_MaxM.x","M_MaxM.x","regulation","hydro.pc1","hydro.pc2","hydro.pc3","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area","clim.pc1","clim.pc2","soil.pc1","soil.pc2","soil.pc3","soil.pc4","CV.y","MDFMDFWet.y","MDFMDFDry.y","CVMDFWet.y","CVMDFDry.y","HSPeak.y","HSMeanDur.y","MDFAnnHSNum.y","CVAnnHSNum.y","CVAnnHSPeak.y","CVAnnHSMeanDur.y","LSPeak.y","LSMeanDur.y","MDFAnnLSNum.y","CVAnnLSNum.y","CVAnnLSPeak.y","CVAnnLSMeanDur.y","MRateRise.y","MRateFall.y","CVAnnMRateRise.y","CVAnnMRateFall.y","BFI.y","CVAnnBFI.y","PS1YrARI.y","PS2YrARI.y","PS10YrARI.y","C_MDFM.y","M_MDFM.y","C_MinM.y","M_MinM.y","C_MaxM.y","M_MaxM.y","production_natural_w","production_dryland_w","intensive_w","conservation_w","production_irrigated_w","replicate","hydrochange.pc1","hydrochange.pc2","hydrochange.pc3"
"1",1,12.14808846,53.61001587,143.561264,33.16362381,118.697998,1153.776733,46.90408707,442.6585693,177.8186035,442.6585693,20.07529831,14.8249712,15.86943626,30.22143364,7.561323643,22.66011047,389.8130493,24.52971649,24.52971649,13.1887064,1.23506403,26.685215,15.96392727,1.13616991,7.168894291,0.225267485,4.850421906,0.067161635,15.6005621,46.35223007,4.216975212,150.434,4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,0.719862558729472,-2.65640309994697,-0.203324237088098,0.152488149348939,0.701635728490773,0.0496863845844146,0.675389716630351,0.0302774872957575,32,0.85643209409892,0.411002308660841,0.445429785438079,0.0914158305462653,0.0596750241505878,1.18600000909249,1.58913398575567,4.45122056501175,2.29270995263797,0.59764404147303,4.73429114684588,-0.427028462725192,-0.598897260742186,-1.80145855215443,-0.386396133790363,2.37864459571118,2.37864459571118,0.0180340864050732,-0.0139896667525077,0.00670055419152926,0.0129589632829372,-0.026,0.0456535306350001,-0.0345540460720615,-0.0908467603702433,0.121809744779582,0.0356589147286821,-0.3,0.058038481892591,-0.071275260195197,0.0274274519407371,-0.0946291560102303,-0.0119402985074627,0.0145719489981786,-0.33085544542361,-0.144283874204944,-0.0993117010816125,0.0860832137733143,0.0441767068273093,0.0170068027210883,-0.0887055808289324,-0.0713438313428458,0.253589604874469,0.318840579710145,0,0.188679245283019,-0.0661157024793387,0.00485436893203883,-0.0291262135922329,0.58,0.12,0.21,0.08,0.01,1,-1.15494396340588,0.143339477650988,-0.279812579235799
"4",4,11.86628056,52.91636276,174.057312,40.98834229,142.5914917,1332.441895,44.22193527,480.625946,183.9373016,474.7789917,19.85819054,14.70363712,15.59643745,29.6568718,7.232275486,22.42459679,384.7421875,24.0169487,24.25049591,13.15342522,1.197072864,22.65402603,3.583175898,1.129638195,9.990216255,0.174282745,4.612263203,0.044354651,20.67567635,52.77626038,3.385577917,39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,2.5279097069174,1.34887096328784,-6.00765967846521,0.22915294645788,0.921030634807876,0.07054543547603,0.58595610874487,0.0532343958569358,26,0.86552561685257,0.492380960986038,0.373144655866532,0.0619183285849953,0.226968726300114,1.14425907287925,1.02529834213793,3.30381086815301,2.58691607342487,0.575819283625609,5.65113410911481,-2.3332678508938,0.368259846513385,-1.49619892127365,0.718572848285428,-1.36458795022669,-1.36458795022669,0.048030221262817,0.931350299869084,-0.208392440764318,0.481481481481482,-0.101457725947522,0.350856387187015,-0.5,0.732647814910026,-0.207582938388626,-0.531030070377479,-0.671658986175115,-0.00429375775118535,0.860576240715333,-0.33746212796293,0.282700421940928,-0.186915887850467,0.0449640287769784,0.416025894172803,0.746705273073048,0.164426059979317,0.844047619047619,-0.24025974025974,0.0210696920583469,0.716779108781785,1.90357440726654,1.06581594053477,-0.347107438016529,-0.456140350877193,-0.708860759493671,-0.471774193548387,0.121761658031088,-0.621212121212121,0.32,0,0.09,0.5,0.04,1,2.42669127422199,2.1627342376236,-4.51217856152905
"5",5,12.29094696,52.95339203,149.3858643,37.73722458,127.6242981,1211.605347,44.97564697,453.189209,172.3799133,453.189209,18.93275452,13.58786678,14.57236576,29.13799858,5.927121162,23.21087837,397.3336792,23.45186424,23.45186424,13.55158997,1.153934479,21.23000717,4.248885155,1.069239497,10.28589153,0.206879646,4.835061073,0.044240389,20.04157066,49.53961182,3.460840464,81.846,6.033,15.121,1.963,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,2,0.788,0.85,0.407,0.092796227,19.2,9.606,0.376,0.348,0.474,0.958458569,0.394716907,0.948,1.092,0.228,0.341,17.16385651,57.61155096,145.1138357,0.08,0.091,0.063,0.084,0.25,0.08,0.03225678,-0.102951194213559,-1.98534984330096,-0.0592330301772165,0.131941508362543,0.514654314636395,0.00901714696064402,0.626405689412764,0.0279183139988814,15,0.508203285843499,0.286532566515036,0.221670719328463,0.0402414486921529,0.0754987839676196,1.0370168814035,1.27213287073311,1.53797095032934,2.29306170711538,0.647972478392338,3.97926809800245,-0.861749888599837,2.564097699893,-1.627369962051,-0.0714654376274267,-1.28031845785106,-1.28031845785106,-0.0190745319675026,-0.0355672440330956,0.00240743946904054,-0.00796359499431176,-0.00340136054421769,-0.0334438332920277,-0.00530303030303025,-0.0604896783485358,-0.0491428571428572,-0.0687500000000001,0.0549828178694158,0.0334291339450308,-0.0545560634056209,0.0737391304347825,-0.0615384615384615,-0.142480211081794,-0.137078651685393,-0.0492491368944235,-0.258133095147505,0.241150442477876,0.00200601805416256,0.0263157894736843,-0.0212121212121212,0.0234427524860452,0.0693031447737451,-0.0166244249109189,-0.0111111111111111,0.0188679245283019,0.267605633802817,-0.0384615384615383,-0.0642570281124497,0.0194174757281553,0.7,0.02,0.04,0.24,0,1,-0.959688363847393,-0.0900715788445061,0.268834210416823
"6",6,11.72317886,52.81443024,176.0374756,41.06150436,144.0125732,1327.835083,43.74140549,476.1430969,181.2915497,468.2572937,19.91764832,14.8046999,15.6835041,29.6250782,7.428154945,22.1969223,381.8599243,24.05523682,24.27853966,13.5691967,1.210136533,21.60365295,5.05502224,1.162707686,8.458163261,0.16823931,4.626170158,0.054521311,19.61895943,51.64487076,3.588429213,39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,2.5279097069174,1.34887096328784,-6.00765967846521,0.227891319344597,0.884895097023602,0.111014071301825,0.588623843766027,0.0528070965345956,29,0.835466749103242,0.486683485528439,0.348783263574803,0.107023411371237,0.198397777359988,1.1833522830105,0.953408993457105,2.90200412350428,2.49933692389166,0.530648337873238,6.00024009606087,-2.53012255623252,0.167983602929126,-1.24260256193959,0.722458300503945,-0.553761801805771,-0.553761801805771,0.048030221262817,0.931350299869084,-0.208392440764318,0.481481481481482,-0.101457725947522,0.350856387187015,-0.5,0.732647814910026,-0.207582938388626,-0.531030070377479,-0.671658986175115,-0.00429375775118535,0.860576240715333,-0.33746212796293,0.282700421940928,-0.186915887850467,0.0449640287769784,0.416025894172803,0.746705273073048,0.164426059979317,0.844047619047619,-0.24025974025974,0.0210696920583469,0.716779108781785,1.90357440726654,1.06581594053477,-0.347107438016529,-0.456140350877193,-0.708860759493671,-0.471774193548387,0.121761658031088,-0.621212121212121,0.28,0,0.13,0.53,0.02,2,2.42669127422199,2.1627342376236,-4.51217856152905
"9",9,12.50164318,53.60297775,141.7344666,34.50591278,122.2714691,1130.202637,47.68352509,449.5500488,176.7278748,449.5500488,20.58245087,15.22526455,16.28660202,30.84773636,7.52507019,23.32266617,396.1566772,25.05847168,25.05847168,13.66369915,1.241800547,23.01506615,5.216386795,1.193337083,10.38984203,0.210364312,4.973424435,0.046734612,21.46771431,59.48788452,2.84725523,75.575,12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,-4.64327356114381,1.2409067756194,-0.961235863747767,0.22065471088147,0.875074452669156,0.183490720439981,0.584504559956427,0.0508318481334589,42,0.931604573169762,0.510712589903735,0.420891983266026,0.187100638977636,0.334377735317905,1.15884688876946,1.3758164387656,2.71335147735945,2.33787818631087,0.599953642579913,4.67870964849308,-0.127883731202491,-1.58527696827064,-0.252540931804472,0.349739044661022,-0.815502769723951,-0.815502769723951,-0.105219621143188,-0.102013725751749,0.156181438432494,0.0277382645803699,-0.0103397341211228,-0.192409665226845,0.0548498845265588,0.1305,-0.0658153241650296,0.04149377593361,0.454293628808864,-0.0563338596297609,-0.143761773984884,0.0730264107374801,-0.0274725274725275,0.168297455968689,-0.257425742574258,-0.222753984982724,-0.482886029187066,0.158852344296711,-0.154415653093601,0.281818181818182,-0.201298701298701,0.00175255906669225,-0.129470385059973,-0.201185180759852,-0.42,-0.271523178807947,-0.64,-0.288235294117647,-0.0794701986754968,-0.53125,0.65,0.21,0.04,0.08,0,1,-1.19418671634057,0.0903079267966233,-0.870262058266662
"10",10,12.52034855,53.69879913,134.5861511,31.92234993,115.2363205,1074.434937,47.22675705,429.9311218,163.2787476,429.9311218,20.19496346,14.84904575,15.91521549,30.51366234,7.197780609,23.31588173,395.9205933,24.67420006,24.67420006,13.44261932,1.245633245,21.97478867,10.35305309,1.282849908,10.66763306,0.205140367,5.052348614,0.067297325,18.53188705,50.7361908,2.714846611,30.022,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,6.91167298838477,5.76362076692834,3.58585496482406,0.219320627529314,0.818815045643642,0.130148681231906,0.558058169164285,0.050871803357905,32,0.872952208241837,0.489447342565027,0.383504865676811,0.0722801788375559,0.265326781918622,1.20629131182338,1.22030775947371,3.4995477420472,2.46402555598824,0.566939070131413,4.63387094624538,0.397370908088659,-0.842165615915698,0.0841334654340256,-0.0786170903904399,1.44065524259806,1.44065524259806,5.43421998562185,0.211898724865847,-0.103153690538108,0.89272503082614,1.4923928077455,5.33275347599847,-0.688545454545455,3.14145658263305,-0.595522388059701,3.63761467889908,-0.319688109161793,0.577956581458751,-0.520575840710467,2.52871381110584,-0.483630952380952,-0.635201573254671,-0.200674536256324,2.55740415183392,2.14258548730328,0.929088277858177,1.86501901140684,-0.648648648648649,0.197183098591549,3.41210617013611,7.5579322069389,21.7180836211336,-0.371900826446281,-0.331081081081081,-0.761363636363636,-0.296296296296296,0.92485549132948,-0.470588235294118,0.6,0.1,0.07,0.18,0,1,13.2491074348768,4.14203357523426,2.52713523406707
"11",11,12.75006485,53.74793625,135.4541779,33.45661926,117.9629822,1074.04187,46.57189178,427.7681274,161.865509,427.7681274,20.2618618,14.82857132,15.91452885,30.74825287,7.026291847,23.72196007,402.2951965,24.81098747,24.81098747,13.82916737,1.212114453,22.13776588,4.085037231,1.151995182,10.10849953,0.21017696,5.113440037,0.045529574,16.24158669,56.77944565,2.883789539,30.022,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,6.91167298838477,5.76362076692834,3.58585496482406,0.234146449665872,0.879541915639976,0.120236940371097,0.538310542991059,0.0559987376744857,45,0.844712622232248,0.478550941798276,0.366161680433972,0.107177317598159,0.0951621383303593,1.10094017535873,1.77669009838817,3.2625562880596,2.04617661901392,0.587985650022908,6.03421382735477,0.586848810494814,-1.05894796554513,0.308920556328909,-0.134121409338407,-0.7715138279422,-0.7715138279422,5.43421998562185,0.211898724865847,-0.103153690538108,0.89272503082614,1.4923928077455,5.33275347599847,-0.688545454545455,3.14145658263305,-0.595522388059701,3.63761467889908,-0.319688109161793,0.577956581458751,-0.520575840710467,2.52871381110584,-0.483630952380952,-0.635201573254671,-0.200674536256324,2.55740415183392,2.14258548730328,0.929088277858177,1.86501901140684,-0.648648648648649,0.197183098591549,3.41210617013611,7.5579322069389,21.7180836211336,-0.371900826446281,-0.331081081081081,-0.761363636363636,-0.296296296296296,0.92485549132948,-0.470588235294118,0.63,0.05,0,0.26,0,2,13.2491074348768,4.14203357523426,2.52713523406707
"12",12,11.86498547,53.43755722,162.6393585,41.4962883,140.6659698,1292.919067,46.8634491,505.5458374,197.6858826,505.5458374,20.10215759,14.96645164,15.97029495,29.93316841,7.729711056,22.20345688,380.9794922,24.43831825,24.43831825,12.74608994,1.190961003,28.29791451,4.900153637,1.084346652,8.864079475,0.236093491,4.712797642,0.065761514,16.90513992,42.53391647,3.873775005,185.543,4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,1.93150130720141,-1.20938684203759,0.944366909847928,0.167409872323965,0.772647736174908,0.124187701069362,0.522694541085893,0.0332534345669584,41,0.90584944993537,0.436414698505419,0.469434751429951,0.106221792392005,0.0351135544474007,1.15265488719193,2.01551241871851,4.50457747206654,2.01498406143359,0.597302126469495,5.09738393785892,-2.20791011564383,-0.288730877207058,-2.89355147802867,-1.38637304734044,0.22351125000122,0.22351125000122,-0.0349634369287021,-0.0190822309054206,0.0731161547717389,0.0333988212180747,-0.0231277533039648,-0.0248044702195503,-0.025435704192181,-0.00786782061369007,0.0686868686868687,0.0461811722912966,0.0379746835443038,0.161798084694704,-0.0242641209228321,-0.0423549343498517,0.264305177111717,-0.173708920187793,0.0463576158940397,0.00721035232696732,0.0954541479187103,-0.00346921075455331,0.0290846877673225,0.0563380281690142,0.0441176470588234,-0.00884450877646903,0.149340324101732,0.185567576557915,0.432098765432099,-0.0887096774193548,0.569230769230769,-0.0280373831775701,-0.0471698113207546,0.0515463917525771,0.16,0.01,0.41,0.37,0,1,-1.36079570286637,0.607687534182545,-0.155509826070398
"13",13,11.71324253,53.28598785,175.4606934,43.0949173,149.7206421,1387.564575,47.5550766,546.2020874,216.7168427,538.9719238,19.98009109,14.87631035,15.87691402,29.73024178,7.74839735,21.98184395,378.6060181,23.95103073,24.29091644,13.6856823,1.226225853,20.69457817,6.154711723,1.24091053,9.230606079,0.205991253,4.66545105,0.049153753,19.01200867,46.36630249,3.177581787,185.543,4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,1.93150130720141,-1.20938684203759,0.944366909847928,0.160078429396089,0.939496963875777,0.026574494751167,0.460007010795632,0.0380838690730107,22,0.435439160487212,0.272481321805292,0.16295783868192,0.0703551912568306,0.0907390149478287,1.14696298589795,0.614287658008814,2.16575719960807,2.35801943264301,0.557941274235978,8.48789605473444,-3.11120656895691,0.417769372130485,-1.08382632173428,0.605409116905189,0.369410126903162,0.369410126903162,-0.0349634369287021,-0.0190822309054206,0.0731161547717389,0.0333988212180747,-0.0231277533039648,-0.0248044702195503,-0.025435704192181,-0.00786782061369007,0.0686868686868687,0.0461811722912966,0.0379746835443038,0.161798084694704,-0.0242641209228321,-0.0423549343498517,0.264305177111717,-0.173708920187793,0.0463576158940397,0.00721035232696732,0.0954541479187103,-0.00346921075455331,0.0290846877673225,0.0563380281690142,0.0441176470588234,-0.00884450877646903,0.149340324101732,0.185567576557915,0.432098765432099,-0.0887096774193548,0.569230769230769,-0.0280373831775701,-0.0471698113207546,0.0515463917525771,0.17,0.01,0.39,0.35,0,2,-1.36079570286637,0.607687534182545,-0.155509826070398
"14",14,11.2981987,52.70613861,154.6040192,38.4026947,133.2174683,1227.518799,47.16553497,483.5106812,189.2409515,483.5106812,19.55472183,14.51522636,15.52140141,29.14513206,7.708920479,21.43621063,373.4295959,23.79650497,23.79650497,13.32135773,1.252987862,23.61512756,5.148770332,1.284927487,10.84250259,0.236646309,4.984775543,0.060827896,21.3055687,51.38861847,2.565692425,606.124,6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363,-0.710594320195464,-1.17673688581083,0.421920751974966,0.169249143587628,0.744682137786219,0.0379961836956453,0.513948244688657,0.0349601570881498,25,0.819621694399632,0.415745853901073,0.403875840498559,0.071551724137931,0.0754469669196861,1.18673596493746,1.36396867837594,4.38477060702321,2.49391639407026,0.554654215344304,5.13504428899507,-2.47212190411295,1.21431327910811,-0.702071408928388,-0.357022994949049,0.390751508116155,0.390751508116155,-0.102342786683107,-0.0472774040890109,0.0915226569728729,0.00259291270527218,-0.0230998509687035,-0.0904867454598003,0.031193606599639,0.0252378982209351,0.0135593220338983,0.0412735849056605,0.101226993865031,0.131792318626715,-0.090246009149365,-0.0435384615384616,0.0371352785145889,-0.342213114754098,-0.129429892141757,-0.401745208160513,-0.37430994230475,0.254777070063694,0.186425339366516,0.101694915254237,-0.0244565217391305,-0.143925253202639,-0.0502744860980081,-0.0751652044755875,0.464788732394366,-0.058252427184466,1.67647058823529,0.0265486725663717,0.04739336492891,0.308823529411764,0.32,0.01,0.21,0.44,0,1,-1.57997647886968,0.520548285039019,0.877421865471645
