"","metric","pval.linear","r2.linear","f statistic linear","pval.quad","r2.quad","f statistic quad"
"value77","richness.stand",0,1,4.445e+34,0,1,2.193e+34
"value","richness.stand.ln",4.2305547079357e-21,0.90592,365.9,2.64598607919419e-43,0.99492,3624
"value44","richness",7.07124723775857e-20,0.89093,310.4,9.24982224019137e-20,0.89639,160.1
"value43","nbsp",6.93631662691617e-10,0.63692,66.66,1.05251052395257e-09,0.64002,32.89
"value41","FRic",1.31622036001197e-06,0.46393,32.89,1.20934235878334e-06,0.48793,17.63
"value68","M_MinM.y",1.53070484589895e-05,0.39245,24.55,1.24887151874437e-05,0.42822,13.86
"value4","clim_pwet",1.6404478226998e-05,0.39031,24.33,2.12489662759117e-05,0.39039,11.85
"value2","clim_pdry",2.68430719250323e-05,0.37489,22.79,3.42441230028444e-05,0.37521,11.11
"value6","clim_tsea",5.98034070423786e-05,0.34905,20.38,5.72458590135207e-05,0.37435,11.07
"value15","soil_phc",0.000137255588832536,0.32126,17.99,0.000159396792514518,0.32734,9.003
"value13","soil_ece",0.000153497818152535,0.31744,17.67,0.000161394556930172,0.33401,9.278
"value17","soil_slt",0.00135821313956688,0.23932,11.96,0.000866107931013748,0.32589,8.944
"value34","C_MinM.x",0.00365576904755624,0.20163,9.597,0.0027365939932798,0.2764,7.067
"value9","soil_bdw",0.00333037726551686,0.20523,9.813,0.00357153959229988,0.21596,5.096
"value8","soil_awc",0.00351125851487289,0.20319,9.69,0.00387041031440922,0.20853,4.874
"value19","soil_soc",0.00363152684841714,0.20189,9.612,0.00410763656786042,0.20207,4.685
"value25","HSMeanDur.x",0.00961243908671568,0.16369,7.438,0.00567228202170662,0.29788,7.849
"value72","production_dryland_w",0.0101201232602913,0.16164,7.327,0.00668635623364873,0.27571,7.042
"value27","CVAnnHSMeanDur.x",0.0129003505561264,0.15196,6.809,0.0131313728404464,0.17191,3.84
"value54","MDFMDFDry.y",0.0311436176898512,0.11648,5.01,0.0142112605622527,0.34925,9.929
"value51","leaf.area",0.0229296391197562,0.12884,5.62,0.019532743706844,0.20019,4.63
"value35","M_MinM.x",0.0227706118458195,0.12913,5.634,0.0243446231300446,0.13321,2.843
"value45","exotics",0.0321327995270951,0.11521,4.948,0.0323083856982259,0.13841,2.972
"value16","soil_pto",0.0368455046541651,0.10968,4.681,0.0350097133103439,0.15281,3.337
"value80","MDFAnnHSNum.x",0.0411763967486736,0.10519,4.467,0.0438133201536379,0.10662,2.208
"value5","clim_tcld",0.0497229911606585,0.097572,4.109,0.0438984747849591,0.1706,3.805
"value78","FRic.SES",0.0495415131344165,0.09772,4.116,0.0521017231075727,0.10235,2.109
"value81","CVAnnHSNum.x",0.0669546683476447,0.085594,3.557,0.0694163685704421,0.094319,1.927
"value75","production_irrigated_w",0.0791830995639152,0.078876,3.254,0.0792082804094761,0.1043,2.154
"value84","MDFAnnHSNum.y",0.0863715258309918,0.075411,3.099,0.0894069978064206,0.082968,1.674
"value28","LSPeak.x",0.0879732753207754,0.074679,3.067,0.0921634274715769,0.075598,1.513
"value85","CVAnnHSNum.y",0.0976090675022238,0.070553,2.885,0.100545191761018,0.079792,1.604
"value58","HSMeanDur.y",0.127997579470657,0.059898,2.421,0.120941884487619,0.12044,2.533
"value37","M_MaxM.x",0.141498823810817,0.056004,2.254,0.139175722248486,0.092911,1.895
"value65","BFI.y",0.145097481578053,0.055034,2.213,0.149910885477113,0.058179,1.143
"value64","CVAnnLSMeanDur.y",0.151501194992226,0.05337,2.142,0.156918415390433,0.054072,1.058
"value26","CVAnnHSPeak.x",0.18963512029572,0.044836,1.784,0.163884192589967,0.17766,3.997
"value83","CVAnnLSNum.x",0.175650327753498,0.047725,1.904,0.180583746636613,0.051895,1.013
"value32","BFI.x",0.194393007323981,0.043907,1.745,0.187696238784713,0.098265,2.016
"value55","CVMDFWet.y",0.211723898932943,0.040731,1.613,0.205405026944865,0.092948,1.896
"value20","MDFMDFWet.x",0.221880878247294,0.039005,1.542,0.212533194939271,0.10315,2.128
"value69","C_MaxM.y",0.230936919016694,0.037541,1.482,0.228365073699334,0.074178,1.482
"value46","SLA",0.239056216710205,0.036285,1.431,0.240918086152855,0.054856,1.074
"value31","CVAnnLSMeanDur.x",0.237754115742424,0.036483,1.439,0.24221627839696,0.04434,0.8584
"value33","CVAnnBFI.x",0.243071200339682,0.035682,1.406,0.247714855696889,0.042871,0.8286
"value24","HSPeak.x",0.244668812295659,0.035445,1.396,0.248081116055287,0.047717,0.927
"value21","MDFMDFDry.x",0.246119428404745,0.035232,1.388,0.248652120720326,0.051118,0.9966
"value1","site",0.258855846702737,0.033421,1.314,0.249180677401898,0.097839,2.006
"value50","wood.density",0.267283510768337,0.03228,1.268,0.268807987988184,0.052386,1.023
"value60","CVAnnHSMeanDur.y",0.325341610341499,0.025463,0.9929,0.321897680801608,0.065362,1.294
"value7","clim_twrm",0.318560770831026,0.026177,1.021,0.325044734970172,0.026398,0.5016
"value79","FDis.SES",0.330996399001685,0.024882,0.9696,0.333611338933128,0.040755,0.786
"value63","CVAnnLSPeak.y",0.331045059606226,0.024877,0.9695,0.335738205491475,0.032359,0.6187
"value86","MDFAnnLSNum.y",0.354740013386347,0.022577,0.8777,0.352208543421805,0.059002,1.16
"value87","CVAnnLSNum.y",0.35091275971648,0.022934,0.892,0.356841903324686,0.025289,0.48
"value38","regulation",0.369209118430556,0.02127,0.8258,0.370728479398484,0.041512,0.8012
"value49","flowering.duration",0.368544106681669,0.021329,0.8282,0.375004861609375,0.021332,0.4032
"value47","seed.mass",0.428962322778705,0.016543,0.6392,0.391214822553182,0.18679,4.249
"value18","soil_snd",0.396910321788266,0.018954,0.7342,0.391518358733124,0.067096,1.331
"value36","C_MaxM.x",0.399332590757643,0.018762,0.7266,0.393933723249656,0.066967,1.328
"value22","CVMDFWet.x",0.388844030960469,0.019605,0.7599,0.395240996979459,0.019606,0.37
"value71","production_natural_w",0.448892317597262,0.015174,0.5855,0.447660773479925,0.046859,0.9095
"value57","HSPeak.y",0.451159893425189,0.015024,0.5796,0.452604728423449,0.035293,0.6768
"value42","FEve",0.49002219725757,0.012624,0.4859,0.488143233318211,0.047445,0.9215
"value40","FDiv",0.527045554837195,0.010611,0.4075,0.523381771496416,0.054104,1.058
"value30","CVAnnLSPeak.x",0.524729063315931,0.01073,0.4122,0.52829477945615,0.020407,0.3854
"value12","soil_des",0.52812371916975,0.010556,0.4054,0.533548124624849,0.011173,0.209
"value52","CV.y",0.538869474747679,0.010019,0.3846,0.533888604687465,0.059934,1.179
"value62","LSMeanDur.y",0.54353646073643,0.0097914,0.3758,0.535940768548303,0.071944,1.434
"value3","clim_psea",0.537635768235986,0.01008,0.3869,0.543072195499826,0.010257,0.1917
"value74","conservation_w",0.593058889722682,0.0075861,0.2905,0.5952474623882,0.022572,0.4272
"value39","FDis",0.604883359410871,0.0071124,0.2722,0.608937450025063,0.011563,0.2164
