"","Taxon","SLA","source"
"86","Alphitonia excelsa",7.972,"AUSTRAITS_dataset_52"
"88","Alphitonia excelsa",7.57002271006813,"AUSTRAITS_dataset_43"
"91","Alphitonia excelsa",17.031,"AUSTRAITS_dataset_52"
"93","Alphitonia excelsa",9.897,"AUSTRAITS_dataset_8"
"98","Alphitonia excelsa",12.4069478908189,"AUSTRAITS_dataset_43"
"102","Alphitonia excelsa",9.44,"AUSTRAITS_dataset_32"
"405","Castanospermum australe",8.54700854700855,"AUSTRAITS_dataset_32"
"406","Castanospermum australe",8.5536,"AUSTRAITS_dataset_67"
"411","Castanospermum australe",16.8918918918919,"AUSTRAITS_dataset_32"
"412","Castanospermum australe",12.3053,"AUSTRAITS_dataset_32"
"413","Castanospermum australe",13.524,"AUSTRAITS_dataset_52"
"423","Castanospermum australe",22.6177949,"C. James SEQLD field data"
"424","Castanospermum australe",20.12522841,"C. James SEQLD field data"
"428","Casuarina cunninghamiana",3.724,"AUSTRAITS_dataset_8"
"431","Casuarina cunninghamiana",3.5164,"AUSTRAITS_dataset_32"
"439","Casuarina cunninghamiana",1.409440228,"Kyle_Hunter Plant Traits"
"443","Casuarina cunninghamiana",2.650923594,"C. James SEQLD field data"
"448","Cayratia clematidea",18.52,"AUSTRAITS_dataset_10"
"458","Cayratia clematidea",59.0667454223272,"Gallagher_field_workPHD"
"459","Cayratia clematidea",37.9218809252939,"Gallagher_field_workPHD"
"460","Cayratia clematidea",49.189,"Gallagher_field_workPHD"
"468","Cayratia clematidea",40.73803,"from raw data in Anna-Maria Llorens, Michelle R. Leishman. 2008. Climbing strategies determine light availability for both vines and associated structural hosts. Australian Journal of Botany 56, 527–534."
"471","Celtis sinensis",19.6618167518679,"http://www.sciencedirect.com/science/article/pii/S1146609X06000452"
"475","Celtis sinensis",23.86062757,"C. James SEQLD field data"
"476","Celtis sinensis",39.20672017,"C. James SEQLD field data"
"537","Cissus hypoglauca",12.16,"AUSTRAITS_dataset_3"
"538","Cissus hypoglauca",13.22,"AUSTRAITS_dataset_10"
"541","Cissus hypoglauca",8.528,"AUSTRAITS_dataset_8"
"560","Cissus hypoglauca",15.833,"AUSTRAITS_dataset_8"
"563","Cissus hypoglauca",26.6524520255863,"Gallagher_field_workPHD"
"564","Cissus hypoglauca",19.657951641439,"Gallagher_field_workPHD"
"565","Cissus hypoglauca",12.5078173858662,"Gallagher_field_workPHD"
"566","Cissus hypoglauca",12.0889748549323,"Gallagher_field_workPHD"
"567","Cissus hypoglauca",10.8260257659413,"Gallagher_field_workPHD"
"568","Cissus hypoglauca",12.18,"Gallagher_field_workPHD"
"593","Cleistanthus cunninghamii",12.618,"AUSTRAITS_dataset_28"
"595","Cleistanthus cunninghamii",11.409,"AUSTRAITS_dataset_28"
"596","Cleistanthus cunninghamii",11.487,"AUSTRAITS_dataset_28"
"597","Cleistanthus cunninghamii",12.3076923076923,"Gallagher_field_workPHD"
"598","Cleistanthus cunninghamii",23.39214106,"C. James SEQLD field data"
"599","Cleistanthus cunninghamii",19.15389699,"C. James SEQLD field data"
"600","Cleistanthus cunninghamii",20.56826249,"C. James SEQLD field data"
"603","Clematis aristata",30.88,"AUSTRAITS_dataset_10"
"613","Clematis aristata",30.771,"AUSTRAITS_dataset_8"
"616","Clematis aristata",13.294336612603,"Gallagher_field_workPHD"
"617","Clematis aristata",12.8155837498398,"Gallagher_field_workPHD"
"696","Cryptocarya triplinervis",10.673497705198,"Gallagher_field_workPHD"
"701","Cryptocarya triplinervis",20.90978699,"C. James SEQLD field data"
"702","Cryptocarya triplinervis",12.92571492,"C. James SEQLD field data"
"893","Elaeocarpus grandis",8.19672131147541,"AUSTRAITS_dataset_32"
"894","Elaeocarpus grandis",19.6078,"AUSTRAITS_dataset_32"
"1087","Ficus fraseri",22.428,"AUSTRAITS_dataset_28"
"1088","Ficus fraseri",9.902,"AUSTRAITS_dataset_28"
"1090","Ficus fraseri",14.414,"AUSTRAITS_dataset_28"
"1092","Ficus fraseri",10.891,"AUSTRAITS_dataset_28"
"1093","Ficus fraseri",18.3823529411765,"Gallagher_field_workPHD"
"1261","Glochidion ferdinandi",11.87,"AUSTRAITS_dataset_10"
"1263","Glochidion ferdinandi",11.869,"AUSTRAITS_dataset_52"
