"","Taxon","leaf.area","source"
"123","Aphananthe philippinensis",6,"AUSTRAITS_dataset_68"
"125","Aphananthe philippinensis",8.75,"AUSTRAITS_dataset_49"
"126","Aphananthe philippinensis",12.01,"Gallagher_field_workPHD"
"135","Aphananthe philippinensis",8.001142857,"C. James SEQLD field data"
"136","Aphananthe philippinensis",2.266,"C. James SEQLD field data"
"137","Aphananthe philippinensis",2.605,"C. James SEQLD field data"
"140","Araucaria cunninghamii",0.219,"AUSTRAITS_dataset_49"
"141","Araucaria cunninghamii",0.75,"AUSTRAITS_dataset_68"
"311","Calamus muelleri",21.95,"Gallagher_field_workPHD"
"312","Calamus muelleri",47.25,"AUSTRAITS_dataset_68"
"314","Calamus muelleri",90.56,"AUSTRAITS_dataset_68"
"315","Calamus muelleri",54.675,"AUSTRAITS_dataset_68"
"427","Casuarina cunninghamiana",0.019,"AUSTRAITS_dataset_29"
"428","Casuarina cunninghamiana",0.188,"AUSTRAITS_dataset_8"
"430","Casuarina cunninghamiana",0.19,"AUSTRAITS_dataset_68"
"443","Casuarina cunninghamiana",1.120625,"C. James SEQLD field data"
"471","Celtis sinensis",93.2,"http://www.sciencedirect.com/science/article/pii/S1146609X06000452"
"475","Celtis sinensis",10.7586,"C. James SEQLD field data"
"476","Celtis sinensis",8.276,"C. James SEQLD field data"
"603","Clematis aristata",9,"AUSTRAITS_dataset_10"
"607","Clematis aristata",10.5,"AUSTRAITS_dataset_49"
"608","Clematis aristata",24.31,"Gallagher_field_workPHD"
"609","Clematis aristata",24.312,"AUSTRAITS_dataset_68"
"610","Clematis aristata",34,"AUSTRAITS_dataset_68"
"613","Clematis aristata",34.07,"AUSTRAITS_dataset_8"
"615","Clematis aristata",49.66,"Gallagher_field_workPHD"
"683","Cryptocarya obovata",18,"AUSTRAITS_dataset_68"
"685","Cryptocarya obovata",18.9,"AUSTRAITS_dataset_49"
"689","Cryptocarya obovata",62.703,"C. James SEQLD field data"
"690","Cryptocarya obovata",71.423,"C. James SEQLD field data"
"691","Cryptocarya obovata",38.4326,"C. James SEQLD field data"
"758","Dioscorea transversa",8.03,"AUSTRAITS_dataset_68"
"759","Dioscorea transversa",8.035,"AUSTRAITS_dataset_8"
"760","Dioscorea transversa",12.777,"AUSTRAITS_dataset_8"
"761","Dioscorea transversa",12.78,"AUSTRAITS_dataset_68"
"762","Dioscorea transversa",15.65,"Gallagher_field_workPHD"
"763","Dioscorea transversa",17.12,"AUSTRAITS_dataset_68"
"765","Dioscorea transversa",20.78,"Gallagher_field_workPHD"
"766","Dioscorea transversa",26.03,"AUSTRAITS_dataset_68"
"768","Dioscorea transversa",28.33,"AUSTRAITS_dataset_68"
"771","Dioscorea transversa",32.13,"AUSTRAITS_dataset_68"
"773","Dioscorea transversa",44.1,"AUSTRAITS_dataset_49"
"974","Endiandra sieberi",9.1,"AUSTRAITS_dataset_49"
"975","Endiandra sieberi",21.61,"Gallagher_field_workPHD"
"1214","Geitonoplesium cymosum",1.54,"Gallagher_field_workPHD"
"1215","Geitonoplesium cymosum",2.209,"AUSTRAITS_dataset_8"
"1216","Geitonoplesium cymosum",2.21,"AUSTRAITS_dataset_68"
"1217","Geitonoplesium cymosum",2.55,"Gallagher_field_workPHD"
"1218","Geitonoplesium cymosum",2.82,"AUSTRAITS_dataset_10"
"1222","Geitonoplesium cymosum",3.02,"Gallagher_field_workPHD"
"1223","Geitonoplesium cymosum",3.98,"AUSTRAITS_dataset_68"
"1225","Geitonoplesium cymosum",5.6,"AUSTRAITS_dataset_68"
"1230","Geitonoplesium cymosum",5.61,"AUSTRAITS_dataset_68"
"1232","Geitonoplesium cymosum",6,"AUSTRAITS_dataset_68"
"1233","Geitonoplesium cymosum",6.01,"AUSTRAITS_dataset_68"
"1235","Geitonoplesium cymosum",9.04,"AUSTRAITS_dataset_68"
"1236","Geitonoplesium cymosum",9.041,"AUSTRAITS_dataset_8"
"1237","Geitonoplesium cymosum",9.713,"AUSTRAITS_dataset_49"
"1238","Geitonoplesium cymosum",9.8,"AUSTRAITS_dataset_68"
"1240","Geitonoplesium cymosum",11.51,"AUSTRAITS_dataset_68"
"1296","Grevillea robusta",1.155,"AUSTRAITS_dataset_49"
"1316","Grevillea robusta",116.052,"C. James SEQLD field data"
"1317","Grevillea robusta",30.65233333,"C. James SEQLD field data"
"1318","Grevillea robusta",28.242,"C. James SEQLD field data"
"1319","Grevillea robusta",43.236,"C. James SEQLD field data"
"1353","Helicia glabriflora",18.33,"AUSTRAITS_dataset_68"
"1354","Helicia glabriflora",19.25,"AUSTRAITS_dataset_49"
"1355","Helicia glabriflora",44.85,"Gallagher_field_workPHD"
"1497","Lomandra longifolia",8.158,"AUSTRAITS_dataset_8"
"1498","Lomandra longifolia",15.39,"AUSTRAITS_dataset_68"
"1499","Lomandra longifolia",19.54,"AUSTRAITS_dataset_68"
"1500","Lomandra longifolia",19.541,"AUSTRAITS_dataset_8"
"1501","Lomandra longifolia",23.385,"AUSTRAITS_dataset_8"
"1502","Lomandra longifolia",23.39,"AUSTRAITS_dataset_68"
"1503","Lomandra longifolia",28.125,"AUSTRAITS_dataset_8"
"1504","Lomandra longifolia",28.13,"AUSTRAITS_dataset_68"
"1505","Lomandra longifolia",61.33,"AUSTRAITS_dataset_10"
"1508","Lomandra longifolia",81.58,"AUSTRAITS_dataset_68"
"1509","Lomandra longifolia",83.809,"AUSTRAITS_dataset_8"
"1510","Lomandra longifolia",83.81,"AUSTRAITS_dataset_68"
"2748","Lomandra sp",8.158,"AUSTRAITS_dataset_8"
"2749","Lomandra sp",15.39,"AUSTRAITS_dataset_68"
"2750","Lomandra sp",19.54,"AUSTRAITS_dataset_68"
"2751","Lomandra sp",19.541,"AUSTRAITS_dataset_8"
"2752","Lomandra sp",23.385,"AUSTRAITS_dataset_8"
"2753","Lomandra sp",23.39,"AUSTRAITS_dataset_68"
"2754","Lomandra sp",28.125,"AUSTRAITS_dataset_8"
"2755","Lomandra sp",28.13,"AUSTRAITS_dataset_68"
"2756","Lomandra sp",61.33,"AUSTRAITS_dataset_10"
"2759","Lomandra sp",81.58,"AUSTRAITS_dataset_68"
"2760","Lomandra sp",83.809,"AUSTRAITS_dataset_8"
"2761","Lomandra sp",83.81,"AUSTRAITS_dataset_68"
"1678","Melodinus australis",10.5,"AUSTRAITS_dataset_68"
"1681","Melodinus australis",24.82,"AUSTRAITS_dataset_68"
"1695","Melodinus australis",49.613,"AUSTRAITS_dataset_49"
"1696","Melodinus australis",110.25,"AUSTRAITS_dataset_6"
"1809","Myrsine variabilis",4.03,"AUSTRAITS_dataset_68"
"1810","Myrsine variabilis",6.12,"Gallagher_field_workPHD"
"1811","Myrsine variabilis",8.67,"AUSTRAITS_dataset_68"
