"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","richness.chao",0,1,0,1,0,0
"value38","richness.ACE",1.18687085584074e-17,0.82797,5.64176141997599e-18,0.85592,1.15719908444473e-16,5.50071738447659e-17
"value37","richness.stand",9.36531528113871e-12,0.67311,8.36662421461941e-12,0.71184,7.30494591928819e-11,6.52596688740314e-11
"value36","leaf.area",0.0179848769584079,0.12616,0.00727782391326681,0.21348,0.0226261355283197,0.00886984789429392
"value35","seed.mass",0.202285697449832,0.038414,0.00399883093677174,0.23613,0.219142838903984,0.0053777381563482
"value34","exotics",0.00454676168178925,0.17631,0.00614234710793538,0.21997,0.00656754465147336,0.00772746894224129
"value33","richness",1.49016924927028e-43,0.98991,9.90260568400363e-42,0.99,2.90583003607705e-42,1.93100810838071e-40
"value32","redun",4.68022434683368e-05,0.32912,3.67724391825108e-07,0.51457,9.60677629086913e-05,1.7926564101474e-06
"value31","simpson",0.000660893329826893,0.24371,2.8563828148656e-07,0.52052,0.00117158363014767,1.59141328256797e-06
"value30","nbsp",2.60264205545815e-32,0.9654,2.86423955237321e-31,0.96763,3.3834346720956e-31,3.72351141808518e-30
"value29","FRic",3.39164790827822e-11,0.65269,2.60011740930799e-11,0.69545,2.20457114038084e-10,1.69007631605019e-10
"value28","M_MaxM",0.00367234440407588,0.18396,0.00123008824281736,0.27882,0.00550851660611382,0.00199889339457822
"value27","M_MinM",0.014410162319932,0.13432,0.0380555475332306,0.14739,0.0187332110159115,0.0390570093104209
"value26","M_MDFM",0.0246592123817471,0.1145,0.00148811666190754,0.27209,0.0282855671437688,0.00223591963125252
"value25","CVAnnBFI",0.0221415969757152,0.11848,0.0452583193884942,0.14015,0.0261673418803907,0.0452583193884942
"value24","CVAnnHSPeak",0.963464724298575,5.0554e-05,0.0231711373775985,0.16777,0.963464724298575,0.0251020654923984
"value23","HSMeanDur",0.493944113970803,0.011211,0.00880512894232614,0.20614,0.506942643285825,0.0104060614772945
"value22","soil_soc",0.00116462522601758,0.22433,0.0046543414958513,0.23045,0.00197479929629067,0.00605064394460668
"value21","soil_slt",0.0104286323841463,0.14618,0.0256848278289513,0.16358,0.0140247125166105,0.0270731969007865
"value20","soil_phc",3.99265958060597e-06,0.40082,2.58266994322296e-05,0.40269,1.19779787418179e-05,6.29525798660597e-05
"value19","soil_ece",2.81779450565829e-06,0.41038,1.91265819348316e-05,0.41138,9.15783214338944e-06,5.32811925327452e-05
"value18","soil_bdw",0.00343590349623746,0.18634,0.0141958683688979,0.18743,0.00536000945413043,0.0158182533253434
"value17","soil_awc",0.000403164360251982,0.2603,0.00203905570554895,0.26082,0.000748733811896538,0.00294530268579293
"value16","clim_tsea",5.07936742305716e-06,0.39413,3.15125669157748e-05,0.39687,1.36727105211998e-05,7.2293535865601e-05
"value15","clim_trng",5.25873481584608e-06,0.39316,3.56657252324825e-05,0.39321,1.36727105211998e-05,7.32085938982536e-05
"value14","clim_tmin",0.000398245324316353,0.26071,0.00114263232241015,0.28141,0.000748733811896538,0.00193750698147808
"value13","clim_tmax",0.00259913769037355,0.19626,0.0110700028201637,0.19723,0.00422359874685702,0.0126979444113643
"value12","clim_tdry",0.0191025313713357,0.12393,0.00072863346006556,0.29701,0.0232812101088154,0.00135317642583604
"value11","clim_tcld",0.00868918100537915,0.15285,0.00112844080857775,0.28184,0.012102787828921,0.00193750698147808
"value10","clim_tavg",0.194322653854796,0.039774,0.00149061308750168,0.27203,0.216530957152487,0.00223591963125252
"value9","clim_pwrm",3.56771728890353e-07,0.46422,1.97757508939269e-06,0.47306,1.73926217834047e-06,7.71254284863148e-06
"value8","clim_pwmt",1.75394563169144e-07,0.48161,8.74677546797736e-07,0.49362,9.77198280513804e-07,3.79026936945685e-06
"value7","clim_pwet",6.3430971865014e-07,0.44971,2.87804415030838e-06,0.46332,2.74867544748394e-06,1.02039747147297e-05
"value6","clim_prec",9.46759116567027e-07,0.4394,4.821624997226e-06,0.44964,3.69236055461141e-06,1.56702812409845e-05
"value5","clim_pdry",7.17033582397438e-06,0.38443,2.55100522391356e-05,0.40305,1.55835307454109e-05,6.29525798660597e-05
"value4","clim_pdmt",7.19239880557425e-06,0.38434,3.50552023128367e-05,0.39372,1.55835307454109e-05,7.32085938982536e-05
"value3","clim_pcld",2.01827902715897e-06,0.41941,7.66297177898652e-06,0.43706,7.15571655083636e-06,2.29889153369596e-05
"value2","clim_dnrg",6.87128091194325e-06,0.38564,4.32572299158742e-05,0.38747,1.55835307454109e-05,8.43515983359548e-05
"value1","site",0.252337811368991,0.031077,0.00250425897723812,0.25337,0.265977693064612,0.00348807500401024
