"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","g2",0,1,0,1,0,0
"value12","wood.density",0.00142226980872766,0.21741,0.00195147506395847,0.2624,0.00462237687836488,0.00634229395786503
"value11","flowering.duration",8.39307396093495e-08,0.4991,9.81308838550922e-08,0.54487,5.45549807460772e-07,6.37850745058099e-07
"value10","SLA",1.29812138004023e-05,0.36739,5.09355130076741e-07,0.5068,5.62519264684101e-05,2.20720556366588e-06
"value9","exotics",0.0188257534972445,0.12447,0.0355119030177379,0.15026,0.0349621136377397,0.0418827771342799
"value8","FunRao",0.00362340692765241,0.18444,0.00504690536889419,0.2274,0.00942085801189627,0.0131219539591249
"value7","simpson",0.104512197577512,0.061519,0.031019152832111,0.15585,0.104512197577512,0.0418827771342799
"value6","FDiv",0.0855354907429863,0.068752,0.0361027340983649,0.14957,0.0926634483049018,0.0418827771342799
"value5","FDis",0.0314985668368682,0.10545,0.0162345495332618,0.18209,0.0461655641074858,0.0351748573220673
"value4","site",0.0152075200164137,0.13234,0.0386610250470276,0.14673,0.0329496267022297,0.0418827771342799
"value3","C_MinM",0.0639089059281947,0.07938,0.0468458244780184,0.1387,0.0755287070060483,0.0468458244780184
"value2","C_MDFM",0.0345105531833423,0.10208,0.028755529481601,0.15896,0.0461655641074858,0.0418827771342799
"value1","CVAnnLSMeanDur",0.0355119723903737,0.10102,0.0249245470917525,0.16481,0.0461655641074858,0.0418827771342799
