"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","production_irrigated_w",0.00147555440507739,0.23621,0.00596947813993408,0.24181,0.00501688497726314,0.0126851410473599
"value16","M_MaxM.y",0.014262953357629,0.14794,0.0357011716642299,0.16485,0.0236054700925761,0.0379324948932443
"value15","M_MinM.y",0.000784074920936711,0.25965,0.00257888119812515,0.27543,0.00333231841398102,0.00730683006135458
"value14","maximum.height",0.651777886891244,0.0054159,0.0462293972129883,0.1531,0.657548236076255,0.0462293972129883
"value13","seed.mass",0.657548236076255,0.0052262,0.0329380729331779,0.16847,0.657548236076255,0.037329815990935
"value12","richness",1.81348703089045e-05,0.3872,1.32027109343898e-06,0.51894,0.000102764265083792,7.4815361961542e-06
"value11","nbsp",1.60167871498475e-10,0.66354,2.8934350009668e-11,0.73063,1.36142690773703e-09,2.45941975082178e-10
"value10","FRic",8.26838155681169e-26,0.94677,3.69655706385512e-39,0.99163,1.40562486465799e-24,6.2841470085537e-38
"value9","CVAnnHSPeak.x",0.493242751037464,0.012439,0.00776590079549452,0.23095,0.559008451175792,0.0132020313523407
"value8","CV.x",0.328185808921036,0.025169,0.0282081122439612,0.17541,0.398511339404116,0.0358570652979624
"value7","soil_phc",0.00576290772112857,0.1839,0.00526502452915935,0.24694,0.0147428023038245,0.0126851410473599
"value6","clim_tsea",0.0118130840442774,0.15548,0.0233569040824835,0.18378,0.0223136031947462,0.033088947450185
"value5","clim_tcld",0.0780911404709527,0.079431,0.0295293478924396,0.17337,0.102119183692784,0.0358570652979624
"value4","clim_pwet",0.0166975542221475,0.14162,0.0130791024435728,0.20897,0.0236548684813756,0.0202131583218853
"value3","clim_pdry",0.015274127706961,0.14519,0.00714953071443608,0.23438,0.0236054700925761,0.0132020313523407
"value2","site",0.00921319687203688,0.16538,0.00117147590470293,0.30569,0.0195780433530784,0.00497877259498746
"value1","X",0.00607056565451596,0.18186,0.00151586048195741,0.29595,0.0147428023038245,0.00515392563865519
