Taxon,flowering.onset,flowering.end,flowering.duration,source
Acacia bakeri,9,11,3,NSW flora online 
Acacia fimbriata,7,11,5,NSW flora online 
Acmena smithii,11,2,4,NSW flora online 
Acronychia oblongifolia,3,4,2,NSW flora online 
Alangium polyosmoides,10,4,6,NSW flora online 
Alphitonia excelsa,12,4,,"AUSTRAITS_dataset_56, AUSTRAITS_dataset _24"
Alyxia ruscifolia,9,5,9,NSW flora online 
Archidendron muellerianum,11,12,2,NSW flora online 
Archirhodomyrtus beckleri,9,11,3,NSW flora online 
Argophyllum nullumense,12,1,1,NSW flora online 
Atractocarpus chartaceus,8,11,4,NSW flora online 
Auranticarpa rhombifolia,9,2,6,NSW flora online 
Backhousia myrtifolia,11,1,3,"NSW flora online, AUSTRAITS_dataset_24"
Breynia oblongifolia,10,12,3,AUSTRAITS_dataset_24
Bursaria incana,2,4,3,AUSTRAITS_dataset_29
Calamus muelleri,12,2,3,NSW flora online 
Callerya megasperma,9,11,3,NSW flora online 
Callistemon salignus,9,11,3,NSW flora online 
Callistemon viminalis,9,3,7,NSW flora online 
Capparis arborea,12,2,3,NSW flora online 
Carex appressa,9,12,4,NSW flora online 
Carissa ovata,12,2,3,NSW flora online 
Castanospermum australe,9,11,3,NSW flora online 
Casuarina cunninghamiana,1,12,12,AUSTRAITS_dataset_24
Cayratia clematidea,12,2,3,NSW flora online 
Cestrum nocturnum,9,2,6,NSW flora online 
Cissus antarctica,9,5,9,NSW flora online 
Cissus hypoglauca,9,2,6,NSW flora online 
Citronella moorei,5,9,5,NSW flora online 
Clematis aristata,9,12,4,NSW flora online 
Clerodendrum floribundum,8,12,5,NSW flora online 
Cryptocarya glaucescens,10,11,2,AUSTRAITS_dataset_24
Cupaniopsis anacardioides,6,9,4,"AUSTRAITS_dataset_56, NSW flora online"
Derris involuta,9,2,6,NSW flora online 
Dioscorea transversa,9,11,3,NSW flora online 
Diploglottis australis,10,12,3,NSW flora online 
Drypetes deplanchei,9,11,3,AUSTRAITS_dataset_29
Elaeocarpus grandis,3,5,3,NSW flora online 
Elaeocarpus obovatus,9,11,3,NSW flora online 
Embelia australiana,11,11,1,NSW flora online 
Endiandra sieberi,6,10,5,AUSTRAITS_dataset_24
Eupomatia bennettii,9,11,3,NSW flora online 
Eupomatia laurina,12,2,3,NSW flora online 
Ficus coronata,1,12,12,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
Flagellaria indica,1,12,12,AUSTRAITS_dataset_56
Flindersia schottiana,11,12,2,NSW flora online 
Geitonoplesium cymosum,9,2,6,NSW flora online 
Glochidion ferdinandi,1,12,12,Wikipedia
Grevillea robusta,9,11,3,NSW flora online 
Guioa semiglauca,9,11,3,NSW flora online 
Hicksbeachia pinnatifolia,6,8,3,NSW flora online 
Hippocratea barbata,12,1,2,NSW flora online 
Hodgkinsonia ovatiflora,11,1,3,NSW flora online 
Hymenosporum flavum,9,11,3,NSW flora online 
Ipomoea cairica,1,3,3,NSW flora online 
Ixora beckleri,11,2,4,NSW flora online 
Lantana camara,1,2,2,NSW flora online 
Legnephora moorei,12,2,3,NSW flora online 
Leucaena leucocephala,12,2,3,NSW flora online 
Ligustrum lucidum,9,2,6,NSW flora online 
Ligustrum sinense,7,11,5,NSW flora online 
Lomandra longifolia,8,12,5,AUSTRAITS_dataset_24
Lophostemon confertus,10,12,3,NSW flora online 
Lophostemon suaveolens,10,12,3,NSW flora online 
Macadamia tetraphylla,8,10,3,NSW flora online 
Mallotus philippensis,1,11,11,AUSTRAITS_dataset_29
Marsdenia rostrata,9,2,6,NSW flora online 
Medicosma cunninghamii,1,12,12,NSW flora online 
Melaleuca bracteata,9,11,3,NSW flora online 
Melaleuca quinquenervia,2,8,7,"AUSTRAITS_dataset_24, NSW flora online"
Melia azedarach,9,12,4,"AUSTRAITS_dataset_24, NSW flora online"
Melodinus australis,12,5,6,NSW flora online 
Micromelum minutum,1,12,12,AUSTRAITS_dataset_56
Micromelum minutum,9,5,9,NSW flora online 
Morinda jasminoides,9,2,7,NSW flora online 
Myrsine variabilis,5,9,5,PlantNET
Neolitsea dealbata,3,5,3,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
Notelaea longifolia,4,10,7,NSW flora online 
Notelaea microcarpa,6,12,7,NSW flora online 
Olea paniculata,10,12,3,NSW flora online 
Pandorea pandorana,6,12,7,NSW flora online 
Pararchidendron pruinosum,10,1,4,NSW flora online 
Parsonsia straminea,11,3,5,"AUSTRAITS_dataset_24, NSW flora online"
Passiflora edulis,7,11,5,http://www.hort.purdue.edu/newcrop/morton/passionfruit.html
Pavetta australiensis,9,11,3,NSW flora online 
