"","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM","regulation","site","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area"
"27",4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,1,0.146877152084244,0.704274551100771,0.0383571746298913,0.667554351061949,0.0271628202760947,32,0.85643209409892,0.403294596881754,0.453137497217166,37,0.0596750241505878,1.18712375147382,1.57945385706432,4.45122056501175,2.29331731936092,0.588652532810039,4.73429114684588
"35",5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,2,0.203871900282276,0.915486817320136,0.00249383649890603,0.686032185631358,0.0461619633886562,14,0.855084874154803,0.468013515012652,0.387071359142151,16,0.179701379562486,0.997383288025409,0.19834856891282,3.98595230999975,2.33142960125199,0.675410829690186,2.9795147918984
"36",5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,3,0.182734219338181,0.82160069266959,0.00836630285332422,0.628007787518358,0.037841371890562,16,0.849716770663628,0.438147057708964,0.411569712954664,17,0.25933873323705,1.23987260504065,0.985117240973407,4.28207610944405,2.23628484952137,0.630311401014345,4.30724242433956
"30",2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,4,0.214274190671247,0.919466800810316,0.0634752115397422,0.527905898500826,0.0466153561468773,26,0.86552561685257,0.478295390073992,0.387230226778577,29,0.226968726300114,1.14441856398174,1.02540479169829,3.30366439254933,2.58700361124864,0.553920202132101,5.65113410911481
"42",6.033,15.121,1.963,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,2,0.788,0.85,0.407,0.092796227,19.2,9.606,0.376,0.348,0.474,0.958458569,0.394716907,0.948,1.092,0.228,0.341,17.16385651,57.61155096,145.1138357,0.08,0.091,0.063,0.084,0.25,0.08,0.03225678,5,0.12496033338159,0.574532617808889,0.0098188722422768,0.627703405017147,0.0246072190028763,15,0.508203285843499,0.279085045621744,0.229118240221755,19,0.0754987839676196,1.03822026962846,1.26646980337987,1.53797095032934,2.2558587175005,0.634577348826714,3.96815036833046
"29",2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,6,0.212666974112534,0.892149616107366,0.110321379914978,0.574711939467818,0.0459272651949593,29,0.835466749103242,0.471244310745355,0.364222438357887,38,0.175001566710535,1.18527532617391,0.952926062225772,2.90200412350428,2.49616435248056,0.532432787492509,6.00093093911799
"32",7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,7,0.155721858249215,0.627663551668273,0.000193178681494199,0.583278078484412,0.0309442263059025,8,0.663949877380024,0.359140208487523,0.304809668892501,9,0.800886898903079,1.13526765432891,0.862123800147198,3.12855981512907,2.44643960537813,0.542588087502374,2.89782153690347
"31",7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,8,0.112146365869113,0.833872698698457,0.0709300375505618,0.577478419935156,0.022822044864275,24,0.392029669784035,0.222211288096619,0.169818381687416,27,0.809950226744829,1.36145810401885,1.3532212595334,3.61327841407138,3.20223817313211,0.575907321753565,5.69556595645421
"9",12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,9,0.204322505655195,0.878276457266169,0.160866967832277,0.580321122741788,0.0436178459968485,42,0.931604573169762,0.493154358241737,0.438450214928024,48,0.272795580661861,1.16011999326376,1.37317726565327,2.71304890906265,2.33797562127739,0.55295013273923,4.67826106958103
"17",1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,10,0.204434969740315,0.827560559739164,0.122273025973573,0.554073912670667,0.0438468587960229,32,0.872952208241837,0.473249794898722,0.399702413343115,35,0.259097917661057,1.21922799463027,1.21926117787251,3.4995477420472,2.46412267919693,0.558676811993599,4.63387094624538
