"","raw","imputed"
"1",3,3.31739880952381
"2",5,5.3445
"3",4,3.78306666666667
"4",2,4.331
"5",NA,5.06623809523809
"6",6,5.87633333333333
"7",4,3.79573484848485
"8",5,3.66933333333333
"9",9,5.3225
"10",3,4.97283333333333
"11",3,5.6114
"12",3,4.72166666666667
"13",3,3.65680833333333
"14",6,5.884
"15",2,3.56633333333333
"16",NA,3.34171428571429
"17",NA,4.29876666666667
"18",6,3.46235
"19",3,3.51921428571429
"20",2,3.47725
"21",3,4.3085
"22",3,5.49966666666667
"23",3,5.00683333333333
"24",3,4.74225
"25",3,4.796
"26",7,5.57483333333333
"27",NA,3.59903333333333
"28",3,5.6645
"29",6,4.81443333333333
"30",4,4.871
"31",4,4.807
"32",3,5.855
"33",NA,4.694
"34",3,3.11933333333333
"35",12,4.95416666666667
"36",3,5.314
"37",12,4.50633333333333
"38",6,5.2148196969697
"39",2,3.4525
"40",9,5.703
"41",6,4.18183333333333
"42",5,3.02692380952381
"43",2,4.60451666666667
"44",4,5.562
"45",5,3.83508333333333
"46",3,4.448
"47",3,3.9568
"48",2,3.22615
"49",3,4.85283333333333
"50",3,3.30141666666667
"51",4,3.26766666666667
"52",4,4.4955
"53",5,5.143
"54",5,5.081
"55",4,3.343
"56",6,6.4885
"57",6,5.238
"58",3,5.345
"59",NA,3.91727142857143
"60",4,5.9894
"61",3,3.21818333333333
"62",4,4.20433333333333
"63",3,3.35063333333333
"64",3,3.72233333333333
"65",NA,6.07433333333333
"66",3,4.20505
"67",3,3.97466060606061
"68",9,5.14823333333333
"69",5,3.0075
"70",1,5.65683333333333
"71",2,3.75566666666667
"72",NA,3.68592857142857
"73",3,3.47767142857143
"74",5,2.94125
"75",7,5.061
"76",3,4.944
"77",NA,4.10536666666667
"78",12,6.14233333333333
"79",NA,7.23739285714286
"80",NA,6.03633333333333
"81",NA,5.0915
"82",NA,6.4995
"83",NA,6.94211111111111
"84",NA,5.25260714285714
"85",12,6.093
"86",2,4.02933333333333
"87",6,4.851
"88",12,3.56613333333333
"89",3,3.96633333333333
"90",3,3.69355833333333
"91",NA,3.36108333333333
"92",2,6.463
"93",3,3.69375
"94",3,5.829
"95",4,4.19716666666667
"96",3,7.1135
"97",2,5.459
"98",3,5.815
"99",3,5.4745
"100",6,5.1245
"101",5,4.923
"102",6,4.861
"103",5,5.223
"104",5,5.123
"105",3,3.77503333333333
"106",3,5.885
"107",3,4.79258333333333
"108",4,6.2295
"109",NA,6.1235
"110",6,5.954
"111",11,6.316
"112",6,6.8735
"113",3,4.23783333333333
"114",7,4.95483333333333
"115",3,4.03025
"116",4,5.41443333333333
"117",12,4.62125
"118",NA,3.6765
"119",7,5.52592857142857
"120",5,4.169
"121",3,3.62025
"122",7,4.8892
"123",7,4.35366666666667
"124",6,6.114
"125",3,4.39955
"126",7,5.90413333333333
"127",4,5.803
"128",5,6.38096666666667
"129",5,5.4
"130",3,5.4396
"131",6,4.48266666666667
"132",4,3.5
"133",4,3.65611190476191
"134",5,3.48833333333333
"135",2,6.39466666666667
"136",3,3.82666666666667
"137",3,8.88000833333333
"138",3,4.45642857142857
"139",4,3.53366666666667
"140",4,4.16
"141",2,3.77673333333333
"142",3,3.162
"143",3,4.86191666666667
"144",5,4.882
"145",6,5.227
"146",12,6.8415
"147",4,3.55463571428571
"148",5,4.00116666666667
"149",6,5.922
"150",12,5.0765
"151",9,5.39366666666667
"152",6,3.09560238095238
"153",3,3.49033333333333
"154",6,5.764
"155",9,6.54
"156",6,5.92875
"157",3,5.98165
"158",9,5.39126666666667
"159",3,3.82802857142857
"160",3,3.36925
"161",2,2.996
"162",3,3.8045
"163",10,3.49685714285714
"164",6,6.07035
"165",6,8.4415
"166",6,6.1277
"167",3,3.36516666666667
"168",4,6.91186666666667
"169",4,6.37
"170",2,4.39775
"171",12,3.0112
"172",2,5.09441666666667
"173",3,4.406
"174",NA,5.2798
