"","Taxon","maximum.height","source"
"19","Aristolochia elegans",3,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=wa&s=&region=ck&card=V14"
"31","Calamus muelleri",10,"NSW flora Online"
"37","Capparis velutina",15,"AUSTRAITS_dataset_49"
"38","Cardiospermum grandiflorum",10,"NSW flora online"
"42","Carronia multisepalea",15,"AUSTRAITS_dataset_49"
"46","Cayratia clematidea",2,"AUSTRAITS_dataset_10"
"50","Cissus antarctica",2,"AUSTRAITS_dataset_8"
"51","Cissus hypoglauca",15,"AUSTRAITS_dataset_8"
"54","Clematis aristata",8,"AUSTRAITS_dataset_8"
"73","Derris involuta",20,"NSW flora online"
"74","Desmodium spp",1.5,"NSW flora online"
"75","Dioscorea transversa",1.5,"AUSTRAITS_dataset_8"
"106","Flagellaria indica",2,"AUSTRAITS_dataset_52"
"108","Geitonoplesium cymosum",3,"AUSTRAITS_dataset_10"
"114","Hippocratea barbata",1.3,"AUSTRAITS_dataset_8"
"131","Maclura cochinchinensis",15,"AUSTRAITS_dataset_49"
"135","Marsdenia rostrata",1.8,"AUSTRAITS_dataset_8"
"145","Morinda jasminoides",20,"AUSTRAITS_dataset_8"
"153","Pandorea pandorana",1.6,"AUSTRAITS_dataset_8"
"155","Parsonsia straminea",17,"AUSTRAITS_dataset_8"
"156","Passiflora edulis",5,"AUSTRAITS_dataset_10"
"177","Ripogonum spp",15,"NSW flora online"
"178","Rubus rosifolius",1,"AUSTRAITS_dataset_8"
"187","Smilax australis",4,"AUSTRAITS_dataset_8"
"189","Stephania japonica",1,"J. Lawson fieldwork"
