"","X1","X2"
"1","Acacia.bakeri","Acacia.bakeri"
"2","Acacia.fimbriata","Acacia.fimbriata"
"3","Acronychia.oblongifolia","Acmena.smithii"
"4","Ailanthus.triphysa","Acronychia.oblongifolia"
"5","Alangium.villosum","Ailanthus.triphysa"
"6","Alchornea.ilicifolia","Alangium.polyosmoides"
"7","Alectryon.tomentosus","Alangium.villosum"
"8","Alphitonia.excelsa","Alchornea.ilicifolia"
"9","Alyxia.ruscifolia","Alectryon.tomentosus"
"10","Aphananthe.philippinensis","Alphitonia.excelsa"
"11","Araucaria.cunninghamii","Alyxia.ruscifolia"
"12","Archidendron.muellerianum","Aphananthe.philippinensis"
"13","Archirhodomyrtus.beckleri","Araucaria.cunninghamii"
"14","Ardisia.crenata","Archidendron.muellerianum"
"15","Argophyllum.nullumense","Archirhodomyrtus.beckleri"
"16","Aristolochia.elegans","Ardisia.crenata"
"17","Arytera.distylis","Argophyllum.nullumense"
"18","Arytera.divaricata","Aristolochia.elegans"
"19","Atalaya.salicifolia","Arytera.distylis"
"20","Atractocarpus.chartaceus","Arytera.divaricata"
"21","Auranticarpa.rhombifolia","Atalaya.salicifolia"
"22","Backhousia.myrtifolia","Atractocarpus.chartaceus"
"23","Beilschmiedia.obtusifolia","Auranticarpa.rhombifolia"
"24","Breynia.oblongifolia","Backhousia.myrtifolia"
"25","Bridelia.exaltata","Beilschmiedia.obtusifolia"
"26","Bridelia.leichhardtii","Breynia.oblongifolia"
"27","Bursaria.incana","Bridelia.exaltata"
"28","Calamus.muelleri","Bridelia.leichhardtii"
"29","Callistemon.salignus","Bursaria.incana"
"30","Callistemon.viminalis","Calamus.muelleri"
"31","Canarium.australasicum","Callerya.megasperma"
"32","Capparis.arborea","Callistemon.salignus"
"33","Capparis.velutina","Callistemon.viminalis"
"34","Carex.appressa","Canarium.australasicum"
"35","Carissa.ovata","Capparis.arborea"
"36","Castanospermum.australe","Capparis.velutina"
"37","Casuarina.cunninghamiana","Carex.appressa"
"38","Casuarina.littoralis","Carissa.ovata"
"39","Cayratia.clematidea","Carronia.multisepala"
"40","Celtis.sinensis","Castanospermum.australe"
"41","Cestrum.nocturnum","Casuarina.cunninghamiana"
"42","Cinnamomum.camphora","Casuarina.littoralis"
"43","Cinnamomum.oliveri","Cayratia.clematidea"
"44","Cissus.antarctica","Celtis.sinensis"
"45","Cissus.hypoglauca","Cestrum.nocturnum"
"46","Citronella.moorei","Cinnamomum.camphora"
"47","Cleistanthus.cunninghamii","Cinnamomum.oliveri"
"48","Clematis.aristata","Cissus.antarctica"
"49","Clerodendrum.floribundum","Cissus.hypoglauca"
"50","Commersonia.bartramia","Citronella.moorei"
"51","Croton.acronychioides","Cleistanthus.cunninghamii"
"52","Cryptocarya.bidwillii","Clematis.aristata"
"53","Cryptocarya.glaucescens","Clerodendrum.floribundum"
"54","Cryptocarya.laevigata","Commersonia.bartramia"
"55","Cryptocarya.macdonaldii","Croton.acronychioides"
"56","Cryptocarya.obovata","Cryptocarya.bidwillii"
"57","Cryptocarya.sclerophylla","Cryptocarya.glaucescens"
"58","Cryptocarya.triplinervis","Cryptocarya.laevigata"
"59","Cupaniopsis.anacardioides","Cryptocarya.macdonaldii"
"60","Cupaniopsis.newmanii","Cryptocarya.obovata"
"61","Cupaniopsis.serrata","Cryptocarya.sclerophylla"
"62","Cyclophyllum.coprosmoides","Cryptocarya.triplinervis"
"63","Cyperus.involucratus","Cupaniopsis.anacardioides"
"64","Daphnandra.apatela","Cupaniopsis.newmanii"
"65","Daphnandra.tenuipes","Cupaniopsis.serrata"
"66","Derris.involuta","Cyclophyllum.coprosmoides"
"67","Dioscorea.transversa","Cyperus.involucratus"
"68","Diospyros.australis","Daphnandra.apatela"
"69","Diospyros.ellipticifolia","Daphnandra.tenuipes"
"70","Diospyros.fasciculosa","Derris.involuta"
"71","Diospyros.geminata","Dioscorea.transversa"
"72","Diospyros.pentamera","Diospyros.australis"
"73","Diploglottis.australis","Diospyros.ellipticifolia"
"74","Dissiliaria.baloghioides","Diospyros.fasciculosa"
"75","Drypetes.deplanchei","Diospyros.geminata"
"76","Dysoxylum.rufum","Diospyros.pentamera"
"77","Elaeagnus.triflora","Diploglottis.australis"
"78","Elaeocarpus.grandis","Dissiliaria.baloghioides"
"79","Elaeocarpus.obovatus","Drypetes.deplanchei"
"80","Elattostachys.nervosa","Dysoxylum.rufum"
"81","Elattostachys.xylocarpa","Elaeagnus.triflora"
"82","Endiandra.discolor","Elaeocarpus.grandis"
"83","Endiandra.globosa","Elaeocarpus.obovatus"
"84","Endiandra.pubens","Elattostachys.nervosa"
"85","Endiandra.sieberi","Elattostachys.xylocarpa"
"86","Endiandra.virens","Embelia.australiana"
"87","Erythrina.species..croftby.","Endiandra.discolor"
"88","Eugenia.uniflora","Endiandra.globosa"
"89","Eupomatia.bennettii","Endiandra.pubens"
"90","Eupomatia.laurina","Endiandra.sieberi"
"91","Euroschinus.falcatus","Endiandra.virens"
"92","Ficus.coronata","Erythrina.species..croftby."
"93","Ficus.fraseri","Eugenia.uniflora"
"94","Ficus.obliqua","Eupomatia.bennettii"
"95","Ficus.opposita","Eupomatia.laurina"
"96","Ficus.racemosa","Euroschinus.falcatus"
"97","Ficus.virens","Ficus.coronata"
"98","Ficus.watkinsiana","Ficus.fraseri"
"99","Flagellaria.indica","Ficus.obliqua"
"100","Flindersia.schottiana","Ficus.opposita"
"101","Geitonoplesium.cymosum","Ficus.racemosa"
"102","Glochidion.ferdinandi","Ficus.virens"
"103","Grevillea.robusta","Ficus.watkinsiana"
"104","Guioa.semiglauca","Flagellaria.indica"
"105","Helicia.glabriflora","Flindersia.schottiana"
"106","Heritiera.trifoliolata","Geitonoplesium.cymosum"
"107","Hibiscus.heterophyllus","Glochidion.ferdinandi"
"108","Hicksbeachia.pinnatifolia","Grevillea.robusta"
"109","Hippocratea.barbata","Guioa.semiglauca"
"110","Hodgkinsonia.ovatiflora","Helicia.glabriflora"
"111","Ipomoea.cairica","Heritiera.trifoliolata"
"112","Ixora.beckleri","Hibiscus.heterophyllus"
"113","Jacaranda.mimosifolia","Hicksbeachia.pinnatifolia"
"114","Jagera.pseudorhus","Hippocratea.barbata"
"115","Lantana.camara","Hodgkinsonia.ovatiflora"
"116","Legnephora.moorei","Hymenosporum.flavum"
"117","Lepiderema.pulchella","Ipomoea.cairica"
"118","Leucaena.leucocephala","Ixora.beckleri"
"119","Ligustrum.lucidum","Jacaranda.mimosifolia"
"120","Ligustrum.sinense","Jagera.pseudorhus"
"121","Lomandra.longifolia","Lantana.camara"
"122","Lophostemon.confertus","Legnephora.moorei"
"123","Lophostemon.suaveolens","Lepiderema.pulchella"
"124","Macadamia.tetraphylla","Leucaena.leucocephala"
"125","Maclura.cochinchinensis","Ligustrum.lucidum"
"126","Mallotus.claoxyloides","Ligustrum.sinense"
"127","Mallotus.discolor","Lomandra.longifolia"
"128","Mallotus.philippensis","Lophostemon.confertus"
"129","Marsdenia.rostrata","Lophostemon.suaveolens"
"130","Medicosma.cunninghamii","Macadamia.tetraphylla"
"131","Melaleuca.bracteata","Maclura.cochinchinensis"
"132","Melaleuca.quinquenervia","Mallotus.claoxyloides"
"133","Melia.azedarach","Mallotus.discolor"
"134","Melodinus.australis","Mallotus.philippensis"
"135","Melodorum.leichhardtii","Marsdenia.rostrata"
"136","Micromelum.minutum","Medicosma.cunninghamii"
"137","Mischarytera.lautereriana","Melaleuca.bracteata"
"138","Mischocarpus.australis","Melaleuca.quinquenervia"
"139","Mischocarpus.pyriformis","Melia.azedarach"
"140","Morinda.jasminoides","Melodinus.australis"
"141","Myrsine.variabilis","Melodorum.leichhardtii"
"142","Neolitsea.dealbata","Micromelum.minutum"
"143","Notelaea.longifolia","Mischarytera.lautereriana"
"144","Notelaea.microcarpa","Mischocarpus.australis"
"145","Ochna.serrulata","Mischocarpus.pyriformis"
"146","Olea.paniculata","Morinda.jasminoides"
"147","Pandorea.pandorana","Myrsine.variabilis"
"148","Pararchidendron.pruinosum","Neolitsea.dealbata"
"149","Parsonsia.straminea","Notelaea.longifolia"
"150","Passiflora.edulis","Notelaea.microcarpa"
"151","Passiflora.suberosa","Ochna.serrulata"
"152","Passiflora.subpeltata","Olea.paniculata"
"153","Pavetta.australiensis","Pandorea.pandorana"
"154","Phyllanthus.microcladus","Pararchidendron.pruinosum"
"155","Piper.hederaceum","Parsonsia.straminea"
"156","Pittosporum.multiflorum","Passiflora.edulis"
"157","Pittosporum.undulatum","Passiflora.suberosa"
"158","Planchonella.australis","Passiflora.subpeltata"
"159","Pleurostylia.opposita","Pavetta.australiensis"
"160","Polyscias.elegans","Phyllanthus.microcladus"
"161","Pothos.longipes","Pilidiostigma.rhytispermum"
"162","Pouteria.queenslandica","Piper.hederaceum"
"163","Pseudoweinmannia.lachnocarpa","Pittosporum.multiflorum"
"164","Psychotria.daphnoides","Pittosporum.undulatum"
"165","Psychotria.loniceroides","Planchonella.australis"
"166","Psychotria.spp...shute.harbour.","Pleurostylia.opposita"
"167","Psydrax.odorata","Polyscias.elegans"
"168","Pteridium.esculentum","Pothos.longipes"
"169","Rhodamnia.argentea","Pouteria.queenslandica"
"170","Rhodamnia.rubescens","Pseudoweinmannia.lachnocarpa"
"171","Rhodomyrtus.psidioides","Psychotria.daphnoides"
"172","Rhodosphaera.rhodanthema","Psychotria.loniceroides"
"173","Ricinus.communis","Psychotria.spp...shute.harbour."
"174","Rubus.moluccanus","Psydrax.odorata"
"175","Rubus.rosifolius","Pteridium.esculentum"
"176","Schefflera.actinophylla","Rhodamnia.argentea"
"177","Senna.septemtrionalis","Rhodamnia.rubescens"
"178","Senna.sulfurea","Rhodomyrtus.psidioides"
"179","Sloanea.australis","Rhodosphaera.rhodanthema"
"180","Sloanea.woollsii","Ricinus.communis"
"181","Smilax.australis","Rubus.moluccanus"
"182","Solanum.chrysotrichum","Rubus.rosifolius"
"183","Solanum.mauritianum","Sarcopteryx.stipata"
"184","Solanum.seaforthianum","Schefflera.actinophylla"
"185","Solanum.torvum","Senna.septemtrionalis"
"186","Stephania.japonica","Senna.sulfurea"
"187","Sterculia.quadrifida","Sloanea.australis"
"188","Streblus.brunonianus","Sloanea.woollsii"
