"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","production_irrigated_w",0.00618476478769544,0.18112,0.0210351253048634,0.18839,0.0185542943630863,0.0274721851443466
"value14","production_dryland_w",0.151263592542751,0.05343,0.016370257282741,0.19931,0.189079490678439,0.0245553859241114
"value13","M_MinM.y",0.00153011801088611,0.23485,0.00502373142031818,0.24884,0.0057379425408229,0.0107651387578247
"value12","richness",6.22026817977547e-05,0.34776,1.27953807946114e-05,0.4561,0.000311013408988774,6.39769039730572e-05
"value11","nbsp",8.50807160985466e-10,0.63305,2.67316603019599e-09,0.65597,6.38105370739099e-09,2.00487452264699e-08
"value10","FRic",0,1,0,1,0,0
"value9","CVAnnHSPeak.x",0.267702200022123,0.032225,0.00243281809680285,0.27771,0.267702200022123,0.00858554324616858
"value8","HSPeak.x",0.238254115543731,0.036406,0.0494539778103453,0.15001,0.255272266653998,0.0494539778103453
"value7","CV.x",0.166237347657536,0.049817,0.0119065662169545,0.21298,0.191812324220234,0.0223248116567897
"value6","soil_phc",0.0172425630678557,0.14033,0.0136167455792765,0.20724,0.0325150931125266,0.0226945759654609
"value5","clim_tsea",0.027465537650097,0.12156,0.0360700138169879,0.16438,0.0408888939462356,0.0386464433753442
"value4","clim_pwet",0.0299851888939061,0.11801,0.0279485678647395,0.17583,0.0408888939462356,0.0322483475362379
"value3","clim_pdry",0.0279636324498514,0.12083,0.0219777481154772,0.18646,0.0408888939462356,0.0274721851443466
"value2","site",0.0173413829933475,0.1401,0.00286184774872286,0.27135,0.0325150931125266,0.00858554324616858
"value1","X",0.0116552925645285,0.15602,0.00390634241382459,0.25899,0.0291382314113213,0.00976585603456146
