"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","FDiS",0.000258243670665429,0.29943,0.00128304804911132,0.30227,0.000631262306071049,0.00282270570804491
"value21","production_dryland_w",0.00252403686850434,0.21588,0.00402039851043434,0.25783,0.00462740092559128,0.00804079702086868
"value20","M_MaxM.y",0.0565887927117154,0.092358,0.0435138527210707,0.15586,0.0622476719828869,0.0463478418693075
"value19","M_MinM.y",2.98865633368587e-05,0.37148,4.05475249279564e-05,0.42111,9.39291990586988e-05,0.000206519244004606
"value18","LSMeanDur.y",0.881269349097035,0.00059466,0.0488017348209715,0.15061,0.881269349097035,0.0488017348209715
"value17","HSMeanDur.y",0.0473294371973438,0.099563,0.0381031513177706,0.1619,0.0548025062285033,0.0441194383679449
"value16","MDFMDFDry.y",0.000312146084748273,0.29277,2.12716703971842e-05,0.44095,0.000686721386446201,0.000155992249579351
"value15","leaf.area",0.00984689973622623,0.16273,0.0152658517936694,0.20233,0.0151900243825639,0.0223899159640485
"value14","seed.mass",0.426195942143642,0.016741,0.0275774552342029,0.17642,0.446490987007625,0.0356884714795567
"value13","exotics",0.0220066392861326,0.1305,0.0306609672616159,0.17169,0.0284791802526422,0.037474515541975
"value12","richness",0,1,0,1,0,0
"value11","nbsp",1.86619904826074e-09,0.61779,1.66733343162143e-08,0.62019,2.05281895308682e-08,1.83406677478357e-07
"value10","FRic",6.2202681797755e-05,0.34776,7.93277469442608e-05,0.39973,0.000171057374943826,0.000249315776110534
"value9","C_MinM.x",0.00617180409072777,0.18121,0.00465409602928474,0.25194,0.0104445915381547,0.00817700283777142
"value8","CVAnnHSMeanDur.x",0.0103568348062936,0.16072,0.0191340096048839,0.19253,0.0151900243825639,0.0263092632067153
"value7","HSMeanDur.x",0.0193611485030038,0.13566,0.00483186531322856,0.25042,0.0266215791916303,0.00817700283777142
"value6","soil_soc",0.00129649183320233,0.24105,0.00603649983311277,0.24135,0.00259298366640466,0.0094859283091772
"value5","soil_phc",2.30187039204004e-05,0.37974,0.000113384868706596,0.38803,9.39291990586988e-05,0.00031180838894314
"value4","clim_tsea",2.65387055736829e-05,0.37525,5.63234301830745e-05,0.41074,9.39291990586988e-05,0.000206519244004606
"value3","clim_tcld",0.0399124766468877,0.10645,0.044241121784339,0.15511,0.0487819159017517,0.0463478418693075
"value2","clim_pwet",8.40375776074106e-06,0.41069,5.60330356087653e-05,0.4109,6.16275569121011e-05,0.000206519244004606
"value1","clim_pdry",2.14502931214756e-05,0.38195,0.000132358691587797,0.38289,9.39291990586988e-05,0.000323543468325726
