"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","redun",0.441580600323709,0.014167,0.0341052942232983,0.15193,0.441580600323709,0.0368544154047289
"value10","FunRao",0.0281592130781242,0.1096,0.0230731683315909,0.16795,0.0387189179824208,0.0367111200216652
"value9","nbsp",0.306657200992824,0.024864,0.0266989963793928,0.162,0.337322921092106,0.0367111200216652
"value8","RaoQ",1.43168375931933e-05,0.36454,1.07062329677445e-05,0.42781,5.50322179790286e-05,5.8884281322595e-05
"value7","FDiv",0,1,0,1,0,0
"value6","FDis",1.50087867215533e-05,0.36316,6.28165585074306e-05,0.37622,5.50322179790286e-05,0.000230327381193912
"value5","hydro.pc2",0.0214644220160676,0.11963,0.0349003951593287,0.15098,0.0337298060252491,0.0368544154047289
"value4","C_MaxM",0.0141554396286062,0.13497,0.0235704916097376,0.16708,0.0311419671829336,0.0367111200216652
"value3","LSPeak",0.00935433253344357,0.15016,0.00855175565961648,0.20727,0.0257244144669698,0.0235173280639453
"value2","HSMeanDur",0.0528680325491261,0.086343,0.0368544154047289,0.14872,0.0646164842267098,0.0368544154047289
"value1","MDFMDFDry",0.018143623301982,0.12583,0.0131646364634776,0.19041,0.033263309386967,0.0289622002196506
