"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",0.280667795317983,0.027652,0.0227553644453472,0.16851,0.357213557677433,0.0293320797759909
"value13","seed.mass",0.636327377410169,0.0053725,0.0269551379046196,0.16161,0.636327377410169,0.0314476608887229
"value12","richness",7.85291134567023e-08,0.50065,1.90080504461149e-07,0.52995,3.66469196131277e-07,8.87042354152027e-07
"value11","redun",0.00128662041804311,0.22089,0.00312849744754282,0.24522,0.0036025371705207,0.00547487053319993
"value10","FunRao",0.00219634857853203,0.2022,0.000708207001763496,0.29798,0.00512481334990808,0.00198297960493779
"value9","simpson",0.000652428604662143,0.24414,4.31661049185361e-06,0.45261,0.0022835001163175,1.51081367214876e-05
"value8","nbsp",1.0778757216235e-11,0.67094,4.57212214257098e-11,0.68695,7.5451300513645e-11,3.20048549979969e-10
"value7","FRic",0,1,0,1,0,0
"value6","site",0.22978106575089,0.034152,0.00157561122385803,0.27005,0.321693492051246,0.00333646628464038
"value5","M_MDFM",0.379125937228405,0.018465,0.0360795499552375,0.1496,0.408289470861359,0.0388548999517942
"value4","CVAnnLSMeanDur",0.0238547968279953,0.11573,0.0455748357007687,0.13985,0.0477095936559906,0.0455748357007687
"value3","CVAnnHSPeak",0.138819052568012,0.051419,0.00166823314232019,0.26802,0.242933341994022,0.00333646628464038
"value2","HSPeak",0.336705382547527,0.021992,0.0230466341097072,0.16799,0.392822946305449,0.0293320797759909
"value1","CV",0.202490299335852,0.03838,0.00499909520912103,0.22776,0.314984910077992,0.00777637032529938
