"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",0,1,0,1,0,0
"value16","wood.density",1.19112650362953e-05,0.36989,4.00453052045052e-05,0.38977,0.00010124575280851,0.000340385094238294
"value15","exotics",0.000582027374488044,0.248,0.00255157703316646,0.25269,0.00329815512209892,0.0100840869853233
"value14","richness",0.00459855452269679,0.1759,0.0029659079368598,0.24718,0.0156350853771691,0.0100840869853233
"value13","simpson",0.759275876354605,0.0022599,0.0293075196081744,0.15818,0.759275876354605,0.0311392395836853
"value12","nbsp",0.0184275495955767,0.12526,0.00141621618803879,0.27384,0.0348075936805338,0.00802522506555314
"value11","hydro.pc2",0.00693719626416632,0.16105,0.0115885023057798,0.19543,0.0196553894151379,0.0218893932442507
"value10","hydro.pc1",0.235093080380001,0.033397,0.0161831377268041,0.18222,0.266438824430668,0.0249797416044636
"value9","M_MaxM",0.165292546986356,0.045324,0.0315387548077531,0.15516,0.209644182746155,0.0315387548077531
"value8","M_MDFM",0.370831604807633,0.019111,0.0176327587796214,0.17879,0.39400858010811,0.0249797416044636
"value7","C_MDFM",0.0129226231348789,0.13832,0.0278973211076772,0.1602,0.0274605741616177,0.0311392395836853
"value6","CVAnnBFI",0.00889736814441418,0.15199,0.0246920545565451,0.16519,0.0216078940650059,0.0311392395836853
"value5","CVAnnLSMeanDur",0.00293614595345001,0.19194,0.0109516186083045,0.19765,0.0124786203021625,0.0218893932442507
"value4","LSMeanDur",0.0640248181236766,0.079314,0.0261027312875584,0.16292,0.0907018256752085,0.0311392395836853
"value3","CVAnnHSMeanDur",0.172648150496833,0.04382,0.012932761915292,0.19111,0.209644182746155,0.0219856952559965
"value2","CVMDFDry",0.0211148437488951,0.12024,0.00483112076791322,0.22905,0.0358952343731216,0.0136881755090874
"value1","MDFAnnZer",0.0433610702362363,0.093648,0.00625298699834107,0.21929,0.0670125630923652,0.0151858255673997
