"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",1.19112650362955e-05,0.36989,1.74526302414885e-05,0.414,8.33788552540682e-05,0.00012216841169042
"value13","wood.density",0,1,0,1,0,0
"value12","flowering.duration",0.0173082559198061,0.12757,0.0260932187564037,0.16294,0.048463116575457,0.0329975153471345
"value11","seed.mass",0.0638241732279029,0.079429,0.0325757363786693,0.15383,0.146551275041562,0.0350815622539516
"value10","SLA",0.00614396335758917,0.16545,0.0213747181947213,0.17104,0.0215038717515621,0.0329975153471345
"value9","hydro.pc1",0.686424775047107,0.0039193,0.0282835845832581,0.15964,0.873631531878137,0.0329975153471345
"value8","M_MaxM",0.82361895548045,0.0011963,0.0385215681384179,0.14688,0.886974259748177,0.0385215681384179
"value7","M_MinM",0.0732756375207808,0.07438,0.0274316028116326,0.16089,0.146551275041562,0.0329975153471345
"value6","M_MDFM",0.816519109130845,0.0012963,0.0145796158378635,0.18637,0.886974259748177,0.0329975153471345
"value5","C_MDFM",0.00139177750266971,0.21816,0.00523150439904882,0.22605,0.0064949616791253,0.0183102653966709
"value4","LSMeanDur",0.341270601948025,0.021585,0.0141781187807163,0.18748,0.477778842727236,0.0329975153471345
"value3","CVAnnHSMeanDur",0.272113816329835,0.028641,0.0215920087993015,0.17063,0.423288158735298,0.0329975153471345
"value2","CVMDFDry",0.192760184894066,0.040048,0.00394941450948612,0.23659,0.337330323564616,0.0183102653966709
"value1","CVMDFWet",0.905554686855871,0.00033913,0.0197843231083525,0.17416,0.905554686855871,0.0329975153471345
