"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","FDiv.SES",3.42529437670943e-46,0.9933,2.80291157350319e-61,0.99906,1.14176479223648e-45,9.34303857834398e-61
"value9","FEve.SES",0,1,0,1,0,0
"value8","FDis.SES",6.8689255161184e-65,0.99918,1.43823649173528e-67,0.99955,3.4344627580592e-64,7.1911824586764e-67
"value7","leaf.area",0.0516971625118211,0.08922,0.0398500916102084,0.14882,0.0574412916798012,0.0442778795668982
"value6","exotics",0.00262189741888891,0.20027,0.00547486118548509,0.22924,0.00655474354722228,0.0109497223709702
"value5","richness",0.0390200111117134,0.099825,0.00680541254026227,0.22081,0.0487750138896418,0.0113423542337704
"value4","simpson",0.160935754688484,0.047364,0.0384741102512836,0.15031,0.160935754688484,0.0442778795668982
"value3","nbsp",0.0130395648317893,0.14115,0.000299861109835926,0.33343,0.0260791296635786,0.000749652774589814
"value2","FRic",0.0353993336706144,0.1035,0.0144554145121831,0.1909,0.0487750138896418,0.0206505921602616
"value1","FDiv",0.0201065446393538,0.12486,0.0469700504539915,0.14179,0.0335109077322564,0.0469700504539915
