"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","g8",0.00212275521789626,0.2034,0.000220106232643548,0.33688,0.00590687530730699,0.000990478046895966
"value17","g7",0,1,0,1,0,0
"value16","g5",0.00524248420795336,0.17118,0.000462763192411641,0.3124,0.00943647157431604,0.00136839798509595
"value15","wood.density",1.49653139217038e-06,0.42738,1.57810393464399e-07,0.5342,1.34687825295334e-05,1.42029354117959e-06
"value14","seed.mass",0.00485887026152762,0.17392,0.000391595352572153,0.31798,0.00943647157431604,0.00136839798509595
"value13","exotics",0.000109791710199973,0.30256,0.000615690083413641,0.30276,0.000658750261199838,0.00138530268768069
"value12","richness",0.00185643356045703,0.20811,0.000532154771981758,0.3077,0.00590687530730699,0.00136839798509595
"value11","redun",0.110582942390481,0.059495,0.0292197520715861,0.1583,0.165874413585722,0.0309385610169735
"value10","simpson",0.196585712476506,0.039381,0.0133100518618608,0.18998,0.235902854971807,0.0171129238223924
"value9","nbsp",0.000299407765657447,0.27015,4.47123470227656e-05,0.38648,0.00134733494545851,0.000268274082136594
"value8","FRic",0.00372276299855016,0.18348,0.00239208716056836,0.25504,0.00837621674673786,0.00478417432113671
"value7","M_MaxM",0.124042516060668,0.055399,0.0113161760064177,0.19637,0.171751176084002,0.0156685513935015
"value6","M_MDFM",0.565895169180888,0.0079101,0.017191370489309,0.1798,0.565895169180888,0.0206296445871708
"value5","CVAnnBFI",0.0183435649429358,0.12543,0.0313297037452556,0.15544,0.0300167426338949,0.0313297037452556
"value4","MRateFall",0.265971733827666,0.029374,0.00852648358900256,0.20739,0.297644421678899,0.0127897253835038
"value3","MRateRise",0.13572796424175,0.052213,0.0221512848878995,0.1696,0.174507382596536,0.0249201954988869
"value2","CVAnnLSMeanDur",0.00229711817506383,0.20062,0.00734489712778594,0.21313,0.00590687530730699,0.0120189225727406
"value1","LSMeanDur",0.281108620474516,0.027602,0.0052859754974242,0.22566,0.297644421678899,0.00951475589536355
