"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","production_irrigated_w",0.00283974327826399,0.21137,0.00221315661215601,0.2814,0.0088347568657102,0.00782184738476532
"value27","conservation_w",0.107560146352885,0.066718,0.0424472220538359,0.157,0.143413528470513,0.0424472220538359
"value26","production_dryland_w",0.00461654549999715,0.19257,0.019041617886018,0.19274,0.0107719394999933,0.0239663870406501
"value25","production_natural_w",0.00101323041093265,0.25021,0.00445674858333057,0.25369,0.00567409030122282,0.00891349716666115
"value24","C_MinM.y",0.0174784321486424,0.13978,0.033957640045067,0.1671,0.0257576894822099,0.0352153304171065
"value23","BFI.y",0.580087554843373,0.0081285,0.00755463677439969,0.23209,0.580087554843373,0.0123345674822671
"value22","LSMeanDur.y",0.454385429521448,0.014813,0.00622657147824713,0.24008,0.508911681064022,0.0116229334260613
"value21","HSMeanDur.y",0.0259130611039742,0.12391,0.00792936481002887,0.23008,0.0362782855455639,0.0123345674822671
"value20","leaf.area",0.000684342797593166,0.26462,0.000157546023786248,0.37705,0.00479039958315216,0.00147042955533832
"value19","wood.density",0.00137003093593602,0.23899,0.00251416523081742,0.27643,0.00639347770103476,0.00782184738476532
"value18","exotics",1.05843611172805e-21,0.91252,1.17779284240299e-31,0.97871,2.96362111283855e-20,3.29781995872837e-30
"value17","richness",0.00404757490948348,0.19769,0.0135489925744122,0.20746,0.0103029179514125,0.0180653234325496
"value16","nbsp",0.00681855670685279,0.17728,0.00874640717596309,0.22599,0.0129508398698273,0.0128894421540509
"value15","regulation",0.0160764907535135,0.14314,0.00432896328164127,0.25486,0.0250078745054654,0.00891349716666115
"value14","M_MaxM.x",0.226341294182763,0.038275,0.0074492955057831,0.23268,0.264064843213224,0.0123345674822671
"value13","C_MinM.x",0.00235586015829255,0.21851,0.00229345715061397,0.28001,0.00824551055402391,0.00782184738476532
"value12","CVAnnBFI.x",0.00215183399984328,0.22196,0.0028504234034244,0.2715,0.00824551055402391,0.00798118552958831
"value11","CVAnnLSMeanDur.x",0.00684854130523192,0.17711,0.0221121393291191,0.18619,0.0129508398698273,0.0251550889942857
"value10","LSMeanDur.x",0.474203324450143,0.013563,5.12678207805218e-05,0.41373,0.510680503254,0.000717749490927306
"value9","CVAnnHSMeanDur.x",0.0071597218195188,0.17536,0.0224599008877551,0.18551,0.0129508398698273,0.0251550889942857
"value8","HSPeak.x",0.149611774525616,0.053853,0.0196866750691054,0.19129,0.182136073335532,0.0239663870406501
"value7","CVMDFDry.x",0.149486637584524,0.053885,0.00047347719304851,0.33887,0.182136073335532,0.00331434035133957
"value6","soil_phc",0.000637643483856746,0.26719,0.00315437866159459,0.2675,0.00479039958315216,0.00802419071306179
"value5","soil_nto",0.519523387822415,0.011,0.0119195691191037,0.21293,0.5387649947788,0.0166873967667452
"value4","soil_der",0.00740047992561561,0.17405,0.0287251861573496,0.1746,0.0129508398698273,0.0309348158617611
"value3","clim_tsea",0.000613997212189937,0.26856,0.00249008959546457,0.27681,0.00479039958315216,0.00782184738476532
"value2","clim_pwet",0.011882782367455,0.15524,0.00343893887702648,0.26407,0.0195716415463964,0.00802419071306179
"value1","clim_pdry",0.00380469760948268,0.20009,0.00179437816120771,0.2895,0.0103029179514125,0.00782184738476532
