"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","FDiS",0.000351107677813922,0.28861,0.00181354530709866,0.28909,0.000819251248232486,0.00380844514490718
"value20","production_dryland_w",0.00192163044248587,0.22626,0.00225405569672345,0.28069,0.00336285327435027,0.00430319723919931
"value19","M_MaxM.y",0.0509283108472056,0.096606,0.0342179249355413,0.16676,0.0562891856732272,0.0346398345738806
"value18","M_MinM.y",1.69481360149653e-05,0.3893,4.54077093487692e-05,0.41756,4.44888570392838e-05,0.000136223128046308
"value17","HSMeanDur.y",0.0636110394017062,0.087651,0.0346398345738806,0.16621,0.0667915913717916,0.0346398345738806
"value16","MDFMDFDry.y",0.000963190830722962,0.25209,0.000231555721274726,0.36394,0.00202270074451822,0.00054029668297436
"value15","leaf.area",0.00527190858885425,0.18739,0.00614358180624165,0.24063,0.00851616002814917,0.00919959263560282
"value14","seed.mass",0.476135268266112,0.013446,0.0211019363006623,0.18825,0.476135268266112,0.0272704521910214
"value13","exotics",0.0172477625799494,0.14031,0.0223965534476301,0.18563,0.0226376883861836,0.0272704521910214
"value12","richness",1.03030127128522e-31,0.97396,2.69841361408399e-46,0.99656,2.16363266969895e-30,5.66666858957638e-45
"value11","nbsp",1.95459449464316e-10,0.66004,9.72800876506207e-10,0.67426,2.05232421937532e-09,1.02144092033152e-08
"value10","FRic",1.51990053307927e-05,0.39267,1.15853572979638e-05,0.45902,4.44888570392838e-05,8.10975010857466e-05
"value9","C_MinM.x",0.00612760801230551,0.18149,0.00395571980770369,0.25848,0.00919141201845826,0.00639000892013673
"value8","CVAnnHSMeanDur.x",0.0152499786289603,0.14526,0.0233746733065898,0.18375,0.0213499700805444,0.0272704521910214
"value7","HSMeanDur.x",0.0243722785007154,0.12638,0.00334507894580169,0.26517,0.0301069322655896,0.00585388815515296
"value6","soil_soc",0.00149161527484643,0.23581,0.00657113759685916,0.23786,0.00284762916107045,0.00919959263560282
"value5","soil_phc",6.51398745214853e-06,0.41829,3.92751627007961e-05,0.42211,3.50740459202309e-05,0.000136223128046308
"value4","clim_tsea",1.09973089902761e-05,0.40257,2.86366898150752e-05,0.4319,4.04218867120494e-05,0.000136223128046308
"value3","clim_tcld",0.0283158690100068,0.12033,0.0259336760652304,0.17915,0.0330351805116746,0.0286635367036757
"value2","clim_pwet",6.68077065147255e-06,0.41754,4.07277656833965e-05,0.42098,3.50740459202309e-05,0.000136223128046308
"value1","clim_pdry",1.1549110489157e-05,0.40108,6.12409793691913e-05,0.40807,4.04218867120494e-05,0.000160757570844127
