"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"MDFAnnHSNum.y",0.14361,-1.28357172431035,0.508487743900616,-2.52429235454929,0.0158909208342691
"CVAnnHSNum.x",0.10836,0.789157837463785,0.367219784286332,2.14900686518692,0.0380669532503219
"MDFAnnHSNum.x",0.11213,-0.439485694484767,0.2006174849481,-2.19066495923056,0.0346808801892782
"FDis.SES",1,1,1.63869608345575e-17,61024128274668040,0
"FRic.SES",0.19089,1.21993803907577,0.407438062669563,2.99416807325915,0.00482010942189648
"flowering.duration",0.11975,1.59827133207126,0.702958302659928,2.27363604074886,0.0287238850229336
"maximum.height",0.2767,-0.572793748242356,0.150232995560189,-3.81270270293502,0.000490178170463251
"seed.mass",0.19281,-0.69352449652809,0.23018999105479,-3.01283515130342,0.00458768576310169
"nbsp",0.099733,-0.023296182297436,0.0113542643390463,-2.05175620381872,0.0471309137457086
"FDiv",0.43986,6.59879634937639,1.20798889087302,5.46262999538632,3.10627029835534e-06
"FDis",0.56671,22.4796480450699,3.1886593927328,7.04987434415313,2.10563665304206e-08
"regulation",0.11645,2.62189746774465,1.17158715268996,2.23790220106527,0.0311671897740966
"C_MaxM.x",0.1182,3.28749019428021,1.45662436688854,2.25692379518717,0.0298444144033179
"LSPeak.x",0.15793,-16.6951173352499,6.2537751769698,-2.66960625587108,0.0111097245173601
"CVAnnHSMeanDur.x",0.12608,2.61193978899404,1.11553324920117,2.34142710749718,0.0245552472327859
"HSMeanDur.x",0.12076,0.197353232100331,0.0863856802463966,2.28455956516663,0.0280119821032952
"soil_soc",0.24278,-0.692194281833262,0.198307419116087,-3.49051127244039,0.00123781788229819
"soil_nto",0.10064,-7.42638879707702,3.60131997717303,-2.06212967582697,0.0460814231068273
"clim_pwet",0.14045,-0.00305824948302461,0.00122730219196967,-2.4918471612248,0.0171882634248107
