"","metric","p","R2.adj","est","stderr","t","p.term","est.quad","stderr.quad","t.quad","p.term.quad"
"hydro","clim_pwet",0.0280771876885215,0.13106,0.00947231838408978,0.0100478764869412,0.942718433730807,0.351940068254635,-1.25924005235182e-05,1.00229884025928e-05,-1.25635190002422,0.216863143994896
"hydro1","soil_nto",0.0430258415134831,0.11078,33.457491542436,26.386868077013,1.26795993540373,0.212733346474641,-107.447757389406,68.7228223412297,-1.56349453833393,0.126450049424
"hydro2","soil_soc",0.000156722460582002,0.34356,2.80292359791913,1.25003831167047,2.2422701542431,0.0310231784407596,-0.477253447748091,0.168866955032642,-2.82620982687725,0.00755192534143625
"hydro3","LSPeak.x",0.0328330274876725,0.12368,4.25246679023361,31.0163249906748,0.137104147300241,0.89169183130471,-147.752140630382,214.214582310461,-0.689738947912726,0.494661947113161
"hydro4","C_MaxM.x",0.000293949461324062,0.32086,39.6273054331378,9.920888059077,3.99433046690627,0.00029648099516596,-52.8676309092917,14.3158169523917,-3.69295242354013,0.000711782329142176
"hydro5","regulation",0.0487156806453037,0.10479,7.90954620949541,4.48264718328698,1.76448109478373,0.0859057330248112,-11.1515166500057,9.12946194306607,-1.22148673378013,0.229627777759852
"hydro6","FDis",1.26481835405722e-07,0.55332,-19.3431482199347,45.9956794042265,-0.420542722066136,0.67652158759393,109.897562479696,120.570543841018,0.911479362858358,0.367943382386627
"hydro7","FDiv",2.94603959139566e-06,0.47046,-20.7668330026579,13.3198642902078,-1.55908743138808,0.127489221774197,17.7572903821943,8.6103268555838,2.06232477349901,0.0462505946278943
"hydro8","nbsp",0.00923095893541581,0.18177,0.122030510418795,0.0607262394095067,2.00951864639408,0.0518178934679906,-0.00234168836010902,0.000963232516947359,-2.43107278762786,0.020017766930911
"hydro9","seed.mass",0.00209702258914368,0.24476,-2.36233652931336,0.801914880386982,-2.94586942715586,0.00554294127388908,0.52539975091286,0.242802840573419,2.16389458077196,0.036999975429763
"hydro10","maximum.height",0.000491305847318847,0.30174,1.21987712168329,0.983241091700302,1.24066938615612,0.222537479207797,-0.257929328448874,0.139906717589363,-1.84358072931078,0.0732650092186314
"hydro11","FRic.SES",0.000206027818988706,0.33378,1.3567525833381,0.367408418156028,3.69276400945699,0.000712166945582264,-3.11758132175824,0.96835015966197,-3.21947726310751,0.00267384089667582
"hydro12","FDis.SES",0,1,1,1.6677824262077e-17,59959859528791008,0,-2.22429697405568e-17,1.33773663459469e-17,-1.66273159942996,0.104816004558924
"hydro13","MDFAnnHSNum.y",0.0229420356137522,0.1405,-2.80248076374481,1.22227626861346,-2.29283741794638,0.027640026529609,-2.72640348572878,1.99969728374153,-1.36340810576466,0.180992904666057
