"","R2.linear","Estimate","Std. Error","t value","Pr(>|t|)"
"CVAnnLSNum.x",0.1929,1.18893597899658,0.394514001761912,3.01367245189462,0.00457751184640337
"richness.stand",0.11521,-1.31805747475083,0.592527487728143,-2.22446637843671,0.0321327995270951
"production_irrigated_w",0.27909,5.52281654485247,1.43990222275081,3.8355497044109,0.000458505144713495
"conservation_w",0.10736,-0.448012061901459,0.209558980515302,-2.13788051840969,0.0390194398150343
"intensive_w",0.10805,-0.443339729647151,0.206631563580976,-2.14555667083946,0.0383600897322518
"production_dryland_w",0.099982,-0.462477469835585,0.225094025951464,-2.05459681962109,0.0468414683252125
"production_natural_w",0.23203,0.375327934953793,0.110768342079358,3.38840437536653,0.00164911594007855
"C_MinM.y",0.12395,0.0523049561099082,0.0225575378427373,2.31873515959759,0.0258857283690559
"leaf.area",0.3245,-0.089541015440966,0.02095725786275,-4.27255397759448,0.000124776113056955
"wood.density",0.33787,2.16031785422468,0.490594276241363,4.40347137919286,8.38494798593518e-05
"exotics",1,1,8.77664670686591e-18,113938732342696080,0
"richness",0.1305,-1.02658669088667,0.42986212311621,-2.38817666335571,0.0220066390997862
"nbsp",0.14829,-0.00601709060056241,0.00233925996945417,-2.5722197101361,0.0141377488932253
"regulation",0.11966,0.562960222662183,0.247710748266468,2.27265157689724,0.0287888330390791
"C_MaxM.x",0.15665,0.801640888022899,0.301735770580522,2.65676451446439,0.0114715145469788
"C_MinM.x",0.16905,0.908235760443855,0.32665343483557,2.78042617522464,0.00839838535010368
"CVAnnBFI.x",0.32921,0.726433764336659,0.168212011029963,4.31856060627717,0.000108547068068043
"CVAnnLSMeanDur.x",0.24267,0.507728292446508,0.145504904185467,3.48942391521962,0.00124162774392518
"CVAnnHSMeanDur.x",0.12934,0.560364941246013,0.235847086905829,2.37596719381894,0.0226481010824345
"HSPeak.x",0.098467,0.00355224188813407,0.00174363557269475,2.03726165247028,0.0486323167609272
"CVMDFDry.x",0.10002,0.0885003914074975,0.0430646658338727,2.05505812465604,0.0467946105642236
"soil_phc",0.2422,0.269319226474567,0.0772799072244674,3.48498382240938,0.00125730197731037
"soil_der",0.13996,-0.0176868120973757,0.00711233660579069,-2.48677939159623,0.0173994099354691
"clim_tsea",0.21855,0.00303499040393012,0.000930982200530125,3.25998757248197,0.00235369214594807
"clim_pwet",0.1574,-0.000685753516543798,0.000257387814929295,-2.66428120046077,0.0112584494382462
"clim_pdry",0.18519,-0.00276662905782234,0.000941395770885824,-2.9388586005852,0.00557544807113556
