"","Taxon","seed.mass","source"
"7","Acacia fimbriata",15.9625242089106,"AUSTRAITS_dataset_5"
"9","Acacia fimbriata",30.4314623377158,"AUSTRAITS_dataset_17"
"29","Acmena smithii",186.209049201881,"AUSTRAITS_dataset_17"
"77","Alchornea ilicifolia",19.8056604531859,"AUSTRAITS_dataset_17"
"81","Alectryon tomentosus",13.5305105862629,"AUSTRAITS_dataset_17"
"106","Alphitonia excelsa",22.1274976124458,"AUSTRAITS_dataset_17"
"119","Alyxia ruscifolia",122.01308547182,"AUSTRAITS_dataset_17"
"128","Aphananthe philippinensis",28.8403182713047,"AUSTRAITS_dataset_17"
"330","Callerya megasperma",7385.3471161391,"AUSTRAITS_dataset_17"
"338","Callistemon salignus",0.0483264695868348,"AUSTRAITS_dataset_17"
"343","Callistemon viminalis",0.395534089709433,"AUSTRAITS_dataset_17"
"417","Castanospermum australe",8665.64104483544,"AUSTRAITS_dataset_17"
"698","Cryptocarya triplinervis",229.091923408,"AUSTRAITS_dataset_4"
"730","Cupaniopsis anacardioides",171.775995291776,"AUSTRAITS_dataset_17"
"812","Diospyros ellipticifolia",38.4701665346167,"AUSTRAITS_dataset_49"
"896","Elaeocarpus grandis",38.382193612063,"AUSTRAITS_dataset_17"
"965","Endiandra globosa",20585.2752053774,"AUSTRAITS_dataset_17"
"1037","Eupomatia laurina",14.1224721017651,"AUSTRAITS_dataset_17"
"1187","Flagellaria indica",18.4279940173932,"AUSTRAITS_dataset_17"
"1288","Glochidion ferdinandi",2.46467673086565,"AUSTRAITS_dataset_17"
"1299","Grevillea robusta",14.2067689902505,"AUSTRAITS_dataset_17"
"1394","Hymenosporum flavum",6.7451208425893,"AUSTRAITS_dataset_17"
"1419","Jagera pseudorhus",38.3563141775809,"AUSTRAITS_dataset_17"
"1529","Lophostemon confertus",8.9202493587103,"AUSTRAITS_dataset_17"
"1596","Mallotus claoxyloides",62.860363750646,"AUSTRAITS_dataset_17"
"1606","Mallotus philippensis",18.6005182185278,"AUSTRAITS_dataset_17"
"1646","Melaleuca bracteata",0.0640340541056511,"AUSTRAITS_dataset_17"
"1655","Melaleuca quinquenervia",0.0875269524561155,"AUSTRAITS_dataset_17"
"2794","Melaleuca spp",0.0640340541056511,"AUSTRAITS_dataset_17"
"1671","Melia azedarach",22.1274976124458,"AUSTRAITS_dataset_17"
"2048","Pilidiostigma rhytispermum",60.1250786080776,"AUSTRAITS_dataset_4"
"2098","Pittosporum undulatum",13.7846171226935,"AUSTRAITS_dataset_17"
"2109","Planchonella australis",802.356788721773,"AUSTRAITS_dataset_17"
"2130","Polyscias elegans",5.22078281333328,"AUSTRAITS_dataset_17"
"2185","Psychotria loniceroides",10.0753431241169,"AUSTRAITS_dataset_17"
"2279","Rubus rosifolius",0.799136442551484,"AUSTRAITS_dataset_17"
"2305","Schefflera actinophylla",11.4961514728156,"AUSTRAITS_dataset_17"
"2425","Stephania japonica",23.5603333675949,"AUSTRAITS_dataset_17"
"2505","Synoum glandulosum",249.515264182545,"AUSTRAITS_dataset_17"
"2526","Syzygium australe",212.63783817181,"AUSTRAITS_dataset_17"
"2535","Syzygium floribundum",1455.38103790523,"H. T. Clifford 2000, ""Dicotyledon seedling morphology as a correlate of seed-size"""
"2547","Syzygium luehmannii",22.0074199833421,"AUSTRAITS_dataset_17"
"2570","Syzygium oleosum",180.151792521928,"AUSTRAITS_dataset_17"
"2","Acacia bakeri",70.686,"AUSTRAITS_dataset_49"
"5","Acacia bakeri",39.793,"AUSTRAITS_dataset_53"
"11","Acacia fimbriata",17,"AUSTRAITS_dataset_53"
"33","Acmena smithii",173,"AUSTRAITS_dataset_53"
"34","Acmena smithii",360.47,"Gallagher_field_workPHD"
"41","Acronychia oblongifolia",21.67,"AUSTRAITS_dataset_10"
"45","Acronychia oblongifolia",15.38,"Gallagher_field_workPHD"
"47","Acronychia oblongifolia",5.882352941,"Floyd 1989"
"52","Ailanthus triphysa",37.699,"AUSTRAITS_dataset_49"
"72","Alangium villosum",191.78,"Gallagher_field_workPHD"
"79","Alchornea ilicifolia",19.5,"AUSTRAITS_dataset_53"
"83","Alectryon tomentosus",33.89,"AUSTRAITS_dataset_53"
"104","Alphitonia excelsa",18.2,"AUSTRAITS_dataset_52"
"121","Alyxia ruscifolia",163.774,"AUSTRAITS_dataset_53"
"133","Aphananthe philippinensis",44.108,"AUSTRAITS_dataset_53"
"163","Archirhodomyrtus beckleri",1.495,"AUSTRAITS_dataset_53"
"2806","Archontophoenix spp",568.2,"Kew SID"
"166","Ardisia crenata",221,"AUSTRAITS_dataset_53"
"180","Argyrodendron trifoliolatum",110,"AUSTRAITS_dataset_52"
"197","Aristolochia elegans",2.104,"AUSTRAITS_dataset_53"
